,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,23130,BLG 102E,Intr to Sci&Eng Comp (C),,Ali Çakmak,"EEB
EEB","Pazartesi
Perşembe","1330/1629
1530/1729","---
---",80,0,Yok/None,"BLG, BLGE",Yok/None,Yok/None
1,23131,BLG 102E,Intr to Sci&Eng Comp (C),,Hayri Turgut Uyar,"EEB
EEB","Salı
Perşembe","0830/1129
1530/1729","---
---",80,0,Yok/None,"BLG, BLGE",Yok/None,Yok/None
2,23132,BLG 112E,Discrete Mathematics,,Şule Öğüdücü,EEB,Çarşamba,1230/1529,---,60,0,Yok/None,"BLG, BLGE, YZVE",Yok/None,Yok/None
3,23133,BLG 112E,Discrete Mathematics,,Mehmet Akif Yazıcı,EEB,Çarşamba,1230/1529,---,60,0,Yok/None,"BLG, BLGE, YZVE",Yok/None,Yok/None
4,23140,BLG 202E,Numerical Methods in CE,,Enver Özdemir,EEB,Salı,0830/1129,---,80,0,Yok/None,"BLG, BLGE, CEN, YZVE","MAT 102 MIN DD
veya MAT 102E MIN DD
veya MAT 104 MIN DD
veya MAT 104E MIN DD",Yok/None
5,23139,BLG 202E,Numerical Methods in CE,,Yusuf Yaslan,EEB,Salı,0930/1229,---,80,0,Yok/None,"BLG, BLGE, CEN, YZVE","MAT 102 MIN DD
veya MAT 102E MIN DD
veya MAT 104 MIN DD
veya MAT 104E MIN DD",Yok/None
6,24708,BLG 212,Mikroişlemci Sistemleri,,Tamer Ölmez,EEB,Perşembe,0830/1129,2104,50,0,Yok/None,"EHB, ELE, ELK, KOM, TEL","BLG 231 MIN DD
veya BLG 231E MIN DD
veya EHB 205 MIN DD
veya EHB 205E MIN DD
veya EEF 205 MIN DD
veya EEF 205E MIN DD",Yok/None
7,24709,BLG 212E,Microprocessor Systems,,Tankut Akgül,EEB,Perşembe,0830/1129,5202,50,0,Yok/None,"EHB, EHBE, ELE, ELH, ELK, ELKE, KOM, KOME","BLG 231 MIN DD
veya BLG 231E MIN DD
veya EHB 205 MIN DD
veya EHB 205E MIN DD
veya EEF 205 MIN DD
veya EEF 205E MIN DD",Yok/None
8,23137,BLG 222E,Computer Organization,,Deniz Turgay Altılar,EEB,Perşembe,0830/1129,---,80,0,Yok/None,"BLG, BLGE, CEN","BLG 231 MIN DD
veya BLG 231E MIN DD",Yok/None
9,23138,BLG 222E,Computer Organization,,Gökhan İnce,EEB,Perşembe,0830/1129,---,80,0,Yok/None,"BLG, BLGE, CEN","BLG 231 MIN DD
veya BLG 231E MIN DD",Yok/None
10,23134,BLG 223E,Data Structures,,Mehmet Baysan,"EEB
EEB","Pazartesi
Perşembe","1430/1629
1330/1529","---
---",80,0,Yok/None,"BLG, BLGE, CEN","BLG 102 MIN DD
veya BLG 102E MIN DD
veya BIL 104 MIN DD
veya BIL 104E MIN DD
veya BIL 105 MIN DD
veya BIL 105E MIN DD",Yok/None
11,23142,BLG 242E,Logic Circuits Laboratory,,Mustafa Ersel Kamaşak,EEB,Cuma,1030/1229,---,60,0,Yok/None,"BLG, BLGE","BLG 231 MIN DD
veya BLG 231E MIN DD
veya EHB 205 MIN DD
veya EHB 205E MIN DD",Yok/None
12,23143,BLG 242E,Logic Circuits Laboratory,,İlkay Öksüz,EEB,Cuma,1400/1559,---,60,0,Yok/None,"BLG, BLGE","BLG 231 MIN DD
veya BLG 231E MIN DD
veya EHB 205 MIN DD
veya EHB 205E MIN DD",Yok/None
13,23144,BLG 242E,Logic Circuits Laboratory,,İlkay Öksüz,EEB,Cuma,1600/1759,---,60,0,Yok/None,"BLG, BLGE","BLG 231 MIN DD
veya BLG 231E MIN DD
veya EHB 205 MIN DD
veya EHB 205E MIN DD",Yok/None
14,23135,BLG 252E,Object Oriented Programming,,Gülşen Eryiğit,EEB,Pazartesi,0830/1129,---,90,0,Yok/None,"BLG, BLGE, CEN, YZVE","BIL 104E MIN DD
veya BIL 104 MIN DD
veya BIL 105E MIN DD
veya BIL 105 MIN DD
veya BLG 102 MIN DD
veya BLG 102E MIN DD
veya EHB 110 MIN DD
veya EHB 110E MIN DD
veya KON 110 MIN DD
veya KON 110E MIN DD
veya YZV 102E MIN DD
veya YZV 104E MIN DD
veya EEF 110 MIN DD
veya EEF 110E MIN DD",Yok/None
