,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,22372,JEF 208E,Comp. Appl. in Geophy.,,"Seda Yolsal Çevikbilen, Doğa Doğan, Neslihan Ocakoğlu Gökaşan",MDB,Salı,0830/1129,A201,60,0,Yok/None,JEF,Yok/None,Yok/None
1,22358,JEF 212E,Data Processing,,Hüseyin Argun Kocaoğlu,"MDB
MDB","Pazartesi
Cuma","1030/1229
1430/1629","---
B207",60,0,Yok/None,"JEF, JEFE, JEFM","MAT 104 MIN DD
veya MAT 104E MIN DD
veya MAT 102 MIN DD
veya MAT 102E MIN DD",Yok/None
2,22373,JEF 222,Arama Jeofiziğinin Temelleri,,Caner İmren,MDB,Salı,1330/1729,A301,60,0,Yok/None,"JEF, JEFM",Yok/None,Yok/None
3,22374,JEF 222E,Fundamentals of Exp.Geophysics,,Gonca Örgülü,MDB,Salı,1330/1729,B205,60,0,Yok/None,"JEFE, PETE",Yok/None,Yok/None
4,22404,JEF 310E,Geodynamics,,Tuna Eken,MDB,Cuma,1430/1729,A204,15,0,Yok/None,"JEF, JEFE, JEFM","JEF 222 MIN DD
veya JEF 222E MIN DD",Yok/None
5,22386,JEF 318,Kuyu Jeofiziği,,Ümit Avşar,MDB,Cuma,1430/1729,A205,15,0,Yok/None,"JEF, JEFM","JEF 222 MIN DD
veya JEF 222E MIN DD",Yok/None
6,22385,JEF 322,Jeomanyetizma,,Turgay İşseven,MDB,Cuma,0830/1129,A202,40,0,Yok/None,"JEF, JEFM",Yok/None,Yok/None
7,22378,JEF 331,Elektromanyetik Prospeksiyon,,Ümit Avşar,MDB,Çarşamba,0830/1229,A103,40,0,Yok/None,"JEF, JEFM","(FIZ 101 MIN DD
veya FIZ 101E MIN DD)
ve (FIZ 102 MIN DD
veya FIZ 102E MIN DD)
ve (MAT 104 MIN DD
veya MAT 104E MIN DD
veya MAT 102 MIN DD
veya MAT 102E MIN DD)",Yok/None
8,22377,JEF 334E,Seismic Prospecting,,Hülya Kurt,MDB,Pazartesi,1330/1729,B205,40,0,Yok/None,"JEF, JEFE, JEFM","(FIZ 101 MIN DD
veya FIZ 101E MIN DD)
ve (FIZ 102 MIN DD
veya FIZ 102E MIN DD)
ve (MAT 104 MIN DD
veya MAT 104E MIN DD
veya MAT 102 MIN DD
veya MAT 102E MIN DD)",Yok/None
9,22376,JEF 346,Jeofizikte Ölçmeler,,Caner İmren,"MDB
MDB","Pazartesi
Perşembe","0830/1029
1530/1729","A202
B206",60,0,Yok/None,"JEF, JEFM","JEF 222 MIN DD
veya JEF 222E MIN DD",Yok/None
10,22387,JEF 408E,Seismotectonics,,Tuncay Taymaz,MDB,Salı,0830/1129,A202,40,0,Yok/None,JEF,Yok/None,Yok/None
11,22405,JEF 423E,Environmental Geophysics,,Abdullah Karaman,MDB,Pazartesi,0830/1129,D106,15,0,Yok/None,"JEF, JEFE","JEF 222 MIN DD
veya JEF 222E MIN DD",Yok/None
12,22388,JEF 428E,Readings in Geophysics,,Tuncay Taymaz,MDB,Pazartesi,1330/1629,A301,15,0,Yok/None,"JEF, JEFE, JEFM","JEF 222 MIN DD
veya JEF 222E MIN DD",Yok/None
13,22398,JEF 430E,Marine Geophysics,,Mustafa Emin Demirbağ,MDB,Çarşamba,0830/1129,A204,15,0,Yok/None,"JEF, JEFE, JEFM","JEF 222 MIN DD
veya JEF 222E MIN DD",Yok/None
14,22403,JEF 432E,Groundwater Exploration,,Doğa Doğan,MDB,Cuma,0830/1129,A203,15,0,Yok/None,"JEF, JEFE, JEFM","JEF 222 MIN DD
veya JEF 222E MIN DD",Yok/None
15,22402,JEF 436E,Hydrocarbon Geophysics,,Neslihan Ocakoğlu Gökaşan,MDB,Perşembe,1330/1629,B204,15,0,Yok/None,"JEF, JEFE, JEFM, PET, PETE","JEF 222 MIN DD
veya JEF 222E MIN DD",Yok/None
16,22396,JEF 438,Sismik Yorumlama,,Hülya Kurt,MDB,Salı,1330/1629,D106,15,0,Yok/None,"JEF, JEFM","(JEF 332E MIN DD
veya JEF 334E MIN DD)
ve (JEF 222 MIN DD
veya JEF 222E MIN DD)",Yok/None
