,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,21021,END 112E,Intr. to Manufacturing Systems,,Vehbi Tufan Koç,MED,Perşembe,1130/1429,A16,120,0,Yok/None,"END, ENDE, IND",Yok/None,Yok/None
1,21022,END 112E,Intr. to Manufacturing Systems,,Vehbi Tufan Koç,MED,Perşembe,1430/1729,A33,120,0,Yok/None,"END, ENDE, IND",Yok/None,Yok/None
2,21023,END 201E,Industrial Eng.Appl. in Python,Çevrimiçi/Online,Mehmet Yasin Ulukuş,----,Salı,0830/1129,----,120,0,Yok/None,"END, ENDE, IND","BIL 110E MIN DD
veya BIL 100E MIN DD",Yok/None
3,21024,END 201E,Industrial Eng.Appl. in Python,Çevrimiçi/Online,Mehmet Ali Ergün,----,Salı,1430/1729,----,120,0,Yok/None,"END, ENDE, IND","BIL 110E MIN DD
veya BIL 100E MIN DD",Yok/None
4,24825,END 210E,Linear Algebra for Indust.Eng.,,Erkan Işıklı,MED,Çarşamba,1230/1529,A35,50,0,Yok/None,"END, ENDE","MAT 104 MIN DD
veya MAT 104E MIN DD",Yok/None
5,21025,END 232,İşbilim,,Ayşe Elvan Bayraktaroğlu,INB,Pazartesi,1130/1429,A101,60,0,Yok/None,"END, IML",Yok/None,Yok/None
6,21026,END 232,İşbilim,,Ayşe Elvan Bayraktaroğlu,INB,Salı,1130/1429,A301,60,0,Yok/None,"END, IML",Yok/None,Yok/None
7,21027,END 232E,Ergonomics,,Fethi Çalışır,MDB,Çarşamba,0930/1229,B205,85,0,"END/5/0
ENDE/80/0","END, ENDE, IND",Yok/None,Yok/None
8,24835,END 252E,Theory of Probability,,Kutay Tinç,EEB,Cuma,0930/1229,4104,50,0,Yok/None,"END, ENDE","(MAT 103 MIN DD
veya MAT 103E MIN DD
veya MAT 101 MIN DD
veya MAT 101E MIN DD)
ve (MAT 104 MIN DD
veya MAT 104E MIN DD
veya MAT 102 MIN DD
veya MAT 102E MIN DD)",Yok/None
9,21029,END 308,Kalite Mühendisliği,,Hüsnü Bülent Cerit,INB,Çarşamba,0930/1129,A105,70,0,Yok/None,END,"END 311 MIN DD
veya END 311E MIN DD",Yok/None
10,21032,END 308,Kalite Mühendisliği,,Hüsnü Bülent Cerit,MED,Çarşamba,1330/1529,A36,70,0,Yok/None,END,"END 311 MIN DD
veya END 311E MIN DD",Yok/None
11,21034,END 308E,Quality Engineering,,Seda Yanık,MED,Perşembe,0930/1129,A36,70,0,"END/5/0
ENDE/65/0","END, ENDE","END 311 MIN DD
veya END 311E MIN DD",Yok/None
12,21039,END 311,İstatistik,,Cengiz Kahraman,MED,Pazartesi,1430/1729,A33,60,0,Yok/None,END,"END 252 MIN DD
veya END 252E MIN DD",Yok/None
13,21042,END 311,İstatistik,,Cengiz Kahraman,MED,Cuma,1400/1659,A33,60,0,Yok/None,END,"END 252 MIN DD
veya END 252E MIN DD",Yok/None
14,21043,END 311E,Statistics,,Seda Yanık,MDB,Salı,0830/1129,A101,70,0,"END/5/0
ENDE/65/0","END, ENDE, IND","END 252 MIN DD
veya END 252E MIN DD",Yok/None
15,21048,END 312,Mühendislik Ekonomisi,,Cengiz Kahraman,INB,Pazartesi,1130/1429,A102,70,0,Yok/None,END,Yok/None,Yok/None
16,21049,END 312,Mühendislik Ekonomisi,,İrem Uçal Sarı,MDB,Pazartesi,1130/1429,B204,70,0,Yok/None,END,Yok/None,Yok/None
17,21050,END 312E,Engineering Economics,,İrem Uçal Sarı,MDB,Çarşamba,1230/1529,B204,80,0,"END/5/0
ENDE/75/0","END, ENDE",Yok/None,Yok/None
18,21051,END 314,Hizmet Sistemleri,,Cemil Ceylan,EEB,Perşembe,1130/1429,5105,40,0,Yok/None,END,Yok/None,Yok/None
19,21052,END 318,Sistem Dinamiği,,Cafer Erhan Bozdağ,EEB,Salı,1430/1729,1303,40,0,Yok/None,END,"END 211 MIN DD
veya END 211E MIN DD
veya END 215 MIN DD
veya END 215E MIN DD",Yok/None
20,21053,END 322,Sistem Simülasyonu,,Cafer Erhan Bozdağ,"MED
MED","Salı
Cuma","0930/1129
1130/1229","A16
A16",70,0,Yok/None,END,"(END 211 MIN DD
veya END 211E MIN DD
veya END 215 MIN DD
veya END 215E MIN DD)
ve (END 311 MIN DD
veya END 311E MIN DD)",Yok/None
21,21054,END 322,Sistem Simülasyonu,,Cafer Erhan Bozdağ,"INB
INB","Salı
Cuma","1230/1429
0930/1029","B203
B203",70,0,Yok/None,END,"(END 211 MIN DD
veya END 211E MIN DD
veya END 215 MIN DD
veya END 215E MIN DD)
ve (END 311 MIN DD
veya END 311E MIN DD)",Yok/None
22,21055,END 322E,System Simulation,,Mehmet Ali Ergün,KMB,Salı,1130/1429,D203,75,0,"END/5/0
ENDE/70/0","END, ENDE","(END 211 MIN DD
veya END 211E MIN DD
veya END 215 MIN DD
veya END 215E MIN DD)
ve (END 311 MIN DD
veya END 311E MIN DD)",Yok/None
23,21056,END 331,Yöneylem Araştırması I,,Özgür Kabak,EEB,Pazartesi,0830/1129,5302,120,0,Yok/None,END,"MAT 261 MIN DD
veya MAT 261E MIN DD
veya MAT 121 MIN DD
veya MAT 210 MIN DD
veya MAT 210E MIN DD
veya END 210 MIN DD
veya END 210E MIN DD",Yok/None
24,21057,END 331E,Operations Research I,,Kutay Tinç,MED,Pazartesi,1130/1429,A11,120,0,"END/10/0
ENDE/110/0","END, ENDE, IND, KOME, PETE","MAT 121 MIN DD
veya MAT 121E MIN DD
veya MAT 261 MIN DD
veya MAT 261E MIN DD
veya MAT 210 MIN DD
veya MAT 210E MIN DD
veya END 210 MIN DD
veya END 210E MIN DD",Yok/None
25,21059,END 339,Proje Yönetimi,,Ayberk Soyer,MED,Perşembe,0830/1129,B35,40,0,Yok/None,END,Yok/None,Yok/None
26,21061,END 344,Davranış Bilimleri,,Cahit Ali Bayraktar,KMB,Pazartesi,1430/1729,D103,40,0,Yok/None,"END, IML",Yok/None,Yok/None
27,21060,END 365E,People Analytics,,Hasan Karabakkal,MED,Salı,0830/1129,B33,30,0,Yok/None,"END, ENDE",Yok/None,Yok/None
28,21062,END 374,Rekabet Yönetimi,,Cahit Ali Bayraktar,KMB,Pazartesi,1130/1429,D103,40,0,Yok/None,END,Yok/None,Yok/None
29,21063,END 382,Üretim Yöntemleri,,Hüsnü Bülent Cerit,INB,Cuma,0830/1129,A203,60,0,Yok/None,END,END 112E MIN DD,Yok/None
30,21064,END 382E,Production Methods,,Esra Baş,INB,Cuma,0930/1229,A304,60,0,"END/5/0
ENDE/55/0","END, ENDE",END 112E MIN DD,Yok/None
31,21066,END 412,İnsn Kynkları Yntmnin Temeller,,Cemil Ceylan,MED,Salı,1430/1729,A11,70,0,Yok/None,END,"END 431 MIN DD
veya END 431E MIN DD",Yok/None
32,21065,END 412,İnsn Kynkları Yntmnin Temeller,,Seçkin Polat,MED,Çarşamba,1230/1529,A11,70,0,Yok/None,END,"END 431 MIN DD
veya END 431E MIN DD",Yok/None
33,21092,END 412E,Human Resource Management,,Gaye Karaçay Aydın,MED,Perşembe,1430/1729,A35,70,0,"END/5/0
ENDE/65/0","END, ENDE","END 431 MIN DD
veya END 431E MIN DD",Yok/None
