,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,20939,EHB 208,Veri Yapıları ve Programlama,,***,EEB,Cuma,1400/1659,---,0,0,Yok/None,"EHB, ELK, KOM, TEL","BIL 105E MIN DD
veya EHB 110E MIN DD
veya EHB 110 MIN DD
veya EEF 110 MIN DD
veya EEF 110E MIN DD",Yok/None
1,20940,EHB 208,Veri Yapıları ve Programlama,,***,EEB,Cuma,1400/1659,5304,70,70,Yok/None,"EHB, ELK, KOM, TEL","BIL 105E MIN DD
veya EHB 110E MIN DD
veya EHB 110 MIN DD
veya EEF 110 MIN DD
veya EEF 110E MIN DD",Yok/None
2,20941,EHB 208,Veri Yapıları ve Programlama,,***,EEB,Cuma,1400/1659,---,0,0,Yok/None,"EHB, ELK, KOM, TEL","BIL 105E MIN DD
veya EHB 110E MIN DD
veya EHB 110 MIN DD
veya EEF 110 MIN DD
veya EEF 110E MIN DD",Yok/None
3,20942,EHB 208E,Data Structures & Programming,,***,EEB,Cuma,1400/1659,5104,0,0,Yok/None,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME, TEL","BIL 105E MIN DD
veya EHB 110E MIN DD
veya EHB 110 MIN DD
veya EEF 110 MIN DD
veya EEF 110E MIN DD",Yok/None
4,24844,EHB 208E,Data Structures & Programming,,***,EEB,Cuma,1400/1659,---,140,140,Yok/None,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME, TEL","BIL 105E MIN DD
veya EHB 110E MIN DD
veya EHB 110 MIN DD
veya EEF 110 MIN DD
veya EEF 110E MIN DD",Yok/None
5,24845,EHB 208E,Data Structures & Programming,,***,EEB,Cuma,1400/1659,5202,-,-,Yok/None,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME, TEL","BIL 105E MIN DD
veya EHB 110E MIN DD
veya EHB 110 MIN DD
veya EEF 110 MIN DD
veya EEF 110E MIN DD",Yok/None
6,20943,EHB 222E,Introduction to Electronics,,***,EEB,Pazartesi,0830/1129,5204,60,60,Yok/None,"EEE, EHB, EHBE, ELE, ELH, ELK, ELKE, KOM, KOME, MKN, TEL",Yok/None,Yok/None
7,23173,EHB 222E,Introduction to Electronics,,***,EEB,Pazartesi,0830/1129,2106,60,60,Yok/None,"EEE, EHB, EHBE, ELE, ELH, ELK, ELKE, KOM, KOME, MKN, TEL",Yok/None,Yok/None
8,20945,EHB 311E,Intr.to Electronics Laboratory,,Hasan Bülent Yağcı,EEB,Pazartesi,1500/1659,---,40,16,Yok/None,"EHB, EHBE, EHS, KOM, KOME, SEH","EHB 262 MIN DD
veya EHB 262E MIN DD
veya EHB 222 MIN DD
veya EHB 222E MIN DD
veya EEF 262 MIN DD
veya EEF 262E MIN DD",Yok/None
9,20944,EHB 311E,Intr.to Electronics Laboratory,,Bora Döken,EEB,Çarşamba,0830/1029,---,40,28,Yok/None,"EHB, EHBE, EHS, KOM, KOME","EHB 262 MIN DD
veya EHB 262E MIN DD
veya EHB 222 MIN DD
veya EHB 222E MIN DD
veya EEF 262 MIN DD
veya EEF 262E MIN DD",Yok/None
