,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,23178,GEM 102,Gemi Geometrisi,,Murat Emre Demir,GDB,Pazartesi,1400/1659,R409,40,40,Yok/None,GEM,Yok/None,Yok/None
1,23179,GEM 102,Gemi Geometrisi,,Fuzuli Ağrı Akçay,GDB,Salı,1400/1659,R409,40,40,Yok/None,GEM,Yok/None,Yok/None
2,23183,GEM 204,Termodinamik,,"Oğuz Salim Söğüt, Ahmet Ergün Palaz","GDB
GDB","Çarşamba
Perşembe","1130/1329
1030/1229","D407
D407",40,40,Yok/None,GEM,"(KIM 101 MIN DD
veya KIM 101E MIN DD)
ve (FIZ 101 MIN DD
veya FIZ 101E MIN DD)",Yok/None
3,23184,GEM 204,Termodinamik,,Halil Saraçoğlu,"GDB
GDB","Çarşamba
Perşembe","1130/1329
1030/1229","D406
D406",40,38,Yok/None,GEM,"(KIM 101 MIN DD
veya KIM 101E MIN DD)
ve (FIZ 101 MIN DD
veya FIZ 101E MIN DD)",Yok/None
4,23185,GEM 212,Imal Usulleri,,Gökhan Tansel Tayyar,GDB,Çarşamba,1330/1529,D303,25,25,Yok/None,GEM,"MAL 201 MIN DD
veya MAL 201E MIN DD",Yok/None
5,23186,GEM 214E,Engineering Measurements,,Emin Korkut,GDB,Cuma,0930/1229,D406,40,40,Yok/None,"GEM, GEME",Yok/None,Yok/None
6,23187,GEM 216E,Heat Transfer In Engineering,,Selma Ergin,GDB,Cuma,0930/1229,D407,40,40,Yok/None,"GEM, GEME",Yok/None,Yok/None
7,23190,GEM 312,Gemi Yardımcı Makinaları,,Osman Azmi Özsoysal,GDB,Pazartesi,1030/1329,410,80,80,Yok/None,GEM,Yok/None,Yok/None
8,23191,GEM 324,Gemi Mukavemeti,,Ertekin Bayraktarkatal,"GDB
GDB","Salı
Perşembe","1400/1559
1330/1529","409
409",60,60,Yok/None,GEM,"(GEM 325 MIN DD
veya GEM 325E MIN DD)
ve (MUK 204 MIN DD
veya MUK 204E MIN DD)",Yok/None
9,23192,GEM 326E,Ship Design,,Devrim Bülent Danışman,"GDB
GDB","Salı
Çarşamba","1130/1329
1330/1529","D401
D401",80,72,Yok/None,"GEM, GEME","(GEM 321 MIN DD
veya GEM 321E MIN DD)
ve (GEM 327E MIN DD
veya GEM 341 MIN DD
veya GEM 341E MIN DD)",Yok/None
10,23193,GEM 328E,Ship Hydrodynamics(Propulsion),,Emin Korkut,GDB,Salı,0830/1129,D311,80,67,Yok/None,"GEM, GEME",GEM 327E MIN DD,Yok/None
11,23194,GEM 332,Gemi Elektrik Sistemleri,,Yalçın Ünsan,GDB,Pazartesi,0830/1029,D311,80,60,Yok/None,GEM,Yok/None,Yok/None
12,23207,GEM 354,Gem.İnş.&Gem.San.İş Gv.&İşç.Sğ,,Halil Saraçoğlu,GDB,Pazartesi,1430/1629,409,80,80,Yok/None,GEM,Yok/None,Yok/None
13,24585,GEM 407E,Methods of Ship Production,,Gökhan Tansel Tayyar,"GDB
GDB","Çarşamba
Perşembe","0830/1029
1530/1629","D406
D406",40,38,Yok/None,"DEN, DENE, GEM, GEME","GEM 205 MIN DD
veya GEM 212 MIN DD
veya DEN 320E MIN DD",Yok/None
14,21129,GEM 412E,Shipyard Organization,,Erdem Üçer,GDB,Pazartesi,0830/1029,D401,60,60,Yok/None,"DEN, DENE",Yok/None,Yok/None
15,24726,GEM 412E,Shipyard Organization,,Erdem Üçer,GDB,Cuma,0830/1029,D401,80,51,Yok/None,"GEM, GEME",Yok/None,Yok/None
16,23198,GEM 416,Savaş Gemileri Dizaynı,,Mehmet Ali Baykal,GDB,Cuma,1030/1229,D303,35,35,Yok/None,GEM,Yok/None,Yok/None
17,23199,GEM 418E,Corrsn & Fouling In Marine Env,,Metin Taylan,GDB,Perşembe,0830/1029,D304,35,35,Yok/None,"GEM, GEME",Yok/None,Yok/None
