,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,22134,TEK 116E,Fiber Science,,"İkilem Göcek, Meltem Yanılmaz",MKB,Perşembe,0830/1129,D374,40,30,Yok/None,"TEKE, TEKM",Yok/None,Yok/None
1,22166,TEK 116E,Fiber Science,,Alper Gürarslan,MKB,Perşembe,0830/1129,D360,40,40,Yok/None,"TEKE, TEKM",Yok/None,Yok/None
2,22171,TEK 233E,Introduction to Yarn Spinning,,"Fatma Banu Nergis, Yeşim Beceren",MKB,Salı,0830/1129,D361A,40,22,Yok/None,"TEK, TEKE, TEKM","TEK 112 MIN DD
veya TEK 112E MIN DD
veya TEK 114E MIN DD
veya TEK 116E MIN DD",Yok/None
3,22172,TEK 234E,Weaving Preparation,,Burçak Karagüzel Kayaoğlu,MKB,Pazartesi,1330/1629,D376,40,37,Yok/None,"TEKE, TEKM","TEK 221 MIN DD
veya TEK 231E MIN DD
veya TEK 233E MIN DD",Yok/None
4,22173,TEK 234E,Weaving Preparation,,İlkay Özsev Yüksek,MKB,Salı,0830/1129,D361B,40,25,Yok/None,"TEKE, TEKM","TEK 221 MIN DD
veya TEK 231E MIN DD
veya TEK 233E MIN DD",Yok/None
5,22175,TEK 254E,Knitting Technology,,Cevza Candan,MKB,Salı,1330/1629,D378,40,40,Yok/None,"TEKE, TEKM","TEK 221 MIN DD
veya TEK 231E MIN DD
veya TEK 233E MIN DD",Yok/None
6,22176,TEK 254E,Knitting Technology,,Sena Duru,MKB,Salı,1330/1629,D380A,40,27,Yok/None,"TEKE, TEKM","TEK 221 MIN DD
veya TEK 231E MIN DD
veya TEK 233E MIN DD",Yok/None
7,22187,TEK 308E,Yarn Technology II,,Nazan Okur,"MKB
MKB","Pazartesi
Çarşamba","0830/1029
1330/1529","D368B
D357",40,40,Yok/None,"TEKE, TEKM","TEK 231E MIN DD
veya TEK 233E MIN DD
veya TEK 221 MIN DD",Yok/None
8,22189,TEK 308E,Yarn Technology II,,"Fatma Banu Nergis, Yeşim Beceren","MKB
MKB","Pazartesi
Çarşamba","0830/1029
1330/1529","D374
D361B",40,39,Yok/None,"TEKE, TEKM","TEK 231E MIN DD
veya TEK 233E MIN DD
veya TEK 221 MIN DD",Yok/None
9,22177,TEK 316E,Int.toColoration&Finishing Prc,,Berdan Kalav,"MKB
MKB","Salı
Perşembe","0830/1029
1030/1229","D368B
D378",40,40,Yok/None,"TEK, TEKE, TEKM","TEK 211 MIN DD
veya TEK 211E MIN DD
veya TEK 213E MIN DD",Yok/None
