,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,21644,MIM 106,Yapı Mekaniği,,--,"MMB
MMB","Çarşamba
Çarşamba","1030/1229
1330/1529","---
---",0,0,Yok/None,"EUT, ICM, MIM",Yok/None,Yok/None
1,21682,MIM 106,Yapı Mekaniği,,Halet Almıla Büyüktaşkın,"MMB
MMB","Çarşamba
Çarşamba","1030/1229
1330/1529","215
215",82,82,Yok/None,"EUT, ICM, MIM",Yok/None,Yok/None
2,21684,MIM 106,Yapı Mekaniği,,Haluk Sesigür,"MMB
MMB","Çarşamba
Çarşamba","1030/1229
1330/1529","216
216",82,82,Yok/None,"EUT, ICM, MIM",Yok/None,Yok/None
3,21686,MIM 106E,Structural Mechanics,,Gülseren Erol Soyöz,"MMB
MMB","Çarşamba
Çarşamba","1030/1229
1330/1529","231
231",110,29,Yok/None,"ARC, ENTE, EUTE, ICM, MIM, MIME",Yok/None,Yok/None
4,21687,MIM 106E,Structural Mechanics,,Cenk Üstündağ,"MMB
MMB","Çarşamba
Çarşamba","1030/1229
1330/1529","230
230",145,145,Yok/None,"ARC, ENTE, EUTE, IAD, ICM, MIM, MIME",Yok/None,Yok/None
5,21689,MIM 114,Erişilebilirlik,Çevrimiçi/Online,Göksenin İnalhan,----,Salı,0830/1029,----,50,9,Yok/None,MIM,Yok/None,Yok/None
6,21691,MIM 114E,Accessibility,Çevrimiçi/Online,Göksenin İnalhan,----,Salı,1030/1229,----,40,8,Yok/None,MIME,Yok/None,Yok/None
7,21692,MIM 120E,Int.toCmp.Ds.Tools&Mth.inArch.,Çevrimiçi/Online,Michael Stefan Bittermann,----,Cuma,1400/1659,----,150,139,Yok/None,"ARC, MIM, MIME",Yok/None,Yok/None
8,24398,MIM 120E,Int.toCmp.Ds.Tools&Mth.inArch.,Çevrimiçi/Online,Aslı Çekmiş,----,Cuma,1400/1659,----,150,150,Yok/None,"ARC, MIM, MIME",Yok/None,Yok/None
9,21694,MIM 204,Mimarlık. Yapı Elemanları Tas.,,--,"MMB
MMB","Çarşamba
Çarşamba","0930/1229
1330/1529","---
---",0,0,Yok/None,MIM,"MIM 203 MIN DD
veya MIM 203E MIN DD
veya MIM 261 MIN DD
veya MIM 261E MIN DD
veya MIM 231 MIN DD
veya MIM 231E MIN DD
veya MIM 263 MIN DD
veya MIM 263E MIN DD
veya ICM 231 MIN DD
veya ICM 231E MIN DD",Yok/None
10,21696,MIM 204,Mimarlık. Yapı Elemanları Tas.,,Ayşe Nil Türkeri,"MMB
MMB","Çarşamba
Çarşamba","0930/1229
1330/1529","CATI1
CATI1",48,48,Yok/None,MIM,"MIM 203 MIN DD
veya MIM 203E MIN DD
veya MIM 261 MIN DD
veya MIM 261E MIN DD
veya MIM 231 MIN DD
veya MIM 231E MIN DD
veya MIM 263 MIN DD
veya MIM 263E MIN DD
veya ICM 231 MIN DD
veya ICM 231E MIN DD",Yok/None
11,21697,MIM 204,Mimarlık. Yapı Elemanları Tas.,,Hülya Kuş,"MMB
MMB","Çarşamba
Çarşamba","0930/1229
1330/1529","CATI2
CATI2",48,42,Yok/None,MIM,"MIM 203 MIN DD
veya MIM 203E MIN DD
veya MIM 261 MIN DD
veya MIM 261E MIN DD
veya MIM 231 MIN DD
veya MIM 231E MIN DD
veya MIM 263 MIN DD
veya MIM 263E MIN DD
veya ICM 231 MIN DD
veya ICM 231E MIN DD",Yok/None
12,21699,MIM 204,Mimarlık. Yapı Elemanları Tas.,,Caner Göçer,"MMB
MMB","Çarşamba
Çarşamba","0930/1229
1330/1529","CATI3
CATI3",48,48,Yok/None,MIM,"MIM 203 MIN DD
veya MIM 203E MIN DD
veya MIM 261 MIN DD
veya MIM 261E MIN DD
veya MIM 231 MIN DD
veya MIM 231E MIN DD
veya MIM 263 MIN DD
veya MIM 263E MIN DD
veya ICM 231 MIN DD
veya ICM 231E MIN DD",Yok/None
13,21700,MIM 204E,Arch.Building Element Design,,--,"MMB
MMB","Çarşamba
Çarşamba","0930/1229
1330/1529","---
---",0,0,Yok/None,"ARC, ICM, MIM, MIME","MIM 203 MIN DD
veya MIM 203E MIN DD
veya MIM 261 MIN DD
veya MIM 261E MIN DD
veya MIM 231 MIN DD
veya MIM 231E MIN DD
veya MIM 263 MIN DD
veya MIM 263E MIN DD
veya ICM 231 MIN DD
veya ICM 231E MIN DD",Yok/None
14,21701,MIM 204E,Arch.Building Element Design,,Fatih Yazıcıoğlu,"MMB
MMB","Çarşamba
Çarşamba","0930/1229
1330/1529","CATI4
CATI4",48,47,Yok/None,"ARC, ICM, MIME","MIM 203 MIN DD
veya MIM 203E MIN DD
veya MIM 261 MIN DD
veya MIM 261E MIN DD
veya MIM 231 MIN DD
veya MIM 231E MIN DD
veya MIM 263 MIN DD
veya MIM 263E MIN DD
veya ICM 231 MIN DD
veya ICM 231E MIN DD",Yok/None
15,21702,MIM 204E,Arch.Building Element Design,,Fethiye Ecem Edis,"MMB
MMB","Çarşamba
Çarşamba","0930/1229
1330/1529","CATI5
CATI5",48,42,Yok/None,"ARC, ICM, MIME","MIM 203 MIN DD
veya MIM 203E MIN DD
veya MIM 261 MIN DD
veya MIM 261E MIN DD
veya MIM 231 MIN DD
veya MIM 231E MIN DD
veya MIM 263 MIN DD
veya MIM 263E MIN DD
veya ICM 231 MIN DD
veya ICM 231E MIN DD",Yok/None
16,25039,MIM 208E,Structural Analysis& Design I,,"Halet Almıla Büyüktaşkın, Gülseren Erol Soyöz","MMB
MMB","Salı
Cuma","1030/1229
1030/1229","305
307",15,8,Yok/None,"MIM, MIME","MIM 106 MIN DD
veya MIM 106E MIN DD",Yok/None
17,21704,MIM 209E,History of Architecture I,,Nejat Turgut Saner,MMB,Salı,1330/1629,230,90,55,Yok/None,"ARC, MIM, MIME",Yok/None,Yok/None
18,21705,MIM 210,Mimarlık Tarihi II,,Aygül Ağır,MMB,Pazartesi,0930/1229,230,103,101,Yok/None,MIM,"MIM 122 MIN DD
veya MIM 122E MIN DD
veya MIM 209 MIN DD
veya MIM 209E MIN DD",Yok/None
19,21707,MIM 210E,History of Architecture II,,"Zeynep Kuban Tokgöz, Bilge Ar",MMB,Pazartesi,0930/1229,231,110,102,"ARC/10/6
MIM/30/30
MIME/70/66","ARC, MIM, MIME","MIM 122 MIN DD
veya MIM 122E MIN DD
veya MIM 209 MIN DD
veya MIM 209E MIN DD",Yok/None
20,21708,MIM 211,Mimari Proje III,,--,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","---
---",0,0,Yok/None,MIM,"MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD
veya TES 121 MIN DD
veya TES 121E MIN DD",Yok/None
21,21718,MIM 211,Mimari Proje III,,Nizam Onur Sönmez,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","3400
3400",2,2,Yok/None,MIM,"MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD
veya TES 121 MIN DD
veya TES 121E MIN DD",Yok/None
22,21720,MIM 211,Mimari Proje III,,Tan Kamil Gürer,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","3400
3400",2,2,Yok/None,MIM,"MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD
veya TES 121 MIN DD
veya TES 121E MIN DD",Yok/None
23,21721,MIM 211,Mimari Proje III,,Burçin Kürtüncü,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","3400
3400",2,2,Yok/None,MIM,"MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD
veya TES 121 MIN DD
veya TES 121E MIN DD",Yok/None
24,21724,MIM 211E,Architectural Design III,,--,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","---
---",0,0,Yok/None,"ARC, MIM, MIME","MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD
veya TES 121 MIN DD
veya TES 121E MIN DD",Yok/None
25,21726,MIM 211E,Architectural Design III,,Pelin Dursun Çebi,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","3400
3400",3,2,"ARC/1/0
MIM/1/1
MIME/1/1","ARC, MIM, MIME","MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD
veya TES 121 MIN DD
veya TES 121E MIN DD",Yok/None
26,21728,MIM 211E,Architectural Design III,,Fatma Erkök,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","3502
3502",2,1,Yok/None,"ARC, MIM, MIME","MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD
veya TES 121 MIN DD
veya TES 121E MIN DD",Yok/None
27,21730,MIM 211E,Architectural Design III,,Nesip Ömer Erem,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","3503
3503",2,2,Yok/None,"ARC, MIM, MIME","MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD
veya TES 121 MIN DD
veya TES 121E MIN DD",Yok/None
28,21732,MIM 211E,Architectural Design III,,Sıdıka Aslıhan Şenel,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","3400
3400",2,1,"ARC/1/0
MIME/1/1","ARC, MIM, MIME","MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD
veya TES 121 MIN DD
veya TES 121E MIN DD",Yok/None
29,21742,MIM 211E,Architectural Design III,,Sevgi Türkkan,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","3400
3400",2,3,"ARC/1/0
MIME/1/3","ARC, MIM, MIME","MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD
veya TES 121 MIN DD
veya TES 121E MIN DD",Yok/None
30,21743,MIM 211E,Architectural Design III,,Elif Sezen Yağmur Kilimci,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","3504
3504",2,1,"ARC/1/0
MIME/1/1","ARC, MIM, MIME","MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD
veya TES 121 MIN DD
veya TES 121E MIN DD",Yok/None
31,21745,MIM 211E,Architectural Design III,,Funda Uz,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","CATI2
CATI2",3,2,"ARC/1/0
MIM/1/1
MIME/1/1","ARC, MIM, MIME","MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD
veya TES 121 MIN DD
veya TES 121E MIN DD",Yok/None
32,21748,MIM 211E,Architectural Design III,,İmdat As,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","3400
3400",2,2,Yok/None,"ARC, MIM, MIME","MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD
veya TES 121 MIN DD
veya TES 121E MIN DD",Yok/None
33,21750,MIM 212,Mimari Proje IV,,--,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","---
---",0,0,Yok/None,MIM,"MIM 211 MIN DD
veya MIM 211E MIN DD
veya TES 211E MIN DD",Yok/None
34,21751,MIM 212,Mimari Proje IV,,Nizam Onur Sönmez,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","3400
3400",22,22,Yok/None,MIM,"MIM 211 MIN DD
veya MIM 211E MIN DD
veya TES 211E MIN DD",Yok/None
35,21753,MIM 212,Mimari Proje IV,,Tan Kamil Gürer,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","3400
3400",22,22,Yok/None,MIM,"MIM 211 MIN DD
veya MIM 211E MIN DD
veya TES 211E MIN DD",Yok/None
