,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,22445,MTR 102,Makam Teorisi II,,Şerife Güvençoğlu,"TMB
TMB
TMB","Pazartesi
Çarşamba
Perşembe","1530/1729
1030/1229
1330/1529","---
---
---",40,26,Yok/None,"MTR, MUT, MUZ, MZT, SES","MTR 101 MIN CC
veya MTR 101E MIN CC",Yok/None
1,22442,MTR 102,Makam Teorisi II,,Eren Özek,"TMB
TMB
TMB","Salı
Çarşamba
Perşembe","1030/1229
1330/1529
1030/1229","---
---
---",40,13,Yok/None,"MTR, MUT, MUZ, MZT, SES","MTR 101 MIN CC
veya MTR 101E MIN CC",Yok/None
2,22446,MTR 102,Makam Teorisi II,,Şerife Güvençoğlu,"TMB
TMB
TMB","Salı
Çarşamba
Perşembe","1330/1529
1330/1529
1030/1229","---
---
---",40,34,Yok/None,"MTR, MUT, MUZ, MZT, SES","MTR 101 MIN CC
veya MTR 101E MIN CC",Yok/None
3,22448,MTR 104,Müzik Teorisi II,,Ufuk Biçak,"TMB
TMB
TMB","Pazartesi
Perşembe
Cuma","1030/1229
1330/1529
0830/1029","---
---
---",30,13,Yok/None,"MTR, MUT, MUZ, MZT, SES","MTR 103 MIN CC
veya MTR 103E MIN CC",Yok/None
4,22449,MTR 104,Müzik Teorisi II,,Mehmet Özkan,"TMB
TMB
TMB","Pazartesi
Salı
Perşembe","1030/1229
1530/1729
1330/1529","---
---
---",30,23,Yok/None,"MTR, MUT, MUZ, MZT, SES","MTR 103 MIN CC
veya MTR 103E MIN CC",Yok/None
5,22452,MTR 104,Müzik Teorisi II,,Emel Şenocak,"TMB
TMB
TMB","Pazartesi
Salı
Perşembe","1330/1529
1530/1729
1530/1729","---
---
---",30,7,Yok/None,"MTR, MUT, MUZ, MZT, SES","MTR 103 MIN CC
veya MTR 103E MIN CC",Yok/None
6,22454,MTR 104,Müzik Teorisi II,,Ayşecan Olgun,"TMB
TMB
TMB","Salı
Çarşamba
Cuma","1530/1729
1330/1529
0830/1029","---
---
---",30,16,Yok/None,"MTR, MUT, MUZ, MZT, SES","MTR 103 MIN CC
veya MTR 103E MIN CC",Yok/None
7,22455,MTR 106,Ritim Uygulama II,,Eyüp Uzunkaya,TMB,Salı,1330/1529,---,25,16,Yok/None,MTR,Yok/None,Yok/None
8,22456,MTR 122,Makam Teorisi II,,Şirin Karadeniz,"TMB
TMB","Pazartesi
Salı","1330/1529
0830/1029","---
---",30,8,Yok/None,THO,MTR 121 MIN CC,Yok/None
9,22457,MTR 124,Müzik Teorisi II,,Emel Şenocak,"TMB
TMB","Pazartesi
Perşembe","1530/1729
1330/1529","---
---",25,12,Yok/None,THO,MTR 123 MIN CC,Yok/None
