,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,22100,PAZ 104,Fabric Development,,"Cevza Candan, Fatma Kalaoğlu",MKB,Perşembe,0830/1229,D381B,30,10,Yok/None,STP,Yok/None,Yok/None
1,22103,PAZ 106,Color Creat.&Sustainable Appl.,,Nevin Çiğdem Gürsoy,MKB,Pazartesi,0830/1229,D381B,30,7,Yok/None,STP,Yok/None,Yok/None
2,22110,PAZ 108,Excel for Business,,Nazan Okur,MKB,Çarşamba,0930/1229,402,30,6,Yok/None,STP,Yok/None,Yok/None
3,22111,PAZ 110,America At Home:1900-Contemp.,,"Şükriye Yüksel Filiz, Belgin Görgün","MKB
MKB
MKB","Çarşamba
Perşembe
Cuma","1230/1329
1230/1329
0830/0929","D450
D450
D450",30,9,Yok/None,STP,Yok/None,Yok/None
4,22109,PAZ 128,Textile&Fashion Bus.in New Era,,İlkay Özsev Yüksek,MKB,Salı,1330/1529,D452,30,6,Yok/None,STP,Yok/None,Yok/None
5,22097,PAZ 132,Apparel/Home Tex.Prod.Mfg.,,Selin Hanife Eryürük,MKB,Cuma,0930/1229,D381A,30,6,Yok/None,STP,Yok/None,Yok/None
6,22132,PAZ 208,Internship-Career Exploration,,Canan Sarıçam,MKB,Perşembe,1330/1729,---,30,5,Yok/None,STP,Yok/None,Yok/None
7,22113,PAZ 210,The Forensics of Fiber Analy.,,Hale Karakaş,MKB,Çarşamba,0830/1229,D380B,30,7,Yok/None,STP,Yok/None,Yok/None
8,22112,PAZ 214,Textile Value Chain Marketing,,Canan Sarıçam,MKB,Cuma,1400/1659,D380A,30,6,Yok/None,STP,Yok/None,Yok/None
9,22128,PAZ 216,Performance Textiles,,Nazan Okur,MKB,Pazartesi,1330/1729,D452,30,7,Yok/None,STP,Yok/None,Yok/None
10,23292,PAZ 231,Macroeconomics,,Ahmet Atıl Aşıcı,MKB,Perşembe,1330/1629,D381A,30,6,Yok/None,"SMT, STP",Yok/None,Yok/None
11,22107,PAZ 331,Nonwovens,,İlkay Özsev Yüksek,MKB,Salı,1530/1729,D452,30,0,Yok/None,STP,Yok/None,Yok/None
