,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,21324,PEM 120E,Natural Systems &Design,,Meltem Erdem Kaya,MMB,Çarşamba,1330/1529,227,90,89,Yok/None,"PEM, PEME",Yok/None,Yok/None
1,21325,PEM 126E,Hist.Theo.&Crtc.in Lndsc.Arc.I,,Ebru Erbaş Gürler,MMB,Salı,0930/1229,229,90,82,Yok/None,"PEM, PEME",Yok/None,Yok/None
2,21326,PEM 134E,Plant Material I,,Elif Lutfiye Kutay Karaçor,MMB,Salı,1330/1729,213,38,39,Yok/None,"PEM, PEME",Yok/None,Yok/None
3,21327,PEM 134E,Plant Material I,,Elif Lutfiye Kutay Karaçor,MMB,Çarşamba,0830/1229,213,37,37,Yok/None,"PEM, PEME",Yok/None,Yok/None
4,24836,PEM 207E,Statistics,,Elif Kısar Koramaz,MMB,Salı,1330/1629,305,30,29,Yok/None,"PEM, PEME",Yok/None,Yok/None
5,21330,PEM 209E,Landform & Built Envir.Studio,,Fatma Ayçim Türer Başkaya,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","217B
217B",0,0,Yok/None,"PEM, PEME","TES 121 MIN DD
veya TES 121E MIN DD
veya MIM 116E MIN DD
veya MIM 112 MIN DD
veya MIM 112E MIN DD",Yok/None
6,21331,PEM 209E,Landform & Built Envir.Studio,,Melih Bozkurt,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","212
212",0,0,Yok/None,"PEM, PEME","TES 121 MIN DD
veya TES 121E MIN DD
veya MIM 116E MIN DD
veya MIM 112 MIN DD
veya MIM 112E MIN DD",Yok/None
7,24401,PEM 209E,Landform & Built Envir.Studio,,Ebru Erbaş Gürler,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","212
212",0,0,Yok/None,"PEM, PEME","TES 121 MIN DD
veya TES 121E MIN DD
veya MIM 116E MIN DD
veya MIM 112 MIN DD
veya MIM 112E MIN DD",Yok/None
8,21341,PEM 210E,Planting Design Studio,,Hayriye Eşbah Tunçay,MMB,Salı,0830/1229,CATI5,35,38,Yok/None,"PEM, PEME","(PEM 134E MIN DD
veya PEM 134 MIN DD
veya PEM 132 MIN DD
veya PEM 132E MIN DD)
ve (PEM 231 MIN DD
veya PEM 231E MIN DD
veya PEM 232 MIN DD
veya PEM 232E MIN DD)",Yok/None
9,21339,PEM 210E,Planting Design Studio,,Hayriye Eşbah Tunçay,MMB,Salı,1330/1729,CATI5,36,34,Yok/None,"PEM, PEME","(PEM 134E MIN DD
veya PEM 134 MIN DD
veya PEM 132 MIN DD
veya PEM 132E MIN DD)
ve (PEM 231 MIN DD
veya PEM 231E MIN DD
veya PEM 232 MIN DD
veya PEM 232E MIN DD)",Yok/None
10,21332,PEM 212E,Landscape Design I,,Fatma Ayçim Türer Başkaya,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","217B
217B",21,18,Yok/None,"PEM, PEME","MIM 211 MIN DC
veya MIM 211E MIN DC
veya TES 211E MIN DD
veya PEM 209E MIN DC",Yok/None
11,21334,PEM 212E,Landscape Design I,,Melih Bozkurt,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","212
212",21,21,Yok/None,"PEM, PEME","MIM 211 MIN DC
veya MIM 211E MIN DC
veya TES 211E MIN DD
veya PEM 209E MIN DC",Yok/None
12,24402,PEM 212E,Landscape Design I,,Ebru Erbaş Gürler,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","212
212",21,21,Yok/None,"PEM, PEME","MIM 211 MIN DC
veya MIM 211E MIN DC
veya TES 211E MIN DD
veya PEM 209E MIN DC",Yok/None
13,21329,PEM 214E,Resilient Urban Design,,Melih Bozkurt,MMB,Perşembe,0830/1229,230,75,74,Yok/None,"PEM, PEME",Yok/None,Yok/None
14,21335,PEM 253E,Landscape Construction I,,Hayriye Eşbah Tunçay,MMB,Pazartesi,0830/1229,217A,75,62,Yok/None,"PEM, PEME",Yok/None,Yok/None
15,21337,PEM 305E,Landscape Construction II,,Hayriye Eşbah Tunçay,MMB,Çarşamba,0830/1229,123B,10,8,Yok/None,"PEM, PEME",Yok/None,Yok/None
16,21342,PEM 311E,Landscape Design II,,Hayriye Eşbah Tunçay,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","217D
217D",5,1,Yok/None,"PEM, PEME","PEM 212 MIN DC
veya PEM 212E MIN DC",Yok/None
17,21343,PEM 311E,Landscape Design II,,Enise Burcu Derinboğaz,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","217A
217A",5,4,Yok/None,"PEM, PEME","PEM 212 MIN DC
veya PEM 212E MIN DC",Yok/None
18,21345,PEM 311E,Landscape Design II,,Meltem Erdem Kaya,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","333
333",5,5,Yok/None,"PEM, PEME","PEM 212 MIN DC
veya PEM 212E MIN DC",Yok/None
19,21347,PEM 312E,Landscape Design III,,Hayriye Eşbah Tunçay,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","217D
217D",15,14,Yok/None,"PEM, PEME","PEM 311 MIN DC
veya PEM 311E MIN DC",Yok/None
20,21348,PEM 312E,Landscape Design III,,Enise Burcu Derinboğaz,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","217A
217A",20,21,Yok/None,"PEM, PEME","PEM 311 MIN DC
veya PEM 311E MIN DC",Yok/None
21,21350,PEM 312E,Landscape Design III,,Meltem Erdem Kaya,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","333
333",15,15,Yok/None,"PEM, PEME","PEM 311 MIN DC
veya PEM 311E MIN DC",Yok/None
22,21351,PEM 316E,Urban Land. Pln& Design,,Gülşen Aytaç,MMB,Perşembe,0830/1129,227,60,51,Yok/None,"PEM, PEME",Yok/None,Yok/None
23,21352,PEM 324E,Landscape Management,,Fatma Ayçim Türer Başkaya,MMB,Cuma,1030/1229,227,70,67,Yok/None,"PEM, PEME",Yok/None,Yok/None
24,21353,PEM 356E,Rural Landscape Plan.&Design,,Meltem Erdem Kaya,MMB,Çarşamba,0830/1229,126,70,67,Yok/None,"PEM, PEME",Yok/None,Yok/None
25,21356,PEM 4014E,Dig.Repres.Tech.for Lands.Dsgn,,Ikhwan Kim,MMB,Cuma,1400/1659,333,36,36,Yok/None,"PEM, PEME",Yok/None,Yok/None
26,21357,PEM 4016E,Infrastructure Planning&Dev.,,Elif Lutfiye Kutay Karaçor,MMB,Salı,1030/1229,309,30,30,Yok/None,"PEM, PEME",Yok/None,Yok/None
