,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,21534,UZB 106E,Int.Astronaut. Eng.&Des.,,Alim Rüstem Aslan,UUB,Salı,0830/1229,D214,100,81,Yok/None,"UZB, UZBE",Yok/None,Yok/None
1,21553,UZB 112E,Computer Aided Drafting,,Hüsnü Barbaros Soyer,UUB,Perşembe,0830/1129,BIL1,80,73,Yok/None,"UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
2,21555,UZB 218E,Int.to Partial Diff.Eq. in Eng,,Mehmet Şahin,UUB,Cuma,1430/1729,D109,60,35,Yok/None,"UCK, UCKE, UZB, UZBE","MAT 201 MIN DD
veya MAT 201E MIN DD
veya MAT 210 MIN DD
veya MAT 210E MIN DD",Yok/None
3,21530,UZB 220E,Mechanical Vibrations,,Özge Özdemir,UUB,Pazartesi,1130/1429,D-Z08,120,66,Yok/None,UCK,Yok/None,Yok/None
4,21536,UZB 220E,Mechanical Vibrations,,Özge Özdemir,UUB,Perşembe,0830/1129,D216,120,52,Yok/None,UZBE,Yok/None,Yok/None
5,21558,UZB 310E,Compressible Aerodynamics,,Bayram Çelik,UUB,Salı,1130/1429,D-Z08,130,117,Yok/None,"UCK, UCKE",Yok/None,Yok/None
6,21559,UZB 310E,Compressible Aerodynamics,,Aydın Mısırlıoğlu,UUB,Salı,1130/1429,D216,130,99,Yok/None,"UZB, UZBE",Yok/None,Yok/None
7,21592,UZB 317E,Heat Transfer,,Cemil Kurtcebe,UUB,Pazartesi,1130/1429,D-Z09,60,70,Yok/None,"UCK, UCKE, UZB, UZBE","UCK 212 MIN DD
veya UCK 212E MIN DD
veya UCK 205 MIN DD
veya UCK 205E MIN DD
veya MAT 201 MIN DD
veya MAT 201E MIN DD
veya MAT 210 MIN DD
veya MAT 210E MIN DD",Yok/None
8,21591,UZB 317E,Heat Transfer,,Bülent Tutkun,GDB,Çarşamba,0830/1129,410,100,100,Yok/None,"UCK, UCKE, UZB, UZBE","UCK 212 MIN DD
veya UCK 212E MIN DD
veya UCK 205 MIN DD
veya UCK 205E MIN DD
veya MAT 201 MIN DD
veya MAT 201E MIN DD
veya MAT 210 MIN DD
veya MAT 210E MIN DD",Yok/None
9,21593,UZB 317E,Heat Transfer,,Onur Tunçer,UUB,Çarşamba,0830/1129,D-Z09,100,47,Yok/None,"UCK, UCKE, UZB, UZBE","UCK 212 MIN DD
veya UCK 212E MIN DD
veya UCK 205 MIN DD
veya UCK 205E MIN DD
veya MAT 201 MIN DD
veya MAT 201E MIN DD
veya MAT 210 MIN DD
veya MAT 210E MIN DD",Yok/None
