,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,10312,BIO 103E,Int.to Mol.Biol.&Genet.&Ethics,,Ceren Çıracı,FEB,Çarşamba,1330/1529,D204,100,74,Yok/None,"BIO, BIOE",Yok/None,Yok/None
1,10313,BIO 105E,General Biology I,,Pelin Dilsiz Erim,GDB,Salı,1430/1729,D311,103,103,Yok/None,"BIO, BIOE, BIOM",Yok/None,Yok/None
2,10314,BIO 207E,Cell Biology,,Aslı Kumbasar,"FEB
FEB","Salı
Perşembe","1330/1429
1230/1429","D104
D304",80,62,Yok/None,"BIO, BIOE, BIOM","BIO 111 MIN DD
veya BIO 111E MIN DD
veya BIO 105E MIN DD",Yok/None
3,10315,BIO 207EL,Cell Biology Lab.,,Aslı Kumbasar,FEB,Salı,0930/1229,---,80,52,Yok/None,"BIO, BIOE, BIOM",BIO 106EL MIN CC,Yok/None
4,10316,BIO 210E,Mathematics for Biologists,,Ayşegül Tepe,FEB,Çarşamba,1230/1529,D304,85,58,Yok/None,BIOE,"MAT 102 MIN DD
veya MAT 102E MIN DD
veya MAT 104 MIN DD
veya MAT 104E MIN DD
veya MAT 287 MIN DD
veya MAT 287E MIN DD",Yok/None
5,12267,BIO 214E,Microbiology,,Pervin Başaran Akocak,KMB,Çarşamba,0930/1229,D302,15,15,Yok/None,"KMM, KMME",Yok/None,Yok/None
6,12269,BIO 215,Biyokimya,,Ayşe Banu Kocaağa,KMB,Pazartesi,0930/1229,D305,15,11,Yok/None,KMM,Yok/None,Yok/None
7,12375,BIO 215,Biyokimya,,Kadriye Nur Kasapoğlu,KMB,Cuma,0930/1229,D101,45,38,Yok/None,"FIZ, GID, KMM",Yok/None,Yok/None
8,12379,BIO 224E,Molecular Biology,,Fatih Ortakcı,KMB,Pazartesi,0930/1229,D106,30,7,"GID/24/7
GIDE/1/0
KMM/5/0","GID, GIDE, KMME",Yok/None,Yok/None
9,10341,BIO 301E,Fundamentals of Biology,,Deniz Şahin,EEB,Çarşamba,0830/1129,5105,55,52,"CHZ/5/5
EHB/5/5
EHBE/5/4
FIZ/5/3
GID/5/5
KIM/5/5
KMM/5/5
KOM/5/5
KOME/5/5
Diğer/10/10","BIOM, CEV, CEVE, CHZ, CHZE, DEN, EEE, EHB, EHBE, EHS, ELE, ELH, ELK, ELKE, FIZ, FIZE, GEM, GID, GIDE, INS, INSE, ISL, ISLE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MET, METE, PET, PETE, TEL",Yok/None,Yok/None
10,12377,BIO 301E,Fundamentals of Biology,,Ayşe Saygün,KMB,Çarşamba,0930/1229,D203,45,30,"CEV/10/2
CEVE/5/3
GID/13/13
GIDE/2/0
KIM/4/2
KIME/1/0
KMM/5/5
MET/2/2
METE/3/3","BIOM, CEV, CEVE, CHZ, CHZE, DEN, EEE, EHB, EHBE, EHS, ELE, ELH, ELK, ELKE, FIZ, FIZE, GEM, GID, GIDE, INS, INSE, ISL, ISLE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MET, METE, PET, PETE, TEL",Yok/None,Yok/None
11,10346,BIO 301E,Fundamentals of Biology,,Deniz Şahin,FEB,Çarşamba,1230/1529,L400,55,51,"CHZ/5/5
EHB/5/5
EHBE/5/5
FIZ/5/5
GID/5/5
KIM/5/5
KMM/5/5
KOM/5/5
KOME/5/1
Diğer/10/10","BIOM, CEV, CEVE, CHZ, CHZE, DEN, EEE, EHB, EHBE, EHS, ELE, ELH, ELK, ELKE, FIZ, FIZE, GEM, GID, GIDE, INS, INSE, ISL, ISLE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MET, METE, PET, PETE, TEL",Yok/None,Yok/None
12,12270,BIO 303,Biyomalzemeler,,Fatma Seniha Güner,KMB,Pazartesi,0930/1229,D303,15,15,Yok/None,KMM,Yok/None,Yok/None
