,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,11901,GMI 114,Malz.Bilgisi ve Üretim Yöntem.,,Hakan Demirel,DZB,Salı,1530/1729,---,73,73,Yok/None,GMI,Yok/None,Yok/None
1,15165,GMI 114E,Materials Scie.&Manufact.Mth.,,Necip Ünlü,GDB,Pazartesi,1030/1229,D406,40,15,Yok/None,"MEN, NAE",Yok/None,Yok/None
2,13753,GMI 114E,Materials Scie.&Manufact.Mth.,,Yasin Arslanoğlu,DZB,Çarşamba,1330/1529,---,60,45,Yok/None,"MEN, NAE",Yok/None,Yok/None
3,11902,GMI 118,Gemi Mak. İşl.Müh.Gir.veEtik,,Kadir Çiçek,DZB,Pazartesi,0830/1129,---,74,74,Yok/None,GMI,Yok/None,Yok/None
4,13754,GMI 118E,Intr. to Marine Eng.& Ethics,,Burak Zincir,DZB,Pazartesi,1230/1529,---,72,40,Yok/None,MEN,Yok/None,Yok/None
5,11903,GMI 206,Atölye,,Çağlar Karatuğ,DZB,Pazartesi,1130/1429,---,40,36,Yok/None,GMI,Yok/None,Yok/None
6,11904,GMI 206,Atölye,,Çağlar Karatuğ,DZB,Pazartesi,1430/1729,---,40,28,Yok/None,GMI,Yok/None,Yok/None
7,13766,GMI 206E,Mechanical Workshop,,Çağlar Karatuğ,DZB,Pazartesi,0830/1129,---,60,22,Yok/None,MEN,Yok/None,Yok/None
8,11905,GMI 254,Gemi Yardımcı Makineleri I,,Ömer Berkehan İnal,DZB,Çarşamba,0830/1129,---,50,50,Yok/None,GMI,Yok/None,Yok/None
9,13773,GMI 254E,Marine Auxiliary Machinery I,,Kemal Demirel,DZB,Pazartesi,1430/1729,---,60,19,Yok/None,MEN,Yok/None,Yok/None
10,11906,GMI 270E,Maritime English II,,Müjgan Özenir,DZB,Salı,1330/1529,---,50,50,Yok/None,"GMI, GMIE",Yok/None,Yok/None
