,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,12709,ICM 119E,Int.to Interior Archit.&Ethics,,Emine Görgül,MMB,Çarşamba,1330/1529,---,80,80,Yok/None,"IAD, ICM",Yok/None,Yok/None
1,12694,ICM 204,İç Mimarlıkta Tarih & Kuram II,,Deniz Çalışır Pençe,MMB,Pazartesi,0830/1129,---,80,60,Yok/None,ICM,"ICM 104 MIN DD
veya ICM 126 MIN DD
veya ICM 126E MIN DD",Yok/None
2,12725,ICM 209E,Inter.Arch.Design Fund.Studio,,Ervin Garip,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","---
---",22,22,Yok/None,"IAD, ICM","TES 121 MIN DD
veya TES 121E MIN DD
veya EUT 124E MIN DD
veya SBP 112 MIN DD
veya SBP 112E MIN DD
veya MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD",Yok/None
3,12726,ICM 209E,Inter.Arch.Design Fund.Studio,,Seniye Banu Garip,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","---
---",22,22,Yok/None,"IAD, ICM","TES 121 MIN DD
veya TES 121E MIN DD
veya EUT 124E MIN DD
veya SBP 112 MIN DD
veya SBP 112E MIN DD
veya MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD",Yok/None
4,12728,ICM 209E,Inter.Arch.Design Fund.Studio,,Orkan Zeynel Güzelci,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","---
---",22,22,Yok/None,"IAD, ICM","TES 121 MIN DD
veya TES 121E MIN DD
veya EUT 124E MIN DD
veya SBP 112 MIN DD
veya SBP 112E MIN DD
veya MIM 112 MIN DD
veya MIM 112E MIN DD
veya MIM 116 MIN DD
veya MIM 116E MIN DD",Yok/None
5,12700,ICM 215,Taşıyıcı Sistem İlkeleri,,"Gülseren Erol Soyöz, Haluk Sesigür",MMB,Cuma,1400/1659,---,20,0,Yok/None,ICM,"(MIM 152 MIN DD
veya MIM 152E MIN DD)
veya (MIM 113 MIN DD
ve MIM 103 MIN DD)
veya (MIM 113 MIN DD
ve MIM 103E MIN DD)
veya (MIM 113E MIN DD
ve MIM 103 MIN DD)
veya (MIM 113E MIN DD
ve MIM 103E MIN DD)
veya STA 204 MIN DD
veya STA 204E MIN DD
veya MIM 126 MIN DD
veya MIM 126E MIN DD",Yok/None
6,12710,ICM 217E,Intr.to Interior Architecture,,Emine Görgül,MMB,Çarşamba,1230/1529,---,20,0,Yok/None,"ICM, ICME",Yok/None,Yok/None
7,12707,ICM 219,Tasarım Araştırmalarına Giriş,,Ethem Gürer,MMB,Çarşamba,0930/1229,---,80,44,Yok/None,ICM,Yok/None,Yok/None
8,12699,ICM 233,Yapı Malzemesi,,Mehmet Serkan Yatağan,"MMB
MMB","Çarşamba
Cuma","0830/1029
1400/1559","---
---",80,63,Yok/None,ICM,Yok/None,Yok/None
9,12729,ICM 246E,Interior Arch. Design Studio I,,Emine Görgül,"MMB
MMB","Pazartesi
Perşembe","1330/1729
1330/1729","---
---",2,0,Yok/None,"IAD, ICM, ICMM","TES 211E MIN DD
veya TES 211 MIN DD
veya MIM 211 MIN DD
veya MIM 211E MIN DD
veya ICM 211 MIN DD
veya ICM 211E MIN DD
veya ICM 209E MIN DD",Yok/None
