,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,11412,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,--,----,"Pazartesi
Pazartesi","1030/1129
1130/1329",----,0,0,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
1,11414,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Ömer Özyıldırım,----,"Pazartesi
Pazartesi","1030/1129
1130/1329",----,90,79,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
2,11417,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Evren Dağlarlı,----,"Pazartesi
Pazartesi","1030/1129
1130/1329",----,90,71,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
3,11418,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,--,----,"Pazartesi
Pazartesi","1430/1529
1530/1729",----,0,0,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
4,11420,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Ömer Özyıldırım,----,"Pazartesi
Pazartesi","1430/1529
1530/1729",----,90,68,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
5,11422,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Evren Dağlarlı,----,"Pazartesi
Pazartesi","1430/1529
1530/1729",----,90,76,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
6,13045,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Onur Yılmaz Özcan,----,Pazartesi,1430/1729,----,60,25,Yok/None,"CEV, CEVE",Yok/None,Yok/None
7,11423,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,--,----,"Salı
Salı","1030/1129
1130/1329",----,0,0,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
8,11425,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Ömer Özyıldırım,----,"Salı
Salı","1030/1129
1130/1329",----,90,69,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
9,11426,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Evren Dağlarlı,----,"Salı
Salı","1030/1129
1130/1329",----,90,70,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
10,11428,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,--,----,"Salı
Salı","1430/1529
1530/1729",----,0,1,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
11,11429,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Ömer Özyıldırım,----,"Salı
Salı","1430/1529
1530/1729",----,90,76,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
12,11431,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Evren Dağlarlı,----,"Salı
Salı","1430/1529
1530/1729",----,90,77,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
13,11436,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,--,----,"Çarşamba
Çarşamba","0930/1029
1030/1229",----,0,0,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
14,11438,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Berfin Kalay,----,"Çarşamba
Çarşamba","0930/1029
1030/1229",----,90,69,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
15,11439,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Erke Arıbaş,----,"Çarşamba
Çarşamba","0930/1029
1030/1229",----,90,69,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
16,15122,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Evren Dağlarlı,----,Çarşamba,0930/1229,----,50,44,Yok/None,IND,Yok/None,Yok/None
17,10340,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Halil Bayraktar,----,Çarşamba,1230/1529,----,35,21,Yok/None,"BIO, BIOE",Yok/None,Yok/None
18,11432,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,--,----,"Çarşamba
Çarşamba","1230/1329
1330/1529",----,0,0,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
19,11433,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Erke Arıbaş,----,"Çarşamba
Çarşamba","1230/1329
1330/1529",----,90,72,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
20,11435,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Berfin Kalay,----,"Çarşamba
Çarşamba","1230/1329
1330/1529",----,90,84,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
21,15123,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Erke Arıbaş,----,Çarşamba,1530/1829,----,60,56,Yok/None,EFN,Yok/None,Yok/None
22,11440,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,--,----,"Perşembe
Perşembe","1030/1129
1130/1329",----,0,0,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
23,11441,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Erke Arıbaş,----,"Perşembe
Perşembe","1030/1129
1130/1329",----,90,70,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
24,11442,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Berfin Kalay,----,"Perşembe
Perşembe","1030/1129
1130/1329",----,90,87,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
25,11443,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,--,----,"Perşembe
Perşembe","1430/1529
1530/1729",----,0,0,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
26,11444,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Erke Arıbaş,----,"Perşembe
Perşembe","1430/1529
1530/1729",----,90,65,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
27,11445,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Berfin Kalay,----,"Perşembe
Perşembe","1430/1529
1530/1729",----,90,79,Yok/None,"BIO, BIOE, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EHB, EHBE, ELE, ELH, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, FIZM, GEM, GEME, GEMK, GID, GIDE, ICM, IML, IMLE, INS, INSE, ISL, ISLE, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MTO, MTOE, PEM, PEME, PET, PETE, SBP, SBPE, SEN, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
28,13049,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Onur Yılmaz Özcan,----,Perşembe,1430/1729,----,60,28,Yok/None,"CEV, CEVE",Yok/None,Yok/None
29,10338,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Halil Bayraktar,----,Cuma,0930/1229,----,35,34,Yok/None,"BIO, BIOE",Yok/None,Yok/None
30,15124,BIL 100E,Intr.to Prog.Language(PYTHON),Çevrimiçi/Online,Berfin Kalay,----,Cuma,1400/1659,----,50,41,Yok/None,ARC,Yok/None,Yok/None
31,11203,BIL 109,Bilgisayar,,Tayfun Demirbaş,TMB,Pazartesi,0830/1029,---,26,26,Yok/None,"BST, CAB, CEB, KMP, MTR, MUT, MUZ, MZT, SES, THO",Yok/None,Yok/None
32,11206,BIL 109,Bilgisayar,,Tayfun Demirbaş,TMB,Çarşamba,0830/1029,---,25,23,Yok/None,"BST, CAB, CEB, KMP, MTR, MUT, MUZ, MZT, SES, THO",Yok/None,Yok/None
33,11207,BIL 109,Bilgisayar,,Tayfun Demirbaş,TMB,Çarşamba,1030/1229,---,25,11,Yok/None,"BST, CAB, CEB, KMP, MTR, MUT, MUZ, MZT, SES, THO",Yok/None,Yok/None
34,11208,BIL 109,Bilgisayar,,Tayfun Demirbaş,TMB,Perşembe,0830/1029,---,25,25,Yok/None,"BST, CAB, CEB, KMP, MTR, MUT, MUZ, MZT, SES, THO",Yok/None,Yok/None
35,11934,BIL 110E,Intr. to Prog. Language (C),,Egnar Özdikililer,UUB,Salı,0930/1229,BIL1,105,105,Yok/None,"UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
36,11937,BIL 110E,Intr. to Prog. Language (C),,Egnar Özdikililer,UUB,Çarşamba,0830/1129,BIL1,105,107,Yok/None,"UCK, UCKE, UZB, UZBE",Yok/None,Yok/None
37,12503,BIL 110E,Intr. to Prog. Language (C),,Ömür Acaroğlu Ergün,MDB,Çarşamba,1130/1429,B207,65,65,Yok/None,"CHZ, MAD, MADE",Yok/None,Yok/None
38,12014,BIL 110E,Intr. to Prog. Language (C),,Ayşe Elvan Bayraktaroğlu,FEB,Cuma,1430/1729,OBL3,55,44,Yok/None,"CHZ, END, ENDE, MAD, MADE",Yok/None,Yok/None
39,11734,BIL 112E,Intr.to Prog.Language(FORTRAN),,Ahmet Öztopal,UUB,Çarşamba,1130/1429,BIL1,65,24,Yok/None,"MTO, MTOE, UCK, UCKE",Yok/None,Yok/None
40,12268,BIL 112E,Intr.to Prog.Language(FORTRAN),,Neslihan Ocakoğlu Gökaşan,MDB,Cuma,1430/1729,B207,65,65,Yok/None,"JEF, JEFE",Yok/None,Yok/None
41,13699,BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),,Ata Bilgili,DZB,Pazartesi,0830/1129,---,38,35,Yok/None,"GMI, GMIE",Yok/None,Yok/None
42,12374,BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),,Celale Kırkın Gözükırmızı,KMB,Pazartesi,0930/1229,BIL.LAB1,60,60,Yok/None,"GID, GIDE",Yok/None,Yok/None
43,12405,BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),,Şükriye Beste Aydın,MDB,Pazartesi,1330/1629,B207,60,55,Yok/None,"CHZ, CHZE",Yok/None,Yok/None
44,13325,BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),,Gökhan Çevikbilen,INB,Pazartesi,1330/1629,D103,65,44,Yok/None,"GEM, GEME, INS, INSE",Yok/None,Yok/None
45,11484,BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),,Aydın Mert,DZB,Salı,0830/1129,---,60,60,Yok/None,"DUI, DUIE, GMI, GMIE",Yok/None,Yok/None
46,13594,BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),Çevrimiçi/Online,İlkay Özsev Yüksek,----,Salı,0830/1129,----,40,21,Yok/None,"TEK, TEKE",Yok/None,Yok/None
47,11485,BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),,Aydın Mert,DZB,Salı,1130/1429,---,55,54,Yok/None,"DUI, DUIE, GMI, GMIE",Yok/None,Yok/None
48,12343,BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),Çevrimiçi/Online,"Cem Örnek, Selim Ertürk",----,Salı,1330/1629,----,45,46,Yok/None,"MET, METE",Yok/None,Yok/None
49,11486,BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),,Aydın Mert,DZB,Salı,1430/1729,---,66,54,Yok/None,"DUI, DUIE, GMI, GMIE",Yok/None,Yok/None
50,13763,BIL 113E,Intr.to Sci& Eng.Comp.(MATLAB),,Ata Bilgili,DZB,Çarşamba,1230/1529,---,75,63,Yok/None,"EFN, MEN, MTM",Yok/None,Yok/None
