,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,11503,DUI 103E,Seamanship,,Orhan Gönel,DZB,Pazartesi,1330/1729,---,50,7,Yok/None,DUI,Yok/None,Yok/None
1,13750,DUI 103E,Seamanship,,Orhan Gönel,DZB,Çarşamba,0830/1229,---,60,59,Yok/None,"MMD, MTM",Yok/None,Yok/None
2,11505,DUI 103E,Seamanship,,Orhan Gönel,DZB,Çarşamba,1330/1729,---,63,59,Yok/None,DUI,Yok/None,Yok/None
3,11504,DUI 103E,Seamanship,,Orhan Gönel,DZB,Perşembe,1330/1729,---,50,44,Yok/None,DUI,Yok/None,Yok/None
4,13755,DUI 113E,Int.toMarit.Trnsp.Mng.Eng.&Eth,,Selim Aksoy,DZB,Pazartesi,1130/1329,---,65,56,Yok/None,MTM,Yok/None,Yok/None
5,11507,DUI 113E,Int.toMarit.Trnsp.Mng.Eng.&Eth,,Özcan Arslan,DZB,Perşembe,1330/1529,---,80,41,Yok/None,DUI,Yok/None,Yok/None
6,11506,DUI 113E,Int.toMarit.Trnsp.Mng.Eng.&Eth,,Özcan Arslan,DZB,Cuma,1430/1629,---,75,69,Yok/None,DUI,Yok/None,Yok/None
7,11509,DUI 202E,Electronic Navigation,,Serdar Kum,DZB,Perşembe,1430/1729,---,65,56,Yok/None,"DUI, DUIE",Yok/None,Yok/None
8,13761,DUI 202E,Electronic Navigation,,Serdar Kum,DZB,Cuma,0830/1129,---,60,32,Yok/None,MTM,Yok/None,Yok/None
9,11508,DUI 202E,Electronic Navigation,,Serdar Kum,DZB,Cuma,1430/1729,---,65,17,Yok/None,"DUI, DUIE",Yok/None,Yok/None
10,11510,DUI 213E,Ship Constrct.and Stability,,Melek Ertogan,DZB,Çarşamba,0830/1129,---,70,42,Yok/None,DUI,Yok/None,Yok/None
11,11511,DUI 213E,Ship Constrct.and Stability,,Melek Ertogan,DZB,Çarşamba,1230/1529,---,80,73,Yok/None,DUI,Yok/None,Yok/None
12,13759,DUI 213E,Ship Constrct.and Stability,,Ahmet Bilici,DZB,Perşembe,0830/1129,---,50,17,Yok/None,MTM,Yok/None,Yok/None
13,11513,DUI 215E,Terrestrial Navigation,,Tuba Keçeci,DZB,Pazartesi,0830/1129,---,65,61,Yok/None,DUI,Yok/None,Yok/None
14,13758,DUI 215E,Terrestrial Navigation,,Tuba Keçeci,DZB,Salı,0830/1129,---,50,41,Yok/None,MTM,Yok/None,Yok/None
