,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,11286,FRA 101,Fransızca I,Çevrimiçi/Online,Ebru Yücetin Er,----,Salı,0830/1229,----,30,30,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
1,11289,FRA 101,Fransızca I,Çevrimiçi/Online,Yelda Tavukçuoğlu,----,Salı,1300/1659,----,30,30,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
2,11287,FRA 101,Fransızca I,Çevrimiçi/Online,Ebru Yücetin Er,----,Çarşamba,0830/1229,----,30,30,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
3,11288,FRA 101,Fransızca I,Çevrimiçi/Online,Hilal Küçük,----,Perşembe,0830/1229,----,28,27,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
4,11290,FRA 101,Fransızca I,Çevrimiçi/Online,Yelda Tavukçuoğlu,----,Cuma,0830/1229,----,30,30,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
5,11291,FRA 102,Fransızca II,Çevrimiçi/Online,Hilal Küçük,----,Pazartesi,1330/1729,----,25,18,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
6,11292,FRA 102,Fransızca II,Çevrimiçi/Online,Hilal Küçük,----,Salı,0830/1229,----,25,18,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
7,11293,FRA 102,Fransızca II,Çevrimiçi/Online,Ebru Yücetin Er,----,Perşembe,0830/1229,----,25,25,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
8,11294,FRA 201,Fransızca III,Çevrimiçi/Online,Hilal Küçük,----,Cuma,0830/1229,----,25,17,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
9,11295,FRA 202,Fransızca IV,Çevrimiçi/Online,Ebru Yücetin Er,----,Cuma,0830/1229,----,20,15,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
10,11296,FRA 301,Fransızca V,Çevrimiçi/Online,Yelda Tavukçuoğlu,----,Perşembe,0830/1229,----,20,6,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
