,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,12094,MRT 101,Maritime English,,Seda Çınar Alabay,DZB,Salı,1330/1529,---,10,1,Yok/None,SDU,Yok/None,Yok/None
1,12095,MRT 105,Professional Studies I,,Tuba Keçeci,"DZB
DZB","Çarşamba
Cuma","1230/1529
1030/1129","---
---",10,1,Yok/None,SDU,Yok/None,Yok/None
2,12098,MRT 307,Nautical Operations-Legal,,Hakan Muran,DZB,Pazartesi,0830/1029,---,10,1,Yok/None,SDU,Yok/None,Yok/None
3,12099,MRT 309,Nautical Operations-Safety,,--,DZB,Çarşamba,1230/1429,---,0,0,Yok/None,SDU,Yok/None,Yok/None
4,12100,MRT 311,Ship Handling & Maneuvering,,--,DZB,Perşembe,1030/1229,---,0,0,Yok/None,SDU,Yok/None,Yok/None
5,12101,MRT 312,OnBoardTrain.(ShpOprt.&Mn.III),,--,DZB,----,/,---,0,0,Yok/None,SDU,Yok/None,Yok/None
6,12103,MRT 313,Electronic Navigation,,--,DZB,Salı,0830/1329,---,0,0,Yok/None,SDU,Yok/None,Yok/None
7,12104,MRT 314,Sea Project,,--,DZB,----,/,---,0,0,Yok/None,SDU,Yok/None,Yok/None
8,12105,MRT 315,Transportation Systems,,--,DZB,Salı,1430/1729,---,0,0,Yok/None,SDU,Yok/None,Yok/None
9,12106,MRT 321,Intr.to Cargo Opr.&Ship Stblty,,--,DZB,Perşembe,1430/1729,---,0,0,Yok/None,SDU,Yok/None,Yok/None
10,12108,MRT 325,Maritime Communications,,--,DZB,Çarşamba,0830/1229,---,0,0,Yok/None,"SDU, SGM",Yok/None,Yok/None
11,12109,MRT 327,Watchkeeping,,--,"DZB
DZB","Cuma
Cuma","0830/1229
1430/1529","---
---",0,0,Yok/None,SDU,Yok/None,Yok/None
12,12111,MRT 401,Analysis of the Markt. Process,,Levent Kırval,DZB,Salı,0830/1129,---,10,1,Yok/None,"SDU, SGM",Yok/None,Yok/None
13,12112,MRT 405,Admiralty Law,,Hakan Muran,DZB,Pazartesi,1030/1329,---,10,1,Yok/None,SDU,Yok/None,Yok/None
14,12113,MRT 407,Cargo Operations,,Tanzer Satır,DZB,Çarşamba,0830/1229,---,10,1,Yok/None,"SDU, SGM",Yok/None,Yok/None
15,12115,MRT 409,Advance Navigation,,Orhan Gönel,DZB,Salı,1430/1729,---,10,1,Yok/None,SDU,Yok/None,Yok/None
16,12116,MRT 415,Physical Education I,,Yusuf Nejat Koçar,DZB,Çarşamba,1330/1529,---,10,1,Yok/None,SDU,Yok/None,Yok/None
17,12117,MRT 431,Oceanography,,Ayşe Nak,DZB,Perşembe,1330/1529,---,10,1,Yok/None,"SDU, SGM",Yok/None,Yok/None
