,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,13820,MTM 211,Onboard Training-I,,Selim Aksoy,DZB,----,/,---,60,24,Yok/None,"DUIK, MTM",Yok/None,"1.Sınıf, 4.Sınıf, 2.Sınıf, 3.Sınıf"
1,13837,MTM 301,E-Navigation Systems,,Serdar Kum,DZB,Perşembe,0830/1129,---,60,30,Yok/None,"DUIK, MTM, MTTM",Yok/None,Yok/None
2,13842,MTM 302,Onboard Training-III,,Selim Aksoy,DZB,----,/,---,60,3,Yok/None,"DUIK, MTM, MTTM","MTM 331 MIN DD
ve MST 212 MIN DD
ve MST 102 MIN DD
ve MTM 112 MIN DD",Yok/None
3,13838,MTM 311,Watchkeeping II,,Selim Aksoy,DZB,Salı,0830/1129,---,60,30,Yok/None,"DUIK, MTM, MTTM",Yok/None,Yok/None
4,13839,MTM 321,Celestial Navigation,,Orhan Gönel,DZB,Salı,1130/1429,---,60,34,Yok/None,"DUIK, MTM",Yok/None,Yok/None
5,13834,MTM 331,Maritime Practical Studies,,Yunus Emre Şenol,"DZB
DZB","Çarşamba
Çarşamba","1330/1529
1730/1929","---
---",35,21,Yok/None,"DUIK, MTM",Yok/None,Yok/None
6,13835,MTM 331,Maritime Practical Studies,,Serdar Kum,"DZB
DZB","Çarşamba
Çarşamba","1330/1529
1730/1929","---
---",35,5,Yok/None,"DUIK, MTM",Yok/None,Yok/None
7,13840,MTM 341,Onboard Training-II,,Selim Aksoy,DZB,----,/,---,60,39,Yok/None,"DUIK, MTM",Yok/None,"4.Sınıf, 2.Sınıf, 3.Sınıf"
8,13850,MTM 401,Cargo Handling Simulator,,Yunus Emre Şenol,DZB,Cuma,1400/1559,---,60,27,Yok/None,"DUIK, MTM",Yok/None,Yok/None
9,13859,MTM 402,Graduation Design Project,,Selim Aksoy,DZB,----,/,---,60,13,Yok/None,"DUIK, MTM",Yok/None,"4.Sınıf, 3.Sınıf"
10,13854,MTM 411,Cargo Handling and Stowage II,,Tanzer Satır,DZB,Pazartesi,1430/1729,---,60,32,Yok/None,"DUIK, MTM",Yok/None,Yok/None
11,13860,MTM 412,Ship Management and Leadership,,Cemil Yurtören,DZB,Salı,0830/1229,---,60,20,Yok/None,"DUIK, MTM, MTTM","MTM 302 MIN DD
veya DUI 302E MIN DD
veya GUV 391E MIN DD",Yok/None
12,13852,MTM 421,Ship Handling and Maneuvering,,Üstün Atak,DZB,Perşembe,1430/1729,---,60,29,Yok/None,"DUIK, MTM",Yok/None,Yok/None
