,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,13535,TES 111E,Project I,,--,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","---
---",650,5,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
1,13536,TES 111E,Project I,,Belkıs Uluoğlu,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","CATI 3
CATI 3",0,25,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
2,13537,TES 111E,Project I,,Mine Özkar Kabakçıoğlu,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","203
203",0,26,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
3,13538,TES 111E,Project I,,Yüksel Demir,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","3400
3400",0,24,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
4,13539,TES 111E,Project I,,Derya Güleç Özer,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","3400
3400",0,29,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
5,13540,TES 111E,Project I,,Sema Alaçam,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","CATI 2
CATI 2",0,25,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
6,13541,TES 111E,Project I,,Sevil Yazıcı,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","212
212",0,30,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
7,13542,TES 111E,Project I,,İmdat As,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","3400
3400",0,23,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
8,13543,TES 111E,Project I,,Ayşe Meltem Baslo,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","CATI 1
CATI 1",0,26,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
9,13544,TES 111E,Project I,,Hakan Tong,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","CATI 2
CATI 2",0,26,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
10,13545,TES 111E,Project I,,Aliye Ahu Gülümser,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","3400
3400",0,23,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
11,13546,TES 111E,Project I,,Zeynep Günay,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","3400
3400",0,29,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
12,13547,TES 111E,Project I,,Hasan Serdar Kaya,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","CATI 5
CATI 5",0,26,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
13,13548,TES 111E,Project I,,Başak Demireş Özkul,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","CATI 1
CATI 1",0,26,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
14,13549,TES 111E,Project I,,İmge Akçakaya Waite,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","3400
3400",0,29,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
15,13550,TES 111E,Project I,,Aslı Ulubaş Hamurcu,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","CATI 1
CATI 1",0,26,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
16,13551,TES 111E,Project I,,Aysun Ateş Akdeniz,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","203
203",0,26,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
17,13552,TES 111E,Project I,,Demet Günal Ertaş,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","214
214",0,31,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
18,13553,TES 111E,Project I,,Ethem Gürer,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","203
203",0,25,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
19,13554,TES 111E,Project I,,Ahmet Erdem Tozoğlu,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","214
214",0,29,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
20,13555,TES 111E,Project I,,Ahmet Gün,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","CATI 2
CATI 2",0,26,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
21,13556,TES 111E,Project I,,Elif Kısar Koramaz,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","CATI 4
CATI 4",0,26,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
22,13557,TES 111E,Project I,,Ayşegül Akçay Kavakoğlu,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","3400
3400",0,28,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
23,13558,TES 111E,Project I,,Ikhwan Kim,"MMB
MMB","Pazartesi
Perşembe","0830/1229
0830/1229","3400
3400",0,23,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
24,13559,TES 112E,Vis.Comm.I:Visualiz.&Tch.Drw.,,--,MMB,Cuma,0830/1229,---,650,6,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
25,13560,TES 112E,Vis.Comm.I:Visualiz.&Tch.Drw.,,Derya Güleç Özer,MMB,Cuma,0830/1229,3400,10,39,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
26,13561,TES 112E,Vis.Comm.I:Visualiz.&Tch.Drw.,,Michael Stefan Bitterman,MMB,Cuma,0830/1229,212,0,28,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
27,13562,TES 112E,Vis.Comm.I:Visualiz.&Tch.Drw.,,Sema Alaçam,MMB,Cuma,0830/1229,CATI 2,0,38,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
28,13563,TES 112E,Vis.Comm.I:Visualiz.&Tch.Drw.,,İmdat As,MMB,Cuma,0830/1229,3400,0,45,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
29,13564,TES 112E,Vis.Comm.I:Visualiz.&Tch.Drw.,,Ayşe Meltem Baslo,MMB,Cuma,0830/1229,CATI 1,0,28,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
30,13565,TES 112E,Vis.Comm.I:Visualiz.&Tch.Drw.,,Bihter Almaç,MMB,Cuma,0830/1229,3400,0,39,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
31,13566,TES 112E,Vis.Comm.I:Visualiz.&Tch.Drw.,,Hakan Tong,MMB,Cuma,0830/1229,CATI 2,0,39,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
32,13567,TES 112E,Vis.Comm.I:Visualiz.&Tch.Drw.,,Hakan Tüzün Şengün,MMB,Cuma,0830/1229,CATI 3,0,39,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
33,13568,TES 112E,Vis.Comm.I:Visualiz.&Tch.Drw.,,Hasan Serdar Kaya,MMB,Cuma,0830/1229,CATI 5,0,38,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
34,13569,TES 112E,Vis.Comm.I:Visualiz.&Tch.Drw.,,Başak Demireş Özkul,MMB,Cuma,0830/1229,CATI 1,0,29,Yok/None,"ARC, ENTE, EUT, EUTE, IAD, ICM, MIM, MIME, PEM, PEME, SBP, SBPE",Yok/None,Yok/None
