,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,11183,CAB 1013,Viyola I,,--,TMB,Pazartesi,1330/1529,---,0,0,Yok/None,"MTR, MUT, MUZ, MZT",Yok/None,Yok/None
1,15093,CAB 107,Bağlama I,,Cihangir Terzi,TMB,----,/,---,5,1,Yok/None,"CAB, CEB",Yok/None,Yok/None
2,15094,CAB 107,Bağlama I,,Adnan Koç,TMB,----,/,---,5,1,Yok/None,"CAB, CEB",Yok/None,Yok/None
3,15095,CAB 107,Bağlama I,,Erdem Şimşek,TMB,----,/,---,5,1,Yok/None,"CAB, CEB",Yok/None,Yok/None
4,15100,CAB 109,Ud I,,Sarper Eroğlu,TMB,----,/,---,5,1,Yok/None,"CAB, CEB",Yok/None,Yok/None
5,11184,CAB 1101,Keman I,,Pınar Tezişçi,TMB,Pazartesi,1330/1529,---,5,5,Yok/None,"MTR, MUT, MUZ, MZT",Yok/None,Yok/None
6,15300,CAB 1101,Keman I,,İbragım Orazov,TMB,Pazartesi,1330/1529,---,5,1,Yok/None,"MTR, MUT, MUZ, MZT",Yok/None,Yok/None
7,15099,CAB 113,Ney I,,Burak Malçok,TMB,----,/,---,5,1,Yok/None,"CAB, CEB",Yok/None,Yok/None
8,15098,CAB 115,Mey I,,Cem Ekmen,TMB,----,/,---,5,3,Yok/None,"CAB, CEB",Yok/None,Yok/None
9,15096,CAB 123,Flüt I,,Cem Önertürk,TMB,----,/,---,5,2,Yok/None,"CAB, CEB",Yok/None,Yok/None
10,15102,CAB 133,Viyolonsel I,,Cenk Öztürk,TMB,----,/,---,5,3,Yok/None,"CAB, CEB",Yok/None,Yok/None
11,15101,CAB 135,Viyola I,,Barış Kerem Bahar,TMB,----,/,---,5,1,Yok/None,"CAB, CEB",Yok/None,Yok/None
12,15097,CAB 139,Kemane I,,Kadir Verim,TMB,----,/,---,5,1,Yok/None,"CAB, CEB",Yok/None,Yok/None
13,10985,CAB 143,Yrd.Çalgı Piyano I,,Devlet Devrim Öztaş,TMB,Çarşamba,1330/1529,---,17,16,Yok/None,"BST, CAB, CEB, KMP",Yok/None,Yok/None
14,10986,CAB 151,Kanun I,,--,TMB,Pazartesi,1330/1529,---,0,0,Yok/None,"CGM3, CGM6, CGM7, CGM8, MTR, MUT, MUZ, MZT, SES",Yok/None,Yok/None
15,11006,CAB 151,Kanun I,,Ayşegül Kostak Toksoy,TMB,Pazartesi,1330/1529,---,5,4,Yok/None,"CGM3, CGM6, CGM7, CGM8, MTR, MUT, MUZ, MZT, SES",Yok/None,Yok/None
16,11007,CAB 153,Tanbur I,,--,TMB,Pazartesi,1330/1529,---,0,0,Yok/None,"CGM6, CGM7, CGM8, MTR, MUT, MUZ, MZT, SES",Yok/None,Yok/None
17,11008,CAB 153,Tanbur I,,Göknil Bişak Özdemir,TMB,Pazartesi,1330/1529,---,5,1,Yok/None,"CGM6, CGM7, CGM8, MTR, MUT, MUZ, MZT, SES",Yok/None,Yok/None
18,11009,CAB 155,Tar I,,--,TMB,Pazartesi,1330/1529,---,0,0,Yok/None,"CGM6, CGM7, CGM8, MTR, MUZ, SES, THO",Yok/None,Yok/None
19,11010,CAB 157,Bağlama I,,Erdem Şimşek,TMB,Pazartesi,1330/1529,---,6,7,Yok/None,"CGM1, CGM6, CGM7, CGM8, DUI, MTR, MUT, MUZ, MZT, SES, THO",Yok/None,Yok/None
20,11011,CAB 157,Bağlama I,,Metin Eke,TMB,Pazartesi,1330/1529,---,5,4,Yok/None,"CGM1, CGM6, CGM7, CGM8, DUI, MTR, MUT, MUZ, MZT, SES, THO",Yok/None,Yok/None
21,11012,CAB 157,Bağlama I,,--,TMB,Pazartesi,1330/1529,---,0,0,Yok/None,"CGM1, CGM6, CGM7, CGM8, DUI, MTR, MUT, MUZ, MZT, SES, THO",Yok/None,Yok/None
22,11013,CAB 157,Bağlama I,,Engin Şafak Gürler,TMB,Pazartesi,1330/1529,---,5,4,Yok/None,"CGM1, CGM6, CGM7, CGM8, DUI, MTR, MUT, MUZ, MZT, SES, THO",Yok/None,Yok/None
