,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,12767,EUT 117E,Int.to Indus.Prod.Dsgn.&Ethics,,"Elif Küçüksayraç, Layıka Ney Ece Arıburun Kırca",MMB,Perşembe,1330/1629,213,110,105,Yok/None,"ENTE, EUT, EUTE, EUTM",Yok/None,Yok/None
1,12769,EUT 204E,Manufacturing Methods,,Demet Günal Ertaş,MMB,Pazartesi,1330/1729,---,10,10,Yok/None,"ENTE, ENTM, EUTE, EUTM",Yok/None,Yok/None
2,12779,EUT 220E,Industrial Design Studio I,,Gülname Turan,"MMB
MMB","Salı
Cuma","1330/1729
1400/1759","3400
3400",20,9,Yok/None,"ENTE, ENTM, EUT, EUTE, EUTM","EUT 213E MIN DD
veya TES 211E MIN DD
veya EUT 211E MIN DD
veya ENT 211E MIN DD",Yok/None
3,12782,EUT 241E,Computer Aided Design,,Koray Gelmez,MMB,Salı,0830/1129,BIM2,45,45,Yok/None,"ENTE, EUT, EUTE",Yok/None,Yok/None
4,12783,EUT 241E,Computer Aided Design,,Koray Gelmez,MMB,Cuma,0830/1129,BIM2,45,31,Yok/None,"ENTE, EUT, EUTE",Yok/None,Yok/None
5,12785,EUT 271E,Research for Product Design,,Özge Çelikoğlu,MMB,Perşembe,0830/1029,215,120,77,Yok/None,"ENTE, EUT, EUTE",Yok/None,Yok/None
6,12786,EUT 319E,Industrial Design Studio II,,Elif Küçüksayraç,"MMB
MMB","Salı
Cuma","1330/1729
1400/1759","217D
217D",30,27,Yok/None,"ENTE, EUT, EUTE","EUT 214 MIN DD
veya EUT 214E MIN DD
veya EUT 220E MIN DD
veya EUT 212 MIN DD
veya EUT 212E MIN DD",Yok/None
7,12787,EUT 319E,Industrial Design Studio II,,Layıka Ney Ece Arıburun Kırca,"MMB
MMB","Salı
Cuma","1330/1729
1400/1759","217B
217B",30,31,Yok/None,"ENTE, EUT, EUTE","EUT 214 MIN DD
veya EUT 214E MIN DD
veya EUT 220E MIN DD
veya EUT 212 MIN DD
veya EUT 212E MIN DD",Yok/None
8,14602,EUT 319E,Industrial Design Studio II,,Hatice Armağan,"MMB
MMB","Salı
Cuma","1330/1729
1400/1759","217C
217C",30,28,Yok/None,"ENTE, EUT, EUTE","EUT 214 MIN DD
veya EUT 214E MIN DD
veya EUT 220E MIN DD
veya EUT 212 MIN DD
veya EUT 212E MIN DD",Yok/None
9,12788,EUT 320E,Industrial Design Studio III,,Özge Çelikoğlu,"MMB
MMB","Salı
Cuma","1330/1729
1400/1759","3400
3400",20,19,Yok/None,"ENTE, EUT, EUTE","EUT 315E MIN DD
veya EUT 311E MIN DD
veya EUT 311 MIN DD
veya EUT 319E MIN DD",Yok/None
10,13673,EUT 325E,History of Design II,Çevrimiçi/Online,Gülname Turan,----,Perşembe,0830/1129,----,110,100,Yok/None,"ENTE, EUTE",Yok/None,Yok/None
11,14829,EUT 367E,Intr. to Mechanical Design,,Cem Avcı,MMB,Pazartesi,0830/1229,213,110,101,Yok/None,"ENTE, EUT, EUTE",Yok/None,Yok/None
12,12799,EUT 419E,Industrial Design Studio IV,,Çiğdem Kaya,"MMB
MMB","Salı
Cuma","1330/1729
1400/1759","217A
217A",40,36,Yok/None,"ENTE, EUT, EUTE","EUT 316E MIN DD
veya EUT 320E MIN DD
veya EUT 312 MIN DD
veya EUT 312E MIN DD",Yok/None
13,12801,EUT 419E,Industrial Design Studio IV,,Ekrem Cem Alppay,"MMB
MMB","Salı
Cuma","1330/1729
1400/1759","217A
217A",40,32,Yok/None,"ENTE, EUT, EUTE","EUT 316E MIN DD
veya EUT 320E MIN DD
veya EUT 312 MIN DD
veya EUT 312E MIN DD",Yok/None
14,12802,EUT 423E,Cult.and Com.in Product Design,Çevrimiçi/Online,Özge Çelikoğlu,----,Perşembe,1330/1529,----,100,90,Yok/None,"ENTE, EUT, EUTE",Yok/None,Yok/None
15,12809,EUT 4902E,Graduation Project,,Ekrem Cem Alppay,MMB,----,/,---,500,41,Yok/None,"ENTE, EUTE","EUT 108E MIN DD
ve (EUT 119E MIN DD
veya EUT 117E MIN DD)
ve (MIM 125 MIN DD
veya MIM 125E MIN DD
veya MIM 106 MIN DD
veya MIM 106E MIN DD)
ve (MIM 126 MIN DD
veya MIM 126E MIN DD)
ve (EUT 126E MIN DD
veya EUT 132E MIN DD)
ve (EUT 128 MIN DD
veya EUT 128E MIN DD
veya EUT 138 MIN DD
veya EUT 138E MIN DD)
ve (EUT 204E MIN DD
veya EUT 231E MIN DD)
ve (EUT 206 MIN DD
veya EUT 206E MIN DD)
ve ENT 212E MIN DD
ve (EUT 239E MIN DD
veya ENT 213E MIN DD)
ve EUT 240E MIN DD
ve (EUT 241 MIN DD
veya EUT 241E MIN DD)
ve (EUT 246 MIN DD
veya EUT 246E MIN DD)
ve (EUT 271 MIN DD
veya EUT 271E MIN DD)
ve (EUT 272 MIN DD
veya EUT 272E MIN DD)
ve (EUT 282E MIN DD
veya EUT 230E MIN DD)
ve (EUT 413 MIN DD
veya EUT 413E MIN DD
veya EUT 411 MIN DD
veya EUT 411E MIN DD
veya EUT 419E MIN DD)",4.Sınıf
16,12811,EUT 492,Bitirme Çalışması,,Ekrem Cem Alppay,MMB,----,/,---,500,1,Yok/None,EUT,"EUT 413 MIN DD
veya EUT 413E MIN DD
veya EUT 411 MIN DD
veya EUT 411E MIN DD
veya EUT 419E MIN DD
Diğer Şartlar",4.Sınıf
