,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,13655,MOD 113,Visual Design Concepts I,,Şükriye Yüksel Filiz,MKB,Perşembe,0830/1229,451,30,26,Yok/None,SMT,Yok/None,Yok/None
1,13660,MOD 117,Design Studio I - Int.Draping,,Şükriye Yüksel Filiz,MKB,Perşembe,1330/1729,453,30,28,Yok/None,SMT,Yok/None,Yok/None
2,13654,MOD 133,Materials & Construction I,,Gizem Turan,MKB,Salı,1330/1729,455,30,27,Yok/None,SMT,Yok/None,Yok/None
3,13656,MOD 143,Digital Design Studio,,Rüveyde Oder,"MKB
MKB","Salı
Cuma","0930/1229
0930/1229","459
453",30,27,Yok/None,SMT,Yok/None,Yok/None
4,13657,MOD 152,Fundam. of Textiles for FD,,"Alper Gürarslan, Şükriye Yüksel Filiz",MKB,Pazartesi,0830/1229,451,30,27,Yok/None,SMT,Yok/None,Yok/None
5,13662,MOD 217,Desg.StudioIII-Struct. Draping,,Şükriye Yüksel Filiz,"MKB
MKB","Salı
Cuma","0930/1229
0930/1229","453
459",30,18,Yok/None,SMT,"MOD 127 MIN DD
ve MOD 134 MIN DD",Yok/None
6,15228,MOD 237,Visual Design Concepts III,,Ezgi Çılgın Çınar,"MKB
MKB","Çarşamba
Perşembe","1330/1529
0830/1029","451
453",40,16,Yok/None,SMT,MOD 113 MIN DD,Yok/None
7,13664,MOD 242,Digital Design:Flats & Floats,,Belgin Görgün,MKB,Salı,1330/1629,459,30,15,Yok/None,SMT,Yok/None,Yok/None
8,13661,MOD 243,Appr.Desg.Studio-Patternmaking,,Belgin Görgün,"MKB
MKB","Pazartesi
Çarşamba","1330/1629
0930/1229","453
453",30,15,Yok/None,SMT,MOD 134 MIN DD,Yok/None
9,13671,MOD 304,Computerized Pattern Design,,Belgin Görgün,MKB,Perşembe,1330/1629,459,30,18,Yok/None,SMT,Yok/None,Yok/None
10,13670,MOD 308,Internship,,Belgin Görgün,"MKB
MKB","Çarşamba
Cuma","1530/1729
0830/1029","YDRAP
YDRAP",40,18,Yok/None,SMT,Yok/None,Yok/None
11,13672,MOD 317,Designing with Hi-Tech Fabrics,,--,MKB,Cuma,1430/1629,---,0,0,Yok/None,SMT,Yok/None,Yok/None
12,13668,MOD 357,Intr. to Knitwear Design,,"Cevza Candan, Belgin Görgün","MKB
MKB","Perşembe
Cuma","0830/1229
1030/1229","D458
D458",30,17,Yok/None,SMT,Yok/None,Yok/None
13,13669,MOD 359,Lifestyle Collection Design,,Nihan Topaloğlu,MKB,Salı,1330/1729,451,30,19,Yok/None,SMT,Yok/None,Yok/None
