,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,13772,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,,İbrahim Volkan Kumbaracı,MED,Pazartesi,1830/2029,---,8,8,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
1,13774,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,,Tanzer Satır,DZB,Pazartesi,1830/2029,---,8,8,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
2,15402,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,,Melek Mümine Erol Taygun,MED,Pazartesi,1830/2029,---,8,8,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
3,15403,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,,Mahmut Altınbaş,MED,Pazartesi,1830/2029,---,8,8,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
4,15404,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,,Mustafa Evren Erşahin,MED,Pazartesi,1830/2029,---,8,8,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
5,15405,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,,Hale Özgün,MED,Pazartesi,1830/2029,---,8,8,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
6,15406,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,,Yavuz Selim Güçlü,MED,Pazartesi,1830/2029,---,9,9,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
7,15407,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,,Hatice Camgöz Akdağ,MED,Pazartesi,1830/2029,---,9,9,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
8,15408,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,,Emine Yaylalı,MED,Pazartesi,1830/2029,---,9,9,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
9,15409,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,,Ata Bilgili,MED,Pazartesi,1830/2029,---,9,9,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
10,15410,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,,Cevza Candan,MED,Pazartesi,1830/2029,---,9,9,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
11,15411,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,,Canan Sarıçam,MED,Pazartesi,1830/2029,---,9,9,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
12,15412,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,,Mehmet Baysan,MED,Pazartesi,1830/2029,---,9,9,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
13,15413,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,,Şule Itır Satoğlu,MED,Pazartesi,1830/2029,---,9,9,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
14,15553,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,,Serkan Şimşek,MED,Pazartesi,1830/2029,---,8,8,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
15,15247,ULP 102,NewBeg.Fresh.Sem.&Serv toL. II,,Deniz Turgay Altılar,EEB,Pazartesi,0830/1029,---,0,2,Yok/None,"MBI, MCB, SBL, SCE, SDU, SEK, SEN, SGM, SIN, SIS, SMT, STP",Yok/None,Yok/None
