,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,23373,IML 311,İmal Usülleri I,,Şafak Yılmaz,"MKB
MKB","Salı
Perşembe","1030/1229
1030/1229","---
---",40,0,Yok/None,IML,"MAL 201 MIN DD
veya MAL 201E MIN DD
veya MAK 213 MIN DD
veya MAK 213E MIN DD",Yok/None
1,23375,IML 312,İmal Usülleri II,,Şafak Yılmaz,"MKB
MKB","Salı
Perşembe","1330/1529
1330/1529","---
---",40,0,Yok/None,IML,"MAL 201 MIN DD
veya MAL 201E MIN DD
veya MAK 213 MIN DD
veya MAK 213E MIN DD",Yok/None
2,23376,IML 320,Makina Elemanları,,Ali İmre Aydeniz,"MKB
MKB","Pazartesi
Perşembe","1330/1629
1530/1729","---
---",40,0,Yok/None,"IML, IMLM","(MAK 105 MIN DD
veya MAK 105E MIN DD
veya RES 105 MIN DD
veya RES 105E MIN DD)
ve (MUK 205 MIN DD
veya MUK 205E MIN DD
veya MUK 207 MIN DD
veya MUK 207E MIN DD)",Yok/None
3,23378,IML 322,İmalatta Otomasyon,,Mustafa Resa Becan,MKB,Cuma,0930/1229,---,40,0,Yok/None,"IML, IMLM","(IML 212 MIN DD
veya IML 212E MIN DD
veya IML 311 MIN DD
veya IML 311E MIN DD)
ve (MAK 331E MIN DD
veya MAK 331 MIN DD
veya MAK 333 MIN DD
veya MAK 333E MIN DD)",Yok/None
4,23379,IML 324E,Comp.Aided Manufacturing Eng.,,Erkan Günpınar,"MKB
MKB","Çarşamba
Perşembe","0830/0929
0830/1029","---
---",40,0,Yok/None,"IML, IMLE","(RES 105 MIN DD
veya RES 105E MIN DD
veya MAK 105 MIN DD
veya MAK 105E MIN DD)
ve (BIL 104E MIN DD
veya BIL 106E MIN DD
veya BIL 112E MIN DD
veya MAK 104E MIN DD)",Yok/None
5,23381,IML 326E,Manuf. of Nonmetalic Prod.,,Ersan Üstündağ,MKB,Salı,0830/1129,---,40,0,Yok/None,"IML, IMLE","MAK 224E MIN DD
veya MAK 214E MIN DD",Yok/None
6,23382,IML 337,İmalat Planlama ve Kontrol,,Ramazan Murat Tabanlı,MKB,Pazartesi,1430/1729,---,40,0,Yok/None,IML,"MAT 271 MIN DD
veya MAT 271E MIN DD
veya MAK 211 MIN DD
veya MAK 211E MIN DD",Yok/None
7,23383,IML 338,İmalat Sistemleri,,Ramazan Murat Tabanlı,"MKB
MKB","Pazartesi
Çarşamba","0830/1029
0930/1029","---
---",40,0,Yok/None,IML,"IML 337 MIN DD
veya IML 337E MIN DD",Yok/None
8,24710,IML 401,İmalat Lab I,,Canan Gamze Güleryüz Parasız,MKB,----,/,---,40,0,Yok/None,"IML, IMLM",Yok/None,4.Sınıf
9,23385,IML 402,İmalat Lab II,,Canan Gamze Güleryüz Parasız,MKB,----,/,---,40,0,Yok/None,"IML, IMLM",Yok/None,4.Sınıf
10,23386,IML 404E,Comp.Simulations in Manuf.Eng.,,Canan Gamze Güleryüz Parasız,MKB,----,/,---,40,0,Yok/None,IML,Yok/None,4.Sınıf
11,23387,IML 438E,Tool Design,,Turgut Gülmez,MKB,Perşembe,1130/1429,---,40,0,Yok/None,"IML, IMLE","IML 312 MIN DD
veya IML 312E MIN DD",Yok/None
12,23388,IML 460,Tesis Plan. ve Yerleştirme,,Ramazan Murat Tabanlı,"MKB
MKB","Pazartesi
Çarşamba","1030/1229
1030/1129","---
---",40,0,Yok/None,IML,"IML 336 MIN DD
veya IML 336E MIN DD
veya IML 338 MIN DD
veya IML 338E MIN DD",Yok/None
13,23395,IML 4901,İmalat Müh. Tasarımı I,,Adil Yücel,MKB,----,/,---,200,0,Yok/None,IML,"(IML 311 MIN DD
veya IML 311E MIN DD)
ve (IML 312 MIN DD
veya IML 312E MIN DD)
ve (IML 338 MIN DD
veya IML 338E MIN DD)
ve (FIZ 101 MIN DD
veya FIZ 101EL MIN DD)
ve FIZ 101EL MIN DD
ve (KIM 101 MIN DD
veya KIM 101E MIN DD)
ve (KIM 101L MIN DD
veya KIM 101EL MIN DD)
ve (MAT 103 MIN DD
veya MAT 103E MIN DD)
ve (FIZ 102 MIN DD
veya FIZ 102E MIN DD)
ve FIZ 102EL MIN DD
ve (MAT 104 MIN DD
veya MAT 104E MIN DD)
ve (MAK 210 MIN DD
veya MAK 210E MIN DD)",4.Sınıf
