,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,20361,ITA 101,İtalyanca I,Çevrimiçi/Online,Lina Calogera,----,Pazartesi,0830/1229,----,20,0,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
1,20362,ITA 101,İtalyanca I,Çevrimiçi/Online,Lina Calogera,----,Salı,0830/1229,----,20,0,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
2,20367,ITA 101,İtalyanca I,Çevrimiçi/Online,Martina Lucia Leone,----,Salı,1300/1659,----,20,0,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
3,24475,ITA 101,İtalyanca I,Çevrimiçi/Online,Valentina Elmetti,----,Çarşamba,0830/1229,----,20,0,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
4,20365,ITA 101,İtalyanca I,Çevrimiçi/Online,--,----,Perşembe,0830/1229,----,-,-,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
5,20370,ITA 101,İtalyanca I,Çevrimiçi/Online,Martina Lucia Leone,----,Perşembe,1300/1659,----,20,0,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
6,20369,ITA 101,İtalyanca I,Çevrimiçi/Online,Martina Lucia Leone,----,Cuma,0830/1229,----,20,0,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
7,20366,ITA 102,İtalyanca II,Çevrimiçi/Online,--,----,Pazartesi,1300/1659,----,-,-,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
8,20364,ITA 102,İtalyanca II,Çevrimiçi/Online,--,----,Salı,1300/1659,----,-,-,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
9,24473,ITA 102,İtalyanca II,Çevrimiçi/Online,Valentina Elmetti,----,Salı,1300/1659,----,20,0,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
10,24471,ITA 102,İtalyanca II,Çevrimiçi/Online,Martina Lucia Leone,----,Çarşamba,0830/1229,----,20,0,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
11,24467,ITA 102,İtalyanca II,Çevrimiçi/Online,Lina Calogera,----,Perşembe,0830/1229,----,20,0,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
12,24470,ITA 201,İtalyanca III,Çevrimiçi/Online,Lina Calogera,----,Çarşamba,0830/1229,----,20,0,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
13,20368,ITA 201,İtalyanca III,Çevrimiçi/Online,Martina Lucia Leone,----,Perşembe,0830/1229,----,20,0,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
14,24474,ITA 201,İtalyanca III,Çevrimiçi/Online,Valentina Elmetti,----,Perşembe,0830/1229,----,20,0,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
15,20372,ITA 202,İtalyanca IV,Çevrimiçi/Online,Lina Calogera,----,Cuma,0830/1229,----,20,0,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
16,20371,ITA 301,İtalyanca V,Çevrimiçi/Online,Valentina Elmetti,----,Cuma,0830/1229,----,20,0,Yok/None,Tüm Lisans ve Lisansüstü Programlar,Yok/None,Yok/None
