,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,22350,ELK 221,Elektrik Mühen. Temelleri,,Fatma Gül Bağrıyanık,KMB,Pazartesi,1230/1529,D101,40,26,Yok/None,"CHZ, GID, IML, ISL, KMM, MAK, MET, TEK, UCK, UCKM, UZB",Yok/None,Yok/None
1,22352,ELK 221,Elektrik Mühen. Temelleri,,Fatma Gül Bağrıyanık,KMB,Çarşamba,0830/1129,GZ103,40,20,Yok/None,"CHZ, GID, IML, ISL, KMM, MAK, MET, TEK, UCK, UCKM, UZB",Yok/None,Yok/None
2,22348,ELK 221,Elektrik Mühen. Temelleri,,--,MED,Cuma,0830/1129,---,0,0,Yok/None,"CHZ, GID, IML, ISL, KMM, MAK, MET, TEK, UCK, UCKM, UZB",Yok/None,Yok/None
3,22356,ELK 221E,Fundamentals of Electric. Eng.,,Zehra Elif Batman,MEDB,Çarşamba,0830/1129,101,50,41,Yok/None,"CHZE, GIDE, IMLE, ISLE, KMME, MAKE, METE, PETE, TEKE, UCK, UCKE, UCKM, UZB, UZBE",Yok/None,Yok/None
4,22354,ELK 221E,Fundamentals of Electric. Eng.,,Ali Sinan Çabuk,MEDB,Perşembe,1230/1529,101,50,35,Yok/None,"CHZE, GIDE, IMLE, ISLE, KMME, MAKE, METE, PETE, TEKE, UCK, UCKE, UCKM, UZB, UZBE",Yok/None,Yok/None
5,22353,ELK 221E,Fundamentals of Electric. Eng.,,Kamil Karaçuha,KMB,Cuma,0830/1129,D104,60,54,Yok/None,"CHZE, GIDE, IMLE, ISLE, KMME, MAKE, METE, PETE, TEKE, UCK, UCKE, UCKM, UZB, UZBE",Yok/None,Yok/None
6,22358,ELK 226,Elektrik-Elektronik Müh. Tem.,,Ali Sinan Çabuk,MKB,Salı,0830/1129,D318,75,76,Yok/None,"IML, MAK","FIZ 102E MIN DD
veya FIZ 102 MIN DD",Yok/None
7,22357,ELK 226,Elektrik-Elektronik Müh. Tem.,,Cavit Fatih Küçüktezcan,MKB,Çarşamba,0830/1129,D318,75,76,Yok/None,"IML, MAK","FIZ 102E MIN DD
veya FIZ 102 MIN DD",Yok/None
8,22360,ELK 226,Elektrik-Elektronik Müh. Tem.,,Murat İmeryüz,MKB,Cuma,0830/1129,D355,75,46,Yok/None,"IML, MAK","FIZ 102E MIN DD
veya FIZ 102 MIN DD",Yok/None
9,22362,ELK 226E,Fund.of Electri.& Electro.Eng.,,Yusuf Yaşa,MKB,Çarşamba,0830/1129,D360,75,10,Yok/None,"IML, IMLE, MAK, MAKE, MAKM","FIZ 102E MIN DD
veya FIZ 102 MIN DD",Yok/None
10,22363,ELK 234E,Thermodynamics &Hydrodynamics,,Ahmet Cansız,EEB,Çarşamba,0830/1129,5107,40,14,Yok/None,"EEE, EHB, EHBE, ELK, ELKE",Yok/None,Yok/None
11,22365,ELK 308E,Comp. Networks for Power Syst.,,Cavit Fatih Küçüktezcan,EEB,Pazartesi,0830/1129,5303,60,44,Yok/None,"EEE, ELK, ELKE",Yok/None,Yok/None
12,22366,ELK 312,Yüksek Gerilim Tekniği,,Şükran Emel Önal,EEB,Perşembe,0830/1129,5104,85,88,Yok/None,ELK,Yok/None,Yok/None
13,22368,ELK 312E,High Voltage Technique,,Suat İlhan,EEB,Perşembe,0830/1129,5302,85,88,Yok/None,"EEE, ELK, ELKE",Yok/None,Yok/None
14,22370,ELK 322,Enerji İletim Sistemleri,,Canan Karatekin,EEB,Pazartesi,1230/1529,5307,35,37,Yok/None,ELK,"EHB 232 MIN DD
veya EHB 232E MIN DD
veya ELE 232 MIN DD
veya ELE 232E MIN DD
veya EEF 232 MIN DD
veya EEF 232E MIN DD",Yok/None
15,22371,ELK 322,Enerji İletim Sistemleri,,Emine Ayaz,EEB,Pazartesi,1230/1529,5301,35,35,Yok/None,ELK,"EHB 232 MIN DD
veya EHB 232E MIN DD
veya ELE 232 MIN DD
veya ELE 232E MIN DD
veya EEF 232 MIN DD
veya EEF 232E MIN DD",Yok/None
16,22372,ELK 322E,Power Transmission Systems,,Ömer Usta,EEB,Pazartesi,1230/1529,5303,35,35,Yok/None,"EEE, ELK, ELKE","EHB 232 MIN DD
veya EHB 232E MIN DD
veya ELE 232 MIN DD
veya ELE 232E MIN DD
veya EEF 232 MIN DD
veya EEF 232E MIN DD",Yok/None
