,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,22430,GEO 108E,Fundamentals of Programming,Çevrimiçi/Online,Volkan Özbey,----,"Çarşamba
Çarşamba","0830/0929
1030/1229",----,102,102,Yok/None,"GEO, GEOE",Yok/None,Yok/None
1,21378,GEO 108E,Fundamentals of Programming,Çevrimiçi/Online,Muhammed Enes Atik,----,"Çarşamba
Çarşamba","0930/1029
1330/1529",----,95,85,Yok/None,"GEO, GEOE",Yok/None,Yok/None
2,21379,GEO 114,Yersel Ölçme Don. Ve Yaz.,,Hasan Hakan Yavaşoğlu,INB,Perşembe,0830/1129,A104,75,65,Yok/None,GEO,"GEO 103 MIN DD
veya GEO 103E MIN DD",Yok/None
3,21380,GEO 114E,Terr. Surv. Equip. and Soft.,,Turan Erden,INB,Perşembe,1130/1429,A204,70,70,Yok/None,"GEO, GEOE","GEO 103 MIN DD
veya GEO 103E MIN DD",Yok/None
4,21381,GEO 114E,Terr. Surv. Equip. and Soft.,,Muhammed Enes Atik,INB,Perşembe,1230/1529,B206,60,37,Yok/None,"GEO, GEOE","GEO 103 MIN DD
veya GEO 103E MIN DD",Yok/None
5,21382,GEO 182,Geomatik Projesi 1,,Mehmet Ufuk Özerman,"INB
INB","Cuma
Cuma","0830/1129
1430/1729","A305
A305",20,6,Yok/None,GEO,"GEO 103 MIN DD
veya GEO 103E MIN DD
veya JDF 112 MIN DD
veya JDF 112E MIN DD",Yok/None
6,21383,GEO 182E,Geomatics Project I,,Himmet Karaman,"INB
INB","Cuma
Cuma","0830/1129
1430/1729","---
---",20,4,Yok/None,"GEO, GEOE","GEO 103 MIN DD
veya GEO 103E MIN DD
veya JDF 112 MIN DD
veya JDF 112E MIN DD",Yok/None
7,21384,GEO 203,Koord. Sist. Ve Jeodezi I,,Hayri Hakan Denli,INB,Perşembe,1330/1729,A103,30,8,Yok/None,GEO,Yok/None,Yok/None
8,21385,GEO 203E,Coordinate Sys. and Geodesy I,,"Serdar Erol, Bihter Erol",INB,Çarşamba,0830/1229,B205,40,31,Yok/None,"GEO, GEOE",Yok/None,Yok/None
9,21386,GEO 204,Hata Teo ve Dengeleme,,Orhan Akyılmaz,INB,Perşembe,1430/1829,B101,50,27,Yok/None,GEO,"GEO 215E MIN DD
veya GEO 225E MIN DD
veya MAT 271 MIN DD
veya MAT 271E MIN DD
veya JDF 232 MIN DD
veya JDF 232E MIN DD",Yok/None
10,21387,GEO 204E,Th.of Err. And Ad. C.,,Mustafa Tevfik Özlüdemir,INB,Pazartesi,1330/1729,A205,60,55,Yok/None,"GEO, GEOE","GEO 215E MIN DD
veya GEO 225E MIN DD
veya MAT 271 MIN DD
veya MAT 271E MIN DD
veya JDF 232 MIN DD
veya JDF 232E MIN DD",Yok/None
11,21388,GEO 208,Uzaktan Algılama I,,Şinasi Kaya,INB,Pazartesi,0930/1129,B201,40,19,Yok/None,GEO,Yok/None,Yok/None
12,21389,GEO 208,Uzaktan Algılama I,,Çiğdem Göksel,INB,Pazartesi,0930/1129,B202,40,37,Yok/None,GEO,Yok/None,Yok/None
13,21390,GEO 208E,Remote Sensing I,,Ayşe Filiz Sunar,INB,Perşembe,1530/1729,B206,40,27,Yok/None,"GEO, GEOE",Yok/None,Yok/None
14,21391,GEO 208E,Remote Sensing I,,Uğur Algancı,INB,Perşembe,1530/1729,B204,40,40,Yok/None,"GEO, GEOE",Yok/None,Yok/None
15,21392,GEO 210,Yükseklik Ölçmeleri,,--,INB,Salı,1530/1729,---,0,0,Yok/None,GEO,"GEO 104 MIN DD
veya GEO 104E MIN DD
veya JDF 211 MIN DD
veya JDF 211E MIN DD
veya GEO 114 MIN DD
veya GEO 114E MIN DD",Yok/None
16,22431,GEO 210,Yükseklik Ölçmeleri,,Volkan Özbey,INB,Salı,1530/1729,B203,40,37,Yok/None,GEO,"GEO 104 MIN DD
veya GEO 104E MIN DD
veya JDF 211 MIN DD
veya JDF 211E MIN DD
veya GEO 114 MIN DD
veya GEO 114E MIN DD",Yok/None
17,21393,GEO 210E,Fundamentals of Levelling,,Hasan Hakan Yavaşoğlu,INB,Perşembe,1330/1529,B103,60,50,Yok/None,"GEO, GEOE","GEO 104 MIN DD
veya GEO 104E MIN DD
veya JDF 211 MIN DD
veya JDF 211E MIN DD
veya GEO 114 MIN DD
veya GEO 114E MIN DD",Yok/None
18,21394,GEO 212,Mühendislik Ölçmeleri,,Mustafa Yanalak,INB,Pazartesi,1330/1629,B101,75,40,Yok/None,GEO,"GEO 213 MIN DD
veya GEO 213E MIN DD
veya JDF 211 MIN DD
veya JDF 211E MIN DD",Yok/None
19,21395,GEO 212E,Engineering Surveying,,Ergin Tarı,INB,Pazartesi,0830/1129,A203,70,54,Yok/None,"GEO, GEOE","GEO 213 MIN DD
veya GEO 213E MIN DD
veya JDF 211 MIN DD
veya JDF 211E MIN DD",Yok/None
20,21396,GEO 216,Bilgisayar Dest. Harita Tas.,,Mehmet Ufuk Özerman,INB,Perşembe,0830/1229,D102,32,32,Yok/None,GEO,Yok/None,Yok/None
21,21397,GEO 216,Bilgisayar Dest. Harita Tas.,,Adalet Dervişoğlu,INB,Perşembe,0830/1229,D101,32,28,Yok/None,GEO,Yok/None,Yok/None
