,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,22449,KON 218,Ölçme Tekniği ve Algılayıcılar,,Yücel Aydın,EEB,Cuma,0830/1229,5202,65,68,Yok/None,"EHB, ELK, KOM, MKN",Yok/None,Yok/None
1,22450,KON 218,Ölçme Tekniği ve Algılayıcılar,,Serhat İkizoğlu,EEB,Cuma,0830/1229,5304,65,69,Yok/None,"EHB, ELK, KOM, MKN",Yok/None,Yok/None
2,22451,KON 218E,Measurement and Sensors,,Serhat İkizoğlu,EEB,Perşembe,0830/1229,6309,75,90,Yok/None,"EHBE, ELKE, KOME",Yok/None,Yok/None
3,22452,KON 306,Bilgisayar Kontrollü Sistemler,,Ahmet Onat,EEB,Çarşamba,1130/1529,5102,73,75,Yok/None,KOM,"KON 313 MIN DD
veya KON 313E MIN DD",Yok/None
4,22453,KON 306E,Computer Controlled Systems,,Yaprak Yalçın,EEB,Çarşamba,1130/1529,5104,77,69,Yok/None,"KOM, KOME","KON 313 MIN DD
veya KON 313E MIN DD",Yok/None
5,22454,KON 313E,Feedback Control Systems,,Tufan Kumbasar,EEB,Salı,1230/1529,5304,80,79,Yok/None,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME, MKN","KON 214 MIN DD
veya KON 214E MIN DD
veya EHB 232 MIN DD
veya EHB 232E MIN DD
veya EEF 232 MIN DD
veya EEF 232E MIN DD
veya KON 201 MIN DD
veya KON 201E MIN DD
veya EEF 210 MIN DD
veya EEF 210E MIN DD
veya MAT 210 MIN DD
veya MAT 210E MIN DD",Yok/None
6,22455,KON 313E,Feedback Control Systems,,Aysa Jafari Farmand,EEB,Salı,1230/1529,4102,80,80,Yok/None,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME, MKN","KON 214 MIN DD
veya KON 214E MIN DD
veya EHB 232 MIN DD
veya EHB 232E MIN DD
veya EEF 232 MIN DD
veya EEF 232E MIN DD
veya KON 201 MIN DD
veya KON 201E MIN DD
veya EEF 210 MIN DD
veya EEF 210E MIN DD
veya MAT 210 MIN DD
veya MAT 210E MIN DD",Yok/None
7,24540,KON 313E,Feedback Control Systems,,Farzad Hashemzadeh,EEB,Salı,1230/1529,4104,80,77,Yok/None,"EEE, EHB, EHBE, ELK, ELKE, KOM, KOME, MKN","KON 214 MIN DD
veya KON 214E MIN DD
veya EHB 232 MIN DD
veya EHB 232E MIN DD
veya EEF 232 MIN DD
veya EEF 232E MIN DD
veya KON 201 MIN DD
veya KON 201E MIN DD
veya EEF 210 MIN DD
veya EEF 210E MIN DD
veya MAT 210 MIN DD
veya MAT 210E MIN DD",Yok/None
8,22456,KON 314,Kontrol Sistem Tasarımı,,Mehmet Turan Söylemez,"EEB
EEB","Pazartesi
Perşembe","1230/1429
1530/1729","5105
6307",70,69,Yok/None,KOM,"KON 313 MIN DD
veya KON 313E MIN DD",Yok/None
9,22457,KON 314E,Control System Design,,İlker Üstoğlu,"EEB
EEB","Pazartesi
Cuma","1230/1429
1530/1729","5107
6307",70,46,Yok/None,"KOM, KOME","KON 313 MIN DD
veya KON 313E MIN DD",Yok/None
