,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,"Reservation
Maj./Cap./Enrl.",Major Restriction,Prerequisites,Class Rest.
0,22839,SBP 126,CBS ve Planlama,,Hasan Serdar Kaya,MMB,Perşembe,1330/1629,230,90,90,Yok/None,"SBP, SBPM",Yok/None,Yok/None
1,22841,SBP 126E,GIS and Planning,,Fatih Terzi,MMB,Çarşamba,0930/1229,230,100,103,Yok/None,"SBPE, SBPM",Yok/None,Yok/None
2,22843,SBP 205E,Statistics,,Muhammed Ziya Paköz,MMB,Pazartesi,1330/1629,229,175,165,Yok/None,"ENTE, EUT, EUTE, SBP, SBPE",Yok/None,Yok/None
3,22835,SBP 207E,Project III: Site Plan.&Design,,Funda Yirmibeşoğlu,"MMB
MMB","Salı
Cuma","1330/1729
1400/1759","203A
203A",15,7,Yok/None,"SBP, SBPE","TES 121 MIN DD
veya TES 121E MIN DD
veya SBP 112 MIN DD
veya SBP 112E MIN DD",Yok/None
4,24585,SBP 208,Şehir Ekonomisi,,Emine Ferhan Gezici Korten,MMB,Salı,0930/1229,107,50,48,Yok/None,"SBP, SBPM",Yok/None,Yok/None
5,24586,SBP 208E,Urban Economics,,Elif Alkay,MMB,Salı,0930/1229,213,50,49,Yok/None,"SBP, SBPE, SBPM",Yok/None,Yok/None
6,24587,SBP 210,Şehir Sosyolojisi,,Eda Yücesoy,MMB,Pazartesi,1330/1629,216,45,42,Yok/None,"SBP, SBPM",Yok/None,Yok/None
7,24584,SBP 210E,Urban Sociology,,Elvan Gülöksüz,MMB,Perşembe,0930/1229,106,70,65,Yok/None,"SBP, SBPE, SBPM",Yok/None,Yok/None
8,22844,SBP 214E,Geography,,Eda Yücesoy,MMB,Pazartesi,0930/1229,213,47,22,Yok/None,"ISLE, PEME, SBP, SBPE",Yok/None,Yok/None
9,22867,SBP 218,Proje IV: Strat.Plan.&Pol.Gel.,,Ebru Kerimoğlu,"MMB
MMB","Salı
Cuma","1330/1729
1400/1759","217B
217B",12,9,Yok/None,"SBP, SBPE","TES 211 MIN DD
veya TES 211E MIN DD
veya SBP 207 MIN DD
veya SBP 207E MIN DD
veya SBP 211 MIN DD
veya SBP 211E MIN DD
veya SBP 213 MIN DD
veya SBP 213E MIN DD",Yok/None
