,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22367,AKM 204,Akışkanlar Mekaniği,Fiziksel (Yüz yüze),-,INB,Wednesday,09:30/12:29 -,A203,50,0,-,INS_LS,Detail,-
1,22368,AKM 204,Akışkanlar Mekaniği,Fiziksel (Yüz yüze),-,INB,Wednesday,09:30/12:29 -,A304,50,0,-,INS_LS,Detail,-
2,22369,AKM 204,Akışkanlar Mekaniği,Fiziksel (Yüz yüze),-,INB,Monday,09:30/12:29 -,A104,50,0,-,INS_LS,Detail,-
3,22409,AKM 204,Akışkanlar Mekaniği,Fiziksel (Yüz yüze),Şakir Bal,MEDC,Tuesday,08:30/11:29 -,2D12,40,0,-,GEM_LS,Detail,-
4,22433,AKM 204,Akışkanlar Mekaniği,Fiziksel (Yüz yüze),Ali Can Takinacı,MEDC,Tuesday,08:30/11:29 -,2D13,40,0,-,GEM_LS,Detail,-
5,20895,AKM 204E,Fluid Mechanics,Fiziksel (Yüz yüze),Murat Çakan,MKB,Thursday,14:30/17:29 -,D376,80,0,-,CEV_LS; CEVE_LS; INS_LS; INSE_LS; TEK_LS; TEKE_LS,Detail,-
6,21459,AKM 204E,Fluid Mechanics,Fiziksel (Yüz yüze),Zerefşan Kaymaz,MEDC,Wednesday,08:30/11:29 -,ZA4,75,0,-,IBM_LS; MTO_LS; MTOE_LS,Detail,-
7,22370,AKM 204E,Fluid Mechanics,Fiziksel (Yüz yüze),-,INB,Monday,09:30/12:29 -,A105,50,0,-,INS_LS; INSE_LS; NAE_LS,Detail,-
8,22371,AKM 204E,Fluid Mechanics,Fiziksel (Yüz yüze),-,INB,Thursday,09:30/12:29 -,D203,50,0,-,INS_LS; INSE_LS; NAE_LS,Detail,-
9,24517,AKM 204E,Fluid Mechanics,Fiziksel (Yüz yüze),Veysel Şadan Özgür Kırca,MDB,Friday,08:30/11:29 -,A101,80,0,-,PETE_LS,Detail,-
10,24640,AKM 204E,Fluid Mechanics,Fiziksel (Yüz yüze),Mehmet Murat Sunar,DZB,Tuesday,17:30/20:29 -,--,60,0,-,MEN_LS; MTM_LS,Detail,-
11,22580,AKM 205,Akışkanlar Mekaniği,Fiziksel (Yüz yüze),Şafak Nur Ertürk Bozkurtoğlu,MEDCMEDC,TuesdayThursday,13:30/16:2915:00/16:59 -,ZA4ZA3,90,0,-,DEN_LS,Detail,-
12,21473,AKM 219,Akışkanlar Mekaniği,Fiziksel (Yüz yüze),Nuriye Leman Okşan Çetiner Yıldırım,MEDC,Tuesday,08:30/11:29 -,ZA2,100,0,-,UCK_LS,Detail,-
13,21471,AKM 219E,Fluid Mechanics,Fiziksel (Yüz yüze),Fırat Oğuz Edis,MEDC,Tuesday,08:30/11:29 -,ZA1,100,0,-,UZB_LS; UZBE_LS,Detail,-
