,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,20789,BIL 100E,Intr.to Prog.Language(PYTHON),Sanal (Çevrimiçi/Online),-,MEDMED,MondayMonday,10:30/11:2911:30/13:29 -,----,75,0,-,BIO_LS; BIOE_LS; CEV_LS; CEVE_LS; CHZ_LS; CHZE_LS; DEN_LS; DENE_LS; DUI_LS; DUIE_LS; ECNE_LS; EHB_LS; EHBE_LS; ELE_LS; ELH_LS; END_LS; ENDE_LS; ENTE_LS; EUT_LS; EUTE_LS; FIZ_LS; FIZ_YD; FIZE_LS; GEM_LS; GEME_LS; GEMK_LS; GID_LS; GIDE_LS; GMI_LS; GMIE_LS; ICM_LS; IML_LS; IMLE_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEFE_LS; JEO_LS; JEOE_LS; KIM_LS; KIME_LS; KMM_LS; KMME_LS; KOM_LS; KOME_LS; MAD_LS; MADE_LS; MAK_LS; MAKE_LS; MAT_LS; MATE_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; PEM_LS; PEME_LS; PET_LS; PETE_LS; SBP_LS; SBPE_LS; SEN_LS; TEK_LS; TEKE_LS; TEL_LS; UCK_LS; UZB_LS; UZBE_LS,-,-
1,20790,BIL 100E,Intr.to Prog.Language(PYTHON),Sanal (Çevrimiçi/Online),-,MEDMED,MondayMonday,10:30/11:2911:30/13:29 -,----,75,0,-,BIO_LS; BIOE_LS; CEV_LS; CEVE_LS; CHZ_LS; CHZE_LS; DEN_LS; DENE_LS; DUI_LS; DUIE_LS; ECNE_LS; EHB_LS; EHBE_LS; ELE_LS; ELH_LS; END_LS; ENDE_LS; ENTE_LS; EUT_LS; EUTE_LS; FIZ_LS; FIZ_YD; FIZE_LS; GEM_LS; GEME_LS; GEMK_LS; GID_LS; GIDE_LS; GMI_LS; GMIE_LS; ICM_LS; IML_LS; IMLE_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEFE_LS; JEO_LS; JEOE_LS; KIM_LS; KIME_LS; KMM_LS; KMME_LS; KOM_LS; KOME_LS; MAD_LS; MADE_LS; MAK_LS; MAKE_LS; MAT_LS; MATE_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; PEM_LS; PEME_LS; PET_LS; PETE_LS; SBP_LS; SBPE_LS; SEN_LS; TEK_LS; TEKE_LS; TEL_LS; UCK_LS; UZB_LS; UZBE_LS,-,-
2,20791,BIL 100E,Intr.to Prog.Language(PYTHON),Sanal (Çevrimiçi/Online),-,MEDMED,MondayMonday,14:30/15:2915:30/17:29 -,----,75,0,-,BIO_LS; BIOE_LS; CEV_LS; CEVE_LS; CHZ_LS; CHZE_LS; DEN_LS; DENE_LS; DUI_LS; DUIE_LS; ECNE_LS; EHB_LS; EHBE_LS; ELE_LS; ELH_LS; END_LS; ENDE_LS; ENTE_LS; EUT_LS; EUTE_LS; FIZ_LS; FIZ_YD; FIZE_LS; GEM_LS; GEME_LS; GEMK_LS; GID_LS; GIDE_LS; GMI_LS; GMIE_LS; ICM_LS; IML_LS; IMLE_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEFE_LS; JEO_LS; JEOE_LS; KIM_LS; KIME_LS; KMM_LS; KMME_LS; KOM_LS; KOME_LS; MAD_LS; MADE_LS; MAK_LS; MAKE_LS; MAT_LS; MATE_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; PEM_LS; PEME_LS; PET_LS; PETE_LS; SBP_LS; SBPE_LS; SEN_LS; TEK_LS; TEKE_LS; TEL_LS; UCK_LS; UZB_LS; UZBE_LS,-,-
3,20792,BIL 100E,Intr.to Prog.Language(PYTHON),Sanal (Çevrimiçi/Online),-,MEDMED,MondayMonday,14:30/15:2915:30/17:29 -,----,75,0,-,BIO_LS; BIOE_LS; CEV_LS; CEVE_LS; CHZ_LS; CHZE_LS; DEN_LS; DENE_LS; DUI_LS; DUIE_LS; ECNE_LS; EHB_LS; EHBE_LS; ELE_LS; ELH_LS; END_LS; ENDE_LS; ENTE_LS; EUT_LS; EUTE_LS; FIZ_LS; FIZ_YD; FIZE_LS; GEM_LS; GEME_LS; GEMK_LS; GID_LS; GIDE_LS; GMI_LS; GMIE_LS; ICM_LS; IML_LS; IMLE_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEFE_LS; JEO_LS; JEOE_LS; KIM_LS; KIME_LS; KMM_LS; KMME_LS; KOM_LS; KOME_LS; MAD_LS; MADE_LS; MAK_LS; MAKE_LS; MAT_LS; MATE_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; PEM_LS; PEME_LS; PET_LS; PETE_LS; SBP_LS; SBPE_LS; SEN_LS; TEK_LS; TEKE_LS; TEL_LS; UCK_LS; UZB_LS; UZBE_LS,-,-
4,20793,BIL 100E,Intr.to Prog.Language(PYTHON),Sanal (Çevrimiçi/Online),-,MEDMED,TuesdayTuesday,10:30/11:2911:30/13:29 -,----,75,0,-,BIO_LS; BIOE_LS; CEV_LS; CEVE_LS; CHZ_LS; CHZE_LS; DEN_LS; DENE_LS; DUI_LS; DUIE_LS; ECNE_LS; EHB_LS; EHBE_LS; ELE_LS; ELH_LS; END_LS; ENDE_LS; ENTE_LS; EUT_LS; EUTE_LS; FIZ_LS; FIZ_YD; FIZE_LS; GEM_LS; GEME_LS; GEMK_LS; GID_LS; GIDE_LS; GMI_LS; GMIE_LS; ICM_LS; IML_LS; IMLE_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEFE_LS; JEO_LS; JEOE_LS; KIM_LS; KIME_LS; KMM_LS; KMME_LS; KOM_LS; KOME_LS; MAD_LS; MADE_LS; MAK_LS; MAKE_LS; MAT_LS; MATE_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; PEM_LS; PEME_LS; PET_LS; PETE_LS; SBP_LS; SBPE_LS; SEN_LS; TEK_LS; TEKE_LS; TEL_LS; UCK_LS; UZB_LS; UZBE_LS,-,-
5,20794,BIL 100E,Intr.to Prog.Language(PYTHON),Sanal (Çevrimiçi/Online),-,MEDMED,TuesdayTuesday,10:30/11:2911:30/13:29 -,----,75,0,-,BIO_LS; BIOE_LS; CEV_LS; CEVE_LS; CHZ_LS; CHZE_LS; DEN_LS; DENE_LS; DUI_LS; DUIE_LS; ECNE_LS; EHB_LS; EHBE_LS; ELE_LS; ELH_LS; END_LS; ENDE_LS; ENTE_LS; EUT_LS; EUTE_LS; FIZ_LS; FIZ_YD; FIZE_LS; GEM_LS; GEME_LS; GEMK_LS; GID_LS; GIDE_LS; GMI_LS; GMIE_LS; ICM_LS; IML_LS; IMLE_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEFE_LS; JEO_LS; JEOE_LS; KIM_LS; KIME_LS; KMM_LS; KMME_LS; KOM_LS; KOME_LS; MAD_LS; MADE_LS; MAK_LS; MAKE_LS; MAT_LS; MATE_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; PEM_LS; PEME_LS; PET_LS; PETE_LS; SBP_LS; SBPE_LS; SEN_LS; TEK_LS; TEKE_LS; TEL_LS; UCK_LS; UZB_LS; UZBE_LS,-,-
6,20795,BIL 100E,Intr.to Prog.Language(PYTHON),Sanal (Çevrimiçi/Online),-,MEDMED,TuesdayTuesday,14:30/15:2915:30/17:29 -,----,75,0,-,BIO_LS; BIOE_LS; CEV_LS; CEVE_LS; CHZ_LS; CHZE_LS; DEN_LS; DENE_LS; DUI_LS; DUIE_LS; ECNE_LS; EHB_LS; EHBE_LS; ELE_LS; ELH_LS; END_LS; ENDE_LS; ENTE_LS; EUT_LS; EUTE_LS; FIZ_LS; FIZ_YD; FIZE_LS; GEM_LS; GEME_LS; GEMK_LS; GID_LS; GIDE_LS; GMI_LS; GMIE_LS; ICM_LS; IML_LS; IMLE_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEFE_LS; JEO_LS; JEOE_LS; KIM_LS; KIME_LS; KMM_LS; KMME_LS; KOM_LS; KOME_LS; MAD_LS; MADE_LS; MAK_LS; MAKE_LS; MAT_LS; MATE_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; PEM_LS; PEME_LS; PET_LS; PETE_LS; SBP_LS; SBPE_LS; SEN_LS; TEK_LS; TEKE_LS; TEL_LS; UCK_LS; UZB_LS; UZBE_LS,-,-
7,20796,BIL 100E,Intr.to Prog.Language(PYTHON),Sanal (Çevrimiçi/Online),-,MEDMED,TuesdayTuesday,14:30/15:2915:30/17:29 -,----,75,0,-,BIO_LS; BIOE_LS; CEV_LS; CEVE_LS; CHZ_LS; CHZE_LS; DEN_LS; DENE_LS; DUI_LS; DUIE_LS; ECNE_LS; EHB_LS; EHBE_LS; ELE_LS; ELH_LS; END_LS; ENDE_LS; ENTE_LS; EUT_LS; EUTE_LS; FIZ_LS; FIZ_YD; FIZE_LS; GEM_LS; GEME_LS; GEMK_LS; GID_LS; GIDE_LS; GMI_LS; GMIE_LS; ICM_LS; IML_LS; IMLE_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEFE_LS; JEO_LS; JEOE_LS; KIM_LS; KIME_LS; KMM_LS; KMME_LS; KOM_LS; KOME_LS; MAD_LS; MADE_LS; MAK_LS; MAKE_LS; MAT_LS; MATE_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; PEM_LS; PEME_LS; PET_LS; PETE_LS; SBP_LS; SBPE_LS; SEN_LS; TEK_LS; TEKE_LS; TEL_LS; UCK_LS; UZB_LS; UZBE_LS,-,-
8,20797,BIL 100E,Intr.to Prog.Language(PYTHON),Sanal (Çevrimiçi/Online),-,MEDMED,WednesdayWednesday,12:30/13:2913:30/15:29 -,----,75,0,-,BIO_LS; BIOE_LS; CEV_LS; CEVE_LS; CHZ_LS; CHZE_LS; DEN_LS; DENE_LS; DUI_LS; DUIE_LS; ECNE_LS; EHB_LS; EHBE_LS; ELE_LS; ELH_LS; END_LS; ENDE_LS; ENTE_LS; EUT_LS; EUTE_LS; FIZ_LS; FIZ_YD; FIZE_LS; GEM_LS; GEME_LS; GEMK_LS; GID_LS; GIDE_LS; GMI_LS; GMIE_LS; ICM_LS; IML_LS; IMLE_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEFE_LS; JEO_LS; JEOE_LS; KIM_LS; KIME_LS; KMM_LS; KMME_LS; KOM_LS; KOME_LS; MAD_LS; MADE_LS; MAK_LS; MAKE_LS; MAT_LS; MATE_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; PEM_LS; PEME_LS; PET_LS; PETE_LS; SBP_LS; SBPE_LS; SEN_LS; TEK_LS; TEKE_LS; TEL_LS; UCK_LS; UZB_LS; UZBE_LS,-,-
9,20798,BIL 100E,Intr.to Prog.Language(PYTHON),Sanal (Çevrimiçi/Online),-,MEDMED,WednesdayWednesday,12:30/13:2913:30/15:29 -,----,75,0,-,BIO_LS; BIOE_LS; CEV_LS; CEVE_LS; CHZ_LS; CHZE_LS; DEN_LS; DENE_LS; DUI_LS; DUIE_LS; ECNE_LS; EHB_LS; EHBE_LS; ELE_LS; ELH_LS; END_LS; ENDE_LS; ENTE_LS; EUT_LS; EUTE_LS; FIZ_LS; FIZ_YD; FIZE_LS; GEM_LS; GEME_LS; GEMK_LS; GID_LS; GIDE_LS; GMI_LS; GMIE_LS; ICM_LS; IML_LS; IMLE_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEFE_LS; JEO_LS; JEOE_LS; KIM_LS; KIME_LS; KMM_LS; KMME_LS; KOM_LS; KOME_LS; MAD_LS; MADE_LS; MAK_LS; MAKE_LS; MAT_LS; MATE_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; PEM_LS; PEME_LS; PET_LS; PETE_LS; SBP_LS; SBPE_LS; SEN_LS; TEK_LS; TEKE_LS; TEL_LS; UCK_LS; UZB_LS; UZBE_LS,-,-
