,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22342,CEV 104,Yer Bilimi,Fiziksel (Yüz yüze),-,INB,Monday,08:30/10:29 -,B104,70,0,-,CEV_LS,-,-
1,22343,CEV 104E,Earth Science,Fiziksel (Yüz yüze),-,INB,Thursday,11:30/13:29 -,B104,70,0,-,CEVE_LS,-,-
2,20992,CEV 202E,Enviromental Chemistry II,Fiziksel (Yüz yüze),Kübra Altuntaş,INB,Tuesday,08:30/11:29 -,B303,20,0,-,CEV_LS; CEVE_LS,Detail,-
3,20993,CEV 202EL,Enviromental Chemistry II Lab.,Fiziksel (Yüz yüze),Gökşin Özyıldız,INB,Friday,14:00/15:59 -,--,20,0,-,CEV_LS; CEVE_LS,Detail,-
4,20994,CEV 212,Çevre Kimyası II,Fiziksel (Yüz yüze),İsmail Toröz ;Derya Yüksel İmer ;Ayşe Yüksekdağ,INBINB,TuesdayWednesday,10:30/12:2910:30/12:29 -,A103A103,30,0,-,CEV_LS,Detail,-
5,20995,CEV 212,Çevre Kimyası II,Fiziksel (Yüz yüze),Nuray Işık Kabdaşlı ;Serdar Doğruel,INBINB,TuesdayThursday,10:30/12:2913:30/15:29 -,B306A104,30,0,-,CEV_LS,Detail,-
6,20996,CEV 212E,Enviromental Chemistry II,Fiziksel (Yüz yüze),İdil Arslan Alaton ;Elif Pehlivanoğlu,INBINB,MondayTuesday,08:30/10:2911:30/13:29 -,A101A101,30,0,-,CEVE_LS,Detail,-
7,20997,CEV 212E,Enviromental Chemistry II,Fiziksel (Yüz yüze),Tuğba Ölmez Hancı ;Serdar Doğruel,INBINB,MondayFriday,08:30/10:2914:00/15:59 -,A103B303,30,0,-,CEVE_LS,Detail,-
8,21000,CEV 216,Çevre Müh. Bilg. Uyg.,Fiziksel (Yüz yüze),-,INB,Friday,08:30/12:29 -,D103,60,0,-,CEV_LS,Detail,-
9,21001,CEV 216E,Comp. App. in Environment.Eng.,Fiziksel (Yüz yüze),-,INB,Monday,13:30/17:29 -,D101,35,0,-,CEVE_LS,Detail,-
10,21051,CEV 216E,Comp. App. in Environment.Eng.,Fiziksel (Yüz yüze),-,INB,Monday,13:30/17:29 -,D103,35,0,-,CEVE_LS,Detail,-
11,22511,CEV 234E,Soil Mechanics,Fiziksel (Yüz yüze),Merve Akbaş,INB,Thursday,11:30/13:29 -,A103,35,0,-,CEV_LS; CEVE_LS,-,-
12,20873,CEV 243E,Environmental Chemistry,Fiziksel (Yüz yüze),Meltem Tekçin,MKB,Thursday,08:30/11:29 -,D380A,30,0,-,TEK_LS; TEKE_LS,-,-
13,21054,CEV 246E,Marine and Lake Sciences,Fiziksel (Yüz yüze),Melike Gürel ;Elif Pehlivanoğlu,INB,Thursday,13:30/15:29 -,B306,35,0,-,CEV_LS; CEVE_LS,-,-
14,21394,CEV 248,Ölçme Bilgisi,Fiziksel (Yüz yüze),Turan Erden,INB,Tuesday,08:30/10:29 -,B306,35,0,-,CEV_LS,-,-
15,21058,CEV 250,Halk ve İşyeri Sağlığı,Fiziksel (Yüz yüze),Fatma Gülen İskender ;Naciye Esra Ateş Genceli,INB,Wednesday,13:30/15:29 -,A203,50,0,CEV/35/0 | GID/15/0 | Diğer/0/0,CEV_LS; GID_LS,-,-
16,21060,CEV 250E,Public and Occupational Health,Fiziksel (Yüz yüze),Elif Pehlivanoğlu ;Burçak Kaynak Tezel,INB,Wednesday,10:30/12:29 -,A101,35,0,-,CEV_LS; CEVE_LS,-,-
17,21061,CEV 302,Biyolojik Prosesler,Fiziksel (Yüz yüze),Emine Çokgör,INBINB,WednesdayFriday,13:30/15:2910:30/12:29 -,A304A201,60,0,-,CEV_LS,Detail,-
18,21062,CEV 302E,Biological Processes,Fiziksel (Yüz yüze),Ebru Dülekgürgen ;Özlem Karahan Özgün,INBINB,MondayFriday,13:30/15:2910:30/12:29 -,A203A205,35,0,-,CEV_LS; CEVE_LS,Detail,-
19,21063,CEV 302E,Biological Processes,Fiziksel (Yüz yüze),Seval Sözen ;Rüya Taşlı,INBINB,WednesdayFriday,13:30/15:2910:30/12:29 -,A105A105,35,0,-,CEV_LS; CEVE_LS,Detail,-
20,21064,CEV 304,Temel İşlemler&Prosesler Lab.,Fiziksel (Yüz yüze),Çiğdem Gömeç ;Derya Yüksel İmer,INB,Thursday,08:30/12:29 -,A201,30,0,-,CEV_LS,Detail,-
21,21065,CEV 304,Temel İşlemler&Prosesler Lab.,Fiziksel (Yüz yüze),Seval Sözen ;Serdar Doğruel,INB,Thursday,08:30/12:29 -,B308,30,0,-,CEV_LS,Detail,-
22,21066,CEV 304E,Unit Operations&Processes Lab.,Fiziksel (Yüz yüze),Tuğba Ölmez Hancı ;Ebru Dülekgürgen,INB,Wednesday,08:30/12:29 -,A201,30,0,-,CEVE_LS,Detail,-
23,21067,CEV 304E,Unit Operations&Processes Lab.,Fiziksel (Yüz yüze),İdil Arslan Alaton ;Gökşin Özyıldız,INB,Wednesday,08:30/12:29 -,B303,30,0,-,CEVE_LS,Detail,-
24,21068,CEV 308,Hava Kirlenmesi,Fiziksel (Yüz yüze),Vedat Uyak ;Sadullah Levent Kuzu,INB,Wednesday,08:30/11:29 -,A105,60,0,-,CEV_LS,Detail,-
25,21069,CEV 308E,Air Pollution,Fiziksel (Yüz yüze),Burçak Kaynak Tezel,INB,Thursday,13:30/16:29 -,A304,60,0,-,CEV_LS; CEVE_LS,Detail,-
26,21071,CEV 318E,Comp Appl of Infrastr Planning,Fiziksel (Yüz yüze),Ali Fuat Aydın,INB,Thursday,13:30/15:29 -,D101,30,0,-,CEV_LS; CEVE_LS,-,-
27,21073,CEV 330,Su Arıtma Tesisi Tasarımı,Fiziksel (Yüz yüze),İsmail Koyuncu ;Mustafa Evren Erşahin ;Türker Türken,INB,Monday,13:30/17:29 -,A304,60,0,-,CEV_LS,Detail,-
28,21076,CEV 330E,Water Treatment Plant Design,Fiziksel (Yüz yüze),Mustafa Evren Erşahin ;Recep Kaya ;Onur Işık,INB,Monday,08:30/12:29 -,A203,60,0,-,CEV_LS; CEVE_LS,Detail,-
29,21078,CEV 334,Katı Atık Yönetimi,Fiziksel (Yüz yüze),Hüseyin Güven ;Mehmet Sadık Akca,INB,Tuesday,13:30/16:29 -,A203,60,0,-,CEV_LS,-,-
30,21081,CEV 334E,Solid Waste Management,Fiziksel (Yüz yüze),Osman Atilla Arıkan ;Bülent İnanç ;Kadriye Elif Maçin,INB,Tuesday,08:30/11:29 -,A105,60,0,-,CEV_LS; CEVE_LS,-,-
