,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,20809,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Ayşegül Akçay Kavakoğlu,MMB,Wednesday,15:30/17:29 -,--,100,0,-,PEM_LS; PEME_LS,-,-
1,21165,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Osman Atilla Arıkan,INB,Wednesday,15:30/17:29 -,--,300,0,-,CEV_LS; CEVE_LS,-,-
2,21196,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Himmet Karaman,INB,Wednesday,15:30/17:29 -,--,200,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,-,-
3,21455,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Onur Tunçer,MEDC,Wednesday,15:30/17:29 -,ZA1,300,0,-,UCK_LS; UZBE_LS,-,-
4,21518,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Mikdat Kadıoğlu ;Barış Çaldağ,MEDC,Wednesday,15:30/17:29 -,ZD1,75,0,-,IBM_LS; MTO_LS,-,-
5,21569,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Abdullah Fişne,MDB,Wednesday,15:30/17:29 -,A204,120,0,-,MAD_LS,-,-
6,21571,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Ümit Avşar,MDB,Wednesday,15:30/17:29 -,A102,50,0,-,JEF_LS,-,-
7,21612,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Kudret Tahsin Perek,MDB,Wednesday,15:30/17:29 -,A203,200,0,-,CHZ_LS,-,-
8,21646,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Murat Çınar,MDB,Wednesday,15:30/17:29 -,A103,80,0,-,PET_LS; PET_YD; PETE_LS,-,-
9,21689,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Zeynep Döner,MDB,Wednesday,15:30/17:29 -,A101,100,0,-,JEO_LS,-,-
10,21705,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),İsmail Yalçın Uralcan,MKB,Wednesday,15:30/17:29 -,A201,500,0,-,MAK_LS,-,-
11,21775,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),İzzet Göksel,FEB,Wednesday,15:30/17:29 -,D204,160,0,-,MAT_LS,-,-
12,21838,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Seher Melike Aydoğan,FEB,Wednesday,15:30/17:29 -,D202,200,0,-,ARC_LS; CEN_LS; EEE_LS; EFN_LS; IAD_LS; IND_LS; MMD_LS; NAE_LS,-,-
13,21842,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Alper Gürarslan,MKB,Wednesday,15:30/17:29 -,D381B,30,0,-,TEK_LS; TEK_YD; TEKE_LS,-,-
14,21884,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Berna Morova,FEB,Wednesday,15:30/17:29 -,--,300,0,-,FIZ_LS; FIZ_YD; FIZE_LS,-,-
15,22134,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Hakan Ali Çırpan,EEB,Wednesday,15:30/17:29 -,--,500,0,-,EHB_LS; EHBE_LS,-,-
16,22135,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Suat İlhan,EEB,Wednesday,15:30/17:29 -,--,500,0,-,ELK_LS; ELKE_LS,-,-
17,22136,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),İlker Üstoğlu,EEB,Wednesday,15:30/17:29 -,--,500,0,-,KOM_LS; KOME_LS,-,-
18,22402,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Selma Ergin,MEDC,Wednesday,15:30/17:29 -,--,75,0,-,GEM_LS,-,-
19,22503,DAN 102,Girişimcilik & Kariyer Danış.,Sanal (Çevrimiçi/Online),Murat Yılmaz,INB,Wednesday,15:30/17:29 -,--,300,0,-,INS_LS; INSE_LS,-,-
20,22557,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Bülent Balta,FEB,Wednesday,15:30/17:29 -,--,150,0,-,BIO_LS; BIOE_LS,-,-
21,22574,DAN 102,Girişimcilik & Kariyer Danış.,Sanal (Çevrimiçi/Online),Ayhan Menteş,MEDC,Wednesday,15:30/17:29 -,--,500,0,-,DEN_LS,-,-
22,22673,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Ayşe Tosun Kühn,BBB,Wednesday,15:30/17:29 -,--,200,0,-,BLG_LS; BLGE_LS,-,-
23,22679,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Gülşen Eryiğit,BBB,Wednesday,15:30/17:29 -,--,70,0,-,YZVE_LS,-,-
24,22721,DAN 102,Girişimcilik & Kariyer Danış.,Sanal (Çevrimiçi/Online),Ömer Faruk Beyca,ISB,Wednesday,15:30/17:29 -,--,500,0,-,END_LS; ENDE_LS; IND_LS; VBAE_LS,-,-
25,22819,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Zehra Atik,ISB,Wednesday,15:30/17:29 -,--,100,0,-,ECNE_LS,-,-
26,22920,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Ethem Gürer,MMB,Wednesday,15:30/17:29 -,--,200,0,-,ICM_LS,-,-
27,22960,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Ekrem Cem Alppay,MMB,Wednesday,15:30/17:29 -,--,200,0,-,ENTE_LS; EUT_LS; EUT_YD; EUTE_LS,-,-
28,22974,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Derya Gültekin ;Kaya Tokmakçıoğlu,ISB,Wednesday,15:30/17:29 -,--,150,0,-,ISL_LS; ISLE_LS,-,-
29,23175,DAN 102,Girişimcilik & Kariyer Danış.,Fiziksel (Yüz yüze),Fatma Elif Genceli Güner,KMB,Wednesday,15:30/17:29 -,D201,300,0,-,KMM_LS,-,-
