,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22174,EHB 208,Veri Yapıları ve Programlama,Fiziksel (Yüz yüze),-,EEB,Friday,14:00/16:59 -,5102,70,0,-,EHB_LS; ELK_LS; KOM_LS; ROS_LS; TEL_LS,Detail,-
1,22175,EHB 208E,Data Structures & Programming,Fiziksel (Yüz yüze),-,EEB,Friday,14:00/16:59 -,5104,70,0,-,EEE_LS; EHB_LS; EHBE_LS; ELK_LS; ELKE_LS; KOM_LS; KOME_LS; ROS_LS; ROSE_LS,Detail,-
2,22176,EHB 208E,Data Structures & Programming,Fiziksel (Yüz yüze),-,EEB,Friday,14:00/16:59 -,5204,70,0,-,EEE_LS; EHB_LS; EHBE_LS; ELK_LS; ELKE_LS; KOM_LS; KOME_LS; ROS_LS; ROSE_LS,Detail,-
3,22177,EHB 222E,Introduction to Electronics,Fiziksel (Yüz yüze),Hasan Bülent Yağcı,EEB,Monday,08:30/11:29 -,4102,80,0,-,CEN_LS; EHB_LS; EHBE_LS; ELE_LS; ELH_LS; ELK_LS; ELKE_LS; KOM_LS; KOME_LS; MKN_LS; ROS_LS; ROSE_LS; TEL_LS,-,-
4,22178,EHB 222E,Introduction to Electronics,Fiziksel (Yüz yüze),Muhammet Tahir Güneşer,EEB,Monday,08:30/11:29 -,4104,80,0,-,CEN_LS; EHB_LS; EHBE_LS; ELE_LS; ELH_LS; ELK_LS; ELKE_LS; KOM_LS; KOME_LS; MKN_LS; ROS_LS; ROSE_LS; TEL_LS,-,-
5,22179,EHB 308,Haberleşme-II,Fiziksel (Yüz yüze),-,EEB,Thursday,12:30/15:29 -,5201,65,0,-,EHB_LS,Detail,-
6,22180,EHB 308E,Communication II,Fiziksel (Yüz yüze),-,EEB,Thursday,12:30/15:29 -,5207,65,0,-,EEE_LS; EHB_LS; EHBE_LS,Detail,-
7,22181,EHB 308E,Communication II,Fiziksel (Yüz yüze),-,EEB,Thursday,12:30/15:29 -,5101,65,0,-,EEE_LS; EHB_LS; EHBE_LS,Detail,-
8,22182,EHB 311E,Intr.to Electronics Laboratory,Fiziksel (Yüz yüze),Ali Bahadır,EEB,Friday,10:30/12:29 -,--,45,0,-,BLG_LS; BLGE_LS; EEE_LS; EHB_LS; EHBE_LS; EHS_LS; KOM_LS; KOME_LS,Detail,-
9,22183,EHB 311E,Intr.to Electronics Laboratory,Fiziksel (Yüz yüze),Hasan Bülent Yağcı,EEB,Friday,10:30/12:29 -,--,45,0,-,BLG_LS; BLGE_LS; EEE_LS; EHB_LS; EHBE_LS; EHS_LS; KOM_LS; KOME_LS,Detail,-
10,22184,EHB 311E,Intr.to Electronics Laboratory,Fiziksel (Yüz yüze),Hasan Bülent Yağcı,EEB,Friday,14:00/15:59 -,--,45,0,-,BLG_LS; BLGE_LS; EEE_LS; EHB_LS; EHBE_LS; EHS_LS; KOM_LS; KOME_LS,Detail,-
11,22185,EHB 311E,Intr.to Electronics Laboratory,Fiziksel (Yüz yüze),Muhammet Tahir Güneşer,EEB,Friday,14:00/15:59 -,--,45,0,-,BLG_LS; BLGE_LS; EEE_LS; EHB_LS; EHBE_LS; EHS_LS; KOM_LS; KOME_LS,Detail,-
12,22186,EHB 322E,Digital Electronic Circuits,Fiziksel (Yüz yüze),-,EEB,Monday,12:30/15:29 -,5205,50,0,-,BLG_LS; BLGE_LS; EEE_LS; EHB_LS; EHBE_LS; EHS_LS; ELE_LS; ELH_LS,Detail,-
13,22187,EHB 322E,Digital Electronic Circuits,Fiziksel (Yüz yüze),-,EEB,Monday,12:30/15:29 -,5203,50,0,-,BLG_LS; BLGE_LS; EEE_LS; EHB_LS; EHBE_LS; EHS_LS; ELE_LS; ELH_LS,Detail,-
14,22188,EHB 322E,Digital Electronic Circuits,Fiziksel (Yüz yüze),-,EEB,Monday,12:30/15:29 -,5207,50,0,-,BLG_LS; BLGE_LS; EEE_LS; EHB_LS; EHBE_LS; EHS_LS; ELE_LS; ELH_LS,Detail,-
15,22189,EHB 332,Devre Sentezi,Fiziksel (Yüz yüze),Ece Olcay Güneş,EEB,Monday,08:30/11:29 -,5203,50,0,-,EHB_LS; ELE_LS; ELH_LS,Detail,-
