,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22405,GEM 102,Gemi Geometrisi,Fiziksel (Yüz yüze),Cihad Delen,MEDC,Monday,13:30/16:29 -,2D14,40,0,-,GEM_LS; GEM_YD,-,-
1,22407,GEM 102,Gemi Geometrisi,Fiziksel (Yüz yüze),Fuzuli Ağrı Akçay,MED,Tuesday,13:30/16:29 -,B33,40,0,-,GEM_LS; GEM_YD,-,-
2,22436,GEM 204,Termodinamik,Fiziksel (Yüz yüze),Oğuz Salim Söğüt,MEDCMEDC,WednesdayThursday,10:30/12:2910:30/12:29 -,2D15ZD2,40,0,-,GEM_LS,Detail,-
3,22440,GEM 204,Termodinamik,Fiziksel (Yüz yüze),Halil Saraçoğlu,MEDCMEDC,WednesdayThursday,10:30/12:2910:30/12:29 -,2D161D3,40,0,-,GEM_LS,Detail,-
4,24755,GEM 204E,Thermodynamics,Fiziksel (Yüz yüze),Halil Saraçoğlu,MEDC,Thursday,13:30/17:29 -,2D13,50,0,-,NAE_LS,Detail,-
5,22443,GEM 214E,Engineering Measurements,Fiziksel (Yüz yüze),Emin Korkut,MEDC,Friday,09:30/12:29 -,1D9,40,0,-,GEM_LS; GEME_LS,-,-
6,22445,GEM 216E,Heat Transfer In Engineering,Fiziksel (Yüz yüze),Selma Ergin,MEDC,Friday,09:30/12:29 -,2D11,40,0,-,GEM_LS; GEME_LS,-,-
7,24757,GEM 216E,Heat Transfer In Engineering,Fiziksel (Yüz yüze),Murat Durmaz,MEDC,Tuesday,14:30/17:29 -,1D6,50,0,-,NAE_LS,-,-
8,22456,GEM 312,Gemi Yardımcı Makinaları,Fiziksel (Yüz yüze),Osman Azmi Özsoysal,MEDC,Monday,10:30/13:29 -,1D7,40,0,-,GEM_LS,-,-
9,22458,GEM 312,Gemi Yardımcı Makinaları,Fiziksel (Yüz yüze),Murat Emre Demir ;Halil Saraçoğlu,MEDC,Monday,10:30/13:29 -,1D8,40,0,-,GEM_LS,-,-
10,22460,GEM 324,Gemi Mukavemeti,Fiziksel (Yüz yüze),Ertekin Bayraktarkatal,MEDCMEDC,MondayWednesday,08:30/10:2908:30/10:29 -,1D10ZA2,60,0,-,GEM_LS,Detail,-
11,24758,GEM 324E,Strength of Ships,Fiziksel (Yüz yüze),Ahmet Ergin,MEDCMEDC,MondayWednesday,13:30/15:2913:30/15:29 -,1D3--,50,0,-,NAE_LS,Detail,-
12,22461,GEM 326E,Ship Design,Fiziksel (Yüz yüze),Devrim Bülent Danışman,MEDCMEDC,TuesdayWednesday,11:30/13:2913:30/15:29 -,ZD11D10,80,0,-,GEM_LS; GEM_YD; GEME_LS,Detail,-
13,24759,GEM 326E,Ship Design,Fiziksel (Yüz yüze),Cihad Delen,MEDC,Monday,09:30/13:29 -,1D6,50,0,-,NAE_LS,Detail,-
14,22463,GEM 328E,Ship Hydrodynamics(Propulsion),Fiziksel (Yüz yüze),Emin Korkut,MEDC,Tuesday,08:30/11:29 -,1D10,80,0,-,GEM_LS; GEM_YD; GEME_LS,Detail,-
15,24763,GEM 328E,Ship Hydrodynamics(Propulsion),Fiziksel (Yüz yüze),Şakir Bal,MEDCMEDC,WednesdayFriday,08:30/10:2910:30/11:29 -,--2D13,50,0,-,NAE_LS,Detail,-
16,22465,GEM 332,Gemi Elektrik Sistemleri,Fiziksel (Yüz yüze),Gökhan Tansel Tayyar,MEDC,Thursday,14:30/16:29 -,ZA2,80,0,-,GEM_LS,-,-
17,24761,GEM 332E,Electrical Systems in Ships,Fiziksel (Yüz yüze),Ali Sinan Çabuk,EEB,Wednesday,11:30/13:29 -,5103,50,0,-,NAE_LS,-,-
18,22467,GEM 354,Gem.İnş.&Gem.San.İş Gv.&İşç.Sğ,Fiziksel (Yüz yüze),Barış Barlas,MEDC,Monday,14:30/16:29 -,1D10,80,0,-,GEM_LS,-,-
19,22468,GEM 410,Hesaplamalı Akışkanlar Mek.,Fiziksel (Yüz yüze),Uğur Oral Ünal,MEDC,Friday,14:00/16:59 -,1D10,60,0,-,GEM_LS,Detail,-
20,22595,GEM 412E,Shipyard Organization,Fiziksel (Yüz yüze),Erdem Üçer,MEDC,Monday,08:30/10:29 -,3D20,60,0,-,DEN_LS,-,-
21,22483,GEM 416,Savaş Gemileri Dizaynı,Fiziksel (Yüz yüze),Mehmet Ali Baykal,MEDC,Friday,10:30/12:29 -,ZD2,35,0,-,GEM_LS,-,-
22,22486,GEM 418E,Corrsn & Fouling In Marine Env,Fiziksel (Yüz yüze),Metin Taylan,MEDC,Wednesday,08:30/10:29 -,--,35,0,-,GEM_LS; GEME_LS,-,-
