,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21198,GEO 108E,Fundamentals of Programming,Sanal (Çevrimiçi/Online),Volkan Özbey,INBINB,WednesdayWednesday,08:30/09:2910:30/12:29 -,----,75,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,-,-
1,21200,GEO 108E,Fundamentals of Programming,Sanal (Çevrimiçi/Online),Muhammed Enes Atik,INBINB,WednesdayWednesday,09:30/10:2912:30/14:29 -,----,75,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,-,-
2,21202,GEO 114,Yersel Ölçme Don. Ve Yaz.,Fiziksel (Yüz yüze),Serdar Erol,INB,Thursday,08:30/11:29 -,A204,30,0,-,GEO_LS; HTA_LS,Detail,-
3,21204,GEO 114E,Terr. Surv. Equip. and Soft.,Fiziksel (Yüz yüze),Ramazan Alper Kuçak,INB,Thursday,08:30/11:29 -,B305,30,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,Detail,-
4,21206,GEO 114E,Terr. Surv. Equip. and Soft.,Fiziksel (Yüz yüze),Turan Erden,INB,Thursday,11:30/14:29 -,A204,50,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,Detail,-
5,21208,GEO 182E,Geomatics Project I,Fiziksel (Yüz yüze),Himmet Karaman,INBINB,FridayFriday,08:30/11:2914:30/17:29 -,----,20,0,-,GEO_LS; GEOE_LS,Detail,-
6,21210,GEO 203,Koord. Sist. Ve Jeodezi I,Fiziksel (Yüz yüze),Hayri Hakan Denli,INB,Thursday,13:30/17:29 -,A103,30,0,-,GEO_LS; HTA_LS,-,-
7,21212,GEO 203E,Coordinate Sys. and Geodesy I,Fiziksel (Yüz yüze),Serdar Erol ;Bihter Erol,INB,Wednesday,08:30/12:29 -,B304,30,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,-,-
8,21213,GEO 204,Hata Teo ve Dengeleme,Fiziksel (Yüz yüze),Orhan Akyılmaz,INB,Thursday,13:30/17:29 -,A102,50,0,-,GEO_LS; HTA_LS,Detail,-
9,21216,GEO 204E,Th.of Err. And Ad. C.,Fiziksel (Yüz yüze),Mustafa Tevfik Özlüdemir,INB,Monday,13:30/17:29 -,A205,60,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,Detail,-
10,21218,GEO 208,Uzaktan Algılama I,Fiziksel (Yüz yüze),Şinasi Kaya,INB,Monday,09:30/11:29 -,B201,25,0,-,GEO_LS; HTA_LS,-,-
11,21220,GEO 208,Uzaktan Algılama I,Fiziksel (Yüz yüze),Çiğdem Göksel,INB,Monday,09:30/11:29 -,B202,25,0,-,GEO_LS; HTA_LS,-,-
12,21222,GEO 208E,Remote Sensing I,Fiziksel (Yüz yüze),Ayşe Filiz Sunar,INB,Thursday,15:30/17:29 -,B206,30,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,-,-
13,21224,GEO 208E,Remote Sensing I,Fiziksel (Yüz yüze),Uğur Algancı,INB,Thursday,15:30/17:29 -,B204,30,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,-,-
14,21226,GEO 210,Yükseklik Ölçmeleri,Fiziksel (Yüz yüze),Ramazan Alper Kuçak ;Hasan Hakan Yavaşoğlu,INB,Tuesday,15:30/17:29 -,B203,50,0,-,GEO_LS; HTA_LS,Detail,-
15,21228,GEO 210E,Fundamentals of Levelling,Fiziksel (Yüz yüze),Mustafa Fahri Karabulut ;Doğuş Güler,INB,Thursday,13:30/15:29 -,B103,50,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,Detail,-
16,21229,GEO 212,Mühendislik Ölçmeleri,Fiziksel (Yüz yüze),Mustafa Yanalak ;Mehmet İşiler,INB,Monday,13:30/16:29 -,B101,60,0,-,GEO_LS; HTA_LS,Detail,-
17,21231,GEO 212E,Engineering Surveying,Fiziksel (Yüz yüze),Ergin Tarı,INB,Monday,09:30/12:29 -,A302,60,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,Detail,-
18,21232,GEO 216,Bilgisayar Dest. Harita Tas.,Fiziksel (Yüz yüze),Mehmet Ufuk Özerman,INB,Thursday,08:30/12:29 -,D101,25,0,-,GEO_LS; HTA_LS,-,-
19,21233,GEO 216,Bilgisayar Dest. Harita Tas.,Fiziksel (Yüz yüze),Adalet Dervişoğlu,INB,Thursday,08:30/12:29 -,--,25,0,-,GEO_LS; HTA_LS,-,-
20,21234,GEO 216E,Computer Aided Map Design,Fiziksel (Yüz yüze),Ahmet Özgür Doğru,INB,Thursday,08:30/12:29 -,D104,30,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,-,-
21,21235,GEO 216E,Computer Aided Map Design,Fiziksel (Yüz yüze),Serdar Bilgi,INB,Thursday,08:30/12:29 -,D103,30,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,-,-
22,21236,GEO 282E,Geomatics Project II,Fiziksel (Yüz yüze),Mehmet İşiler,INBINB,FridayFriday,08:30/11:2914:30/17:29 -,----,25,0,-,GEO_LS; GEOE_LS,Detail,-
23,21237,GEO 292,Geomatik Projesi 10,Fiziksel (Yüz yüze),Turan Erden,INBINB,FridayFriday,08:30/11:2914:30/17:29 -,----,10,0,-,GEO_LS; HTA_LS,Detail,-
24,21238,GEO 292,Geomatik Projesi 10,Fiziksel (Yüz yüze),Ramazan Alper Kuçak,INBINB,FridayFriday,08:30/11:2914:30/17:29 -,----,10,0,-,GEO_LS; HTA_LS,Detail,-
25,21239,GEO 292,Geomatik Projesi 10,Fiziksel (Yüz yüze),Şinasi Kaya,INBINB,FridayFriday,08:30/11:2914:30/17:29 -,----,10,0,-,GEO_LS; HTA_LS,Detail,-
26,21241,GEO 292,Geomatik Projesi 10,Fiziksel (Yüz yüze),Mustafa Yanalak,INBINB,FridayFriday,08:30/11:2914:30/17:29 -,----,10,0,-,GEO_LS; HTA_LS,Detail,-
27,21242,GEO 292,Geomatik Projesi 10,Fiziksel (Yüz yüze),Mehmet Ufuk Özerman,INBINB,FridayFriday,08:30/11:2914:30/17:29 -,----,10,0,-,GEO_LS; HTA_LS,Detail,-
28,24839,GEO 292,Geomatik Projesi 10,Fiziksel (Yüz yüze),Doğuş Güler,INBINB,FridayFriday,08:30/11:2914:30/17:29 -,----,10,0,-,GEO_LS; HTA_LS,Detail,-
29,21244,GEO 292E,Geomatics Project 10,Fiziksel (Yüz yüze),Ergin Tarı,INBINB,FridayFriday,08:30/11:2914:30/17:29 -,----,10,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,Detail,-
30,21247,GEO 292E,Geomatics Project 10,Fiziksel (Yüz yüze),Muhammed Oğuzhan Mete,INBINB,FridayFriday,08:30/11:2914:30/17:29 -,----,10,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,Detail,-
31,21249,GEO 292E,Geomatics Project 10,Fiziksel (Yüz yüze),Serdar Bilgi,INBINB,FridayFriday,08:30/11:2914:30/17:29 -,----,10,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,Detail,-
32,21251,GEO 292E,Geomatics Project 10,Fiziksel (Yüz yüze),Mahmut Oğuz Selbesoğlu,INBINB,FridayFriday,08:30/11:2914:30/17:29 -,----,10,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,Detail,-
33,21256,GEO 292E,Geomatics Project 10,Fiziksel (Yüz yüze),Ahmet Özgür Doğru,INBINB,FridayFriday,08:30/11:2914:30/17:29 -,----,10,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,Detail,-
34,21258,GEO 292E,Geomatics Project 10,Fiziksel (Yüz yüze),Uğur Algancı,INBINB,FridayFriday,08:30/11:2914:30/17:29 -,----,10,0,-,GEO_LS; GEOE_LS; HTA_LS; HTAE_LS,Detail,-
35,21260,GEO 302,Arazi Yönetimi,Fiziksel (Yüz yüze),Muhammed Oğuzhan Mete,INB,Monday,08:30/11:29 -,A205,30,0,-,GEO_LS,Detail,-
