,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22821,ICM 104,İç Mimarlıkta Tarih ve Kuram I,Fiziksel (Yüz yüze),Ahmet Erdem Tozoğlu,MMB,Tuesday,13:30/16:29 -,--,80,0,-,ICM_LS,-,-
1,22824,ICM 205,İç Mimarlıkta Tarih &Kuram III,Fiziksel (Yüz yüze),Ahmet Erdem Tozoğlu,MMB,Tuesday,08:30/11:29 -,--,80,0,-,ICM_LS,Detail,-
2,22826,ICM 206E,Surv andRepr.Tch.in Intr.Arch.,Fiziksel (Yüz yüze),Orkan Zeynel Güzelci,MMB,Friday,08:30/12:29 -,--,80,0,-,IAD_LS; ICM_LS,-,-
3,22827,ICM 209E,Inter.Arch.Design Fund.Studio,Fiziksel (Yüz yüze),Emine Görgül,MMBMMB,MondayThursday,13:30/17:2913:30/17:29 -,----,1,0,-,IAD_LS; ICM_LS,Detail,-
4,22829,ICM 209E,Inter.Arch.Design Fund.Studio,Fiziksel (Yüz yüze),Özge Cordan,MMBMMB,MondayThursday,13:30/17:2913:30/17:29 -,----,1,0,-,IAD_LS; ICM_LS,Detail,-
5,22833,ICM 209E,Inter.Arch.Design Fund.Studio,Fiziksel (Yüz yüze),Demet Arslan Dinçay,MMBMMB,MondayThursday,13:30/17:2913:30/17:29 -,----,1,0,-,IAD_LS; ICM_LS,Detail,-
6,22834,ICM 209E,Inter.Arch.Design Fund.Studio,Fiziksel (Yüz yüze),Shahryar Habıbı,MMBMMB,MondayThursday,13:30/17:2913:30/17:29 -,----,1,0,-,IAD_LS; ICM_LS,Detail,-
7,22837,ICM 246E,Interior Arch. Design Studio I,Fiziksel (Yüz yüze),Emine Görgül,MMBMMB,MondayThursday,13:30/17:2913:30/17:29 -,----,12,0,-,IAD_LS; ICM_LS,Detail,-
8,22841,ICM 246E,Interior Arch. Design Studio I,Fiziksel (Yüz yüze),Özge Cordan,MMBMMB,MondayThursday,13:30/17:2913:30/17:29 -,----,12,0,-,IAD_LS; ICM_LS,Detail,-
9,22842,ICM 246E,Interior Arch. Design Studio I,Fiziksel (Yüz yüze),Demet Arslan Dinçay,MMBMMB,MondayThursday,13:30/17:2913:30/17:29 -,----,12,0,-,IAD_LS; ICM_LS,Detail,-
10,22846,ICM 246E,Interior Arch. Design Studio I,Fiziksel (Yüz yüze),Shahryar Habıbı,MMBMMB,MondayThursday,13:30/17:2913:30/17:29 -,----,12,0,-,IAD_LS; ICM_LS,Detail,-
