,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,20511,ITA 101,Italian I,Fiziksel (Yüz yüze),-,DIB,Monday,08:30/12:29 -,--,20,0,-,ARC_LS; BIOE_LS; BLG_LS; BLGE_LS; CEN_LS; CEV_LS; CEVE_LS; CHZ_LS; DEN_LS; DUI_LS; ECNE_LS; EFN_LS; EHB_LS; EHBE_LS; EHS_LS; ELK_LS; ELKE_LS; END_LS; ENDE_LS; ENTE_LS; EUTE_LS; FIZ_LS; GEM_LS; GEO_LS; GEOE_LS; GID_LS; HTA_LS; HTAE_LS; IAD_LS; IBM_LS; ICM_LS; IML_LS; IND_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEO_LS; KIM_LS; KMM_LS; KOM_LS; KOME_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; MMD_LS; MTM_LS; MTO_LS; NAE_LS; PEME_LS; PETE_LS; ROS_LS; ROSE_LS; SAO_OL; SBP_LS; SBPE_LS; SECE_LS; TEKE_LS; TEL_LS; UCK_LS; UZBE_LS; VBAE_LS; YZVE_LS,-,-
1,20512,ITA 101,Italian I,Fiziksel (Yüz yüze),-,DIB,Tuesday,08:30/12:29 -,--,20,0,-,ARC_LS; BIOE_LS; BLG_LS; BLGE_LS; CEN_LS; CEV_LS; CEVE_LS; CHZ_LS; DEN_LS; DUI_LS; ECNE_LS; EFN_LS; EHB_LS; EHBE_LS; EHS_LS; ELK_LS; ELKE_LS; END_LS; ENDE_LS; ENTE_LS; EUTE_LS; FIZ_LS; GEM_LS; GEO_LS; GEOE_LS; GID_LS; HTA_LS; HTAE_LS; IAD_LS; IBM_LS; ICM_LS; IML_LS; IND_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEO_LS; KIM_LS; KMM_LS; KOM_LS; KOME_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; MMD_LS; MTM_LS; MTO_LS; NAE_LS; PEME_LS; PETE_LS; ROS_LS; ROSE_LS; SAO_OL; SBP_LS; SBPE_LS; SECE_LS; TEKE_LS; TEL_LS; UCK_LS; UZBE_LS; VBAE_LS; YZVE_LS,-,-
2,20513,ITA 101,Italian I,Fiziksel (Yüz yüze),-,DIB,Wednesday,08:30/12:29 -,--,20,0,-,ARC_LS; BIOE_LS; BLG_LS; BLGE_LS; CEN_LS; CEV_LS; CEVE_LS; CHZ_LS; DEN_LS; DUI_LS; ECNE_LS; EFN_LS; EHB_LS; EHBE_LS; EHS_LS; ELK_LS; ELKE_LS; END_LS; ENDE_LS; ENTE_LS; EUTE_LS; FIZ_LS; GEM_LS; GEO_LS; GEOE_LS; GID_LS; HTA_LS; HTAE_LS; IAD_LS; IBM_LS; ICM_LS; IML_LS; IND_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEO_LS; KIM_LS; KMM_LS; KOM_LS; KOME_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; MMD_LS; MTM_LS; MTO_LS; NAE_LS; PEME_LS; PETE_LS; ROS_LS; ROSE_LS; SAO_OL; SBP_LS; SBPE_LS; SECE_LS; TEKE_LS; TEL_LS; UCK_LS; UZBE_LS; VBAE_LS; YZVE_LS,-,-
3,20514,ITA 101,Italian I,Fiziksel (Yüz yüze),-,DIB,Thursday,08:30/12:29 -,--,20,0,-,ARC_LS; BIOE_LS; BLG_LS; BLGE_LS; CEN_LS; CEV_LS; CEVE_LS; CHZ_LS; DEN_LS; DUI_LS; ECNE_LS; EFN_LS; EHB_LS; EHBE_LS; EHS_LS; ELK_LS; ELKE_LS; END_LS; ENDE_LS; ENTE_LS; EUTE_LS; FIZ_LS; GEM_LS; GEO_LS; GEOE_LS; GID_LS; HTA_LS; HTAE_LS; IAD_LS; IBM_LS; ICM_LS; IML_LS; IND_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEO_LS; KIM_LS; KMM_LS; KOM_LS; KOME_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; MMD_LS; MTM_LS; MTO_LS; NAE_LS; PEME_LS; PETE_LS; ROS_LS; ROSE_LS; SAO_OL; SBP_LS; SBPE_LS; SECE_LS; TEKE_LS; TEL_LS; UCK_LS; UZBE_LS; VBAE_LS; YZVE_LS,-,-
4,20515,ITA 101,Italian I,Fiziksel (Yüz yüze),-,DIB,Friday,08:30/12:29 -,--,20,0,-,ARC_LS; BIOE_LS; BLG_LS; BLGE_LS; CEN_LS; CEV_LS; CEVE_LS; CHZ_LS; DEN_LS; DUI_LS; ECNE_LS; EFN_LS; EHB_LS; EHBE_LS; EHS_LS; ELK_LS; ELKE_LS; END_LS; ENDE_LS; ENTE_LS; EUTE_LS; FIZ_LS; GEM_LS; GEO_LS; GEOE_LS; GID_LS; HTA_LS; HTAE_LS; IAD_LS; IBM_LS; ICM_LS; IML_LS; IND_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEO_LS; KIM_LS; KMM_LS; KOM_LS; KOME_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; MMD_LS; MTM_LS; MTO_LS; NAE_LS; PEME_LS; PETE_LS; ROS_LS; ROSE_LS; SAO_OL; SBP_LS; SBPE_LS; SECE_LS; TEKE_LS; TEL_LS; UCK_LS; UZBE_LS; VBAE_LS; YZVE_LS,-,-
5,20516,ITA 101,Italian I,Fiziksel (Yüz yüze),-,DIB,Friday,08:30/12:29 -,--,20,0,-,ARC_LS; BIOE_LS; BLG_LS; BLGE_LS; CEN_LS; CEV_LS; CEVE_LS; CHZ_LS; DEN_LS; DUI_LS; ECNE_LS; EFN_LS; EHB_LS; EHBE_LS; EHS_LS; ELK_LS; ELKE_LS; END_LS; ENDE_LS; ENTE_LS; EUTE_LS; FIZ_LS; GEM_LS; GEO_LS; GEOE_LS; GID_LS; HTA_LS; HTAE_LS; IAD_LS; IBM_LS; ICM_LS; IML_LS; IND_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEO_LS; KIM_LS; KMM_LS; KOM_LS; KOME_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; MMD_LS; MTM_LS; MTO_LS; NAE_LS; PEME_LS; PETE_LS; ROS_LS; ROSE_LS; SAO_OL; SBP_LS; SBPE_LS; SECE_LS; TEKE_LS; TEL_LS; UCK_LS; UZBE_LS; VBAE_LS; YZVE_LS,-,-
6,20517,ITA 101,Italian I,Fiziksel (Yüz yüze),-,DIB,Thursday,13:00/16:59 -,--,20,0,-,ARC_LS; BIOE_LS; BLG_LS; BLGE_LS; CEN_LS; CEV_LS; CEVE_LS; CHZ_LS; DEN_LS; DUI_LS; ECNE_LS; EFN_LS; EHB_LS; EHBE_LS; EHS_LS; ELK_LS; ELKE_LS; END_LS; ENDE_LS; ENTE_LS; EUTE_LS; FIZ_LS; GEM_LS; GEO_LS; GEOE_LS; GID_LS; HTA_LS; HTAE_LS; IAD_LS; IBM_LS; ICM_LS; IML_LS; IND_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEO_LS; KIM_LS; KMM_LS; KOM_LS; KOME_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; MMD_LS; MTM_LS; MTO_LS; NAE_LS; PEME_LS; PETE_LS; ROS_LS; ROSE_LS; SAO_OL; SBP_LS; SBPE_LS; SECE_LS; TEKE_LS; TEL_LS; UCK_LS; UZBE_LS; VBAE_LS; YZVE_LS,-,-
7,20518,ITA 101,Italian I,Fiziksel (Yüz yüze),-,DIB,Monday,13:00/16:59 -,--,20,0,-,ARC_LS; BIOE_LS; BLG_LS; BLGE_LS; CEN_LS; CEV_LS; CEVE_LS; CHZ_LS; DEN_LS; DUI_LS; ECNE_LS; EFN_LS; EHB_LS; EHBE_LS; EHS_LS; ELK_LS; ELKE_LS; END_LS; ENDE_LS; ENTE_LS; EUTE_LS; FIZ_LS; GEM_LS; GEO_LS; GEOE_LS; GID_LS; HTA_LS; HTAE_LS; IAD_LS; IBM_LS; ICM_LS; IML_LS; IND_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEO_LS; KIM_LS; KMM_LS; KOM_LS; KOME_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; MMD_LS; MTM_LS; MTO_LS; NAE_LS; PEME_LS; PETE_LS; ROS_LS; ROSE_LS; SAO_OL; SBP_LS; SBPE_LS; SECE_LS; TEKE_LS; TEL_LS; UCK_LS; UZBE_LS; VBAE_LS; YZVE_LS,-,-
8,20519,ITA 102,Italian II,Sanal (Çevrimiçi/Online),-,MED,Wednesday,08:30/12:29 -,--,20,0,-,ARC_LS; BIOE_LS; BLG_LS; BLGE_LS; CEN_LS; CEV_LS; CEVE_LS; CHZ_LS; DEN_LS; DUI_LS; ECNE_LS; EFN_LS; EHB_LS; EHBE_LS; EHS_LS; ELK_LS; ELKE_LS; END_LS; ENDE_LS; ENTE_LS; EUTE_LS; FIZ_LS; GEM_LS; GEO_LS; GEOE_LS; GID_LS; HTA_LS; HTAE_LS; IAD_LS; IBM_LS; ICM_LS; IML_LS; IND_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEO_LS; KIM_LS; KMM_LS; KOM_LS; KOME_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; MMD_LS; MTM_LS; MTO_LS; NAE_LS; PEME_LS; PETE_LS; ROS_LS; ROSE_LS; SAO_OL; SBP_LS; SBPE_LS; SECE_LS; TEKE_LS; TEL_LS; UCK_LS; UZBE_LS; VBAE_LS; YZVE_LS,-,-
9,20520,ITA 102,Italian II,Sanal (Çevrimiçi/Online),-,MED,Monday,13:00/16:59 -,--,20,0,-,ARC_LS; BIOE_LS; BLG_LS; BLGE_LS; CEN_LS; CEV_LS; CEVE_LS; CHZ_LS; DEN_LS; DUI_LS; ECNE_LS; EFN_LS; EHB_LS; EHBE_LS; EHS_LS; ELK_LS; ELKE_LS; END_LS; ENDE_LS; ENTE_LS; EUTE_LS; FIZ_LS; GEM_LS; GEO_LS; GEOE_LS; GID_LS; HTA_LS; HTAE_LS; IAD_LS; IBM_LS; ICM_LS; IML_LS; IND_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEO_LS; KIM_LS; KMM_LS; KOM_LS; KOME_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; MMD_LS; MTM_LS; MTO_LS; NAE_LS; PEME_LS; PETE_LS; ROS_LS; ROSE_LS; SAO_OL; SBP_LS; SBPE_LS; SECE_LS; TEKE_LS; TEL_LS; UCK_LS; UZBE_LS; VBAE_LS; YZVE_LS,-,-
10,20521,ITA 102,Italian II,Sanal (Çevrimiçi/Online),-,MED,Tuesday,08:30/12:29 -,--,20,0,-,ARC_LS; BIOE_LS; BLG_LS; BLGE_LS; CEN_LS; CEV_LS; CEVE_LS; CHZ_LS; DEN_LS; DUI_LS; ECNE_LS; EFN_LS; EHB_LS; EHBE_LS; EHS_LS; ELK_LS; ELKE_LS; END_LS; ENDE_LS; ENTE_LS; EUTE_LS; FIZ_LS; GEM_LS; GEO_LS; GEOE_LS; GID_LS; HTA_LS; HTAE_LS; IAD_LS; IBM_LS; ICM_LS; IML_LS; IND_LS; INS_LS; INSE_LS; ISL_LS; ISLE_LS; JEF_LS; JEO_LS; KIM_LS; KMM_LS; KOM_LS; KOME_LS; MAD_LS; MAK_LS; MAT_LS; MET_LS; METE_LS; MIM_LS; MIME_LS; MMD_LS; MTM_LS; MTO_LS; NAE_LS; PEME_LS; PETE_LS; ROS_LS; ROSE_LS; SAO_OL; SBP_LS; SBPE_LS; SECE_LS; TEKE_LS; TEL_LS; UCK_LS; UZBE_LS; VBAE_LS; YZVE_LS,-,-
