,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22575,BLG 102E,Intr to Sci&Eng Comp (C),Physical (Face to face),Ali Çakmak,"BBB
INB","Monday
Thursday","13:30/16:29
15:30/17:29","Z-16
D100",95,109,-,"BLG_LS, BLGE_LS, SECE_LS",-,-
1,22576,BLG 102E,Intr to Sci&Eng Comp (C),Physical (Face to face),Yaşar Erenler,"BBB
INB","Monday
Thursday","13:30/16:29
15:30/17:29","Z-19
D101",75,80,-,"BLG_LS, BLGE_LS, SECE_LS",-,-
2,22590,BLG 202E,Numerical Methods in CE,Physical (Face to face),Yusuf Yaslan,BBB,Tuesday,09:30/12:29,Z-18,95,102,-,"BLG_LS, BLGE_LS, CEN_LS, YZVE_LS",Detail,-
3,22592,BLG 202E,Numerical Methods in CE,Physical (Face to face),Enver Özdemir,BBB,Tuesday,09:30/12:29,Z-19,95,92,-,"BLG_LS, BLGE_LS, CEN_LS, YZVE_LS",Detail,-
4,22594,BLG 202E,Numerical Methods in CE,Physical (Face to face),Abdulkerim Çapar,BBB,Tuesday,09:30/12:29,Z-17,95,82,-,"BLG_LS, BLGE_LS, CEN_LS, YZVE_LS",Detail,-
5,25481,BLG 212,Mikroişlemci Sistemleri,Ek Sınav,Gökhan İnce,-,-,-/-,-,0,1,-,-,Detail,-
6,22596,BLG 222E,Computer Organization,Physical (Face to face),Gökhan İnce,BBB,Thursday,08:30/11:29,Z-18,95,92,-,"BLG_LS, BLGE_LS",Detail,-
7,22598,BLG 222E,Computer Organization,Physical (Face to face),-,BBB,Thursday,08:30/11:29,101,0,0,-,"BLG_LS, BLGE_LS",Detail,-
8,22599,BLG 222E,Computer Organization,Physical (Face to face),Mustafa Ersel Kamaşak,BBB,Thursday,08:30/11:29,104,80,80,-,"BLG_LS, BLGE_LS",Detail,-
9,25483,BLG 233E,Data Structures and Laboratory,Ek Sınav,Mehmet Baysan,-,-,-/-,-,0,1,-,-,Detail,-
10,22600,BLG 242E,Logic Circuits Laboratory,Physical (Face to face),Mustafa Ersel Kamaşak,BBB,Thursday,15:30/17:29,--,72,78,-,"BLG_LS, BLGE_LS, CEN_LS",Detail,-
11,22601,BLG 242E,Logic Circuits Laboratory,Physical (Face to face),Nizamettin Aydın,BBB,Friday,14:00/15:59,--,72,71,-,"BLG_LS, BLGE_LS, CEN_LS",Detail,-
12,22602,BLG 242E,Logic Circuits Laboratory,Physical (Face to face),Nizamettin Aydın,BBB,Friday,16:00/17:59,--,72,65,-,"BLG_LS, BLGE_LS, CEN_LS",Detail,-
13,22603,BLG 252E,Object Oriented Programming,Physical (Face to face),Cihan Topal,BBB,Monday,09:30/12:29,Z-17,80,73,EHB/15/0 | EHBE/15/0 | Diğer/50/73,"BLG_LS, BLGE_LS, EHB_LS, EHBE_LS, YZVE_LS",Detail,-
14,22604,BLG 252E,Object Oriented Programming,Physical (Face to face),Feza Buzluca,BBB,Monday,09:30/12:29,Z-16,80,83,-,"BLG_LS, BLGE_LS, YZVE_LS",Detail,-
15,22605,BLG 252E,Object Oriented Programming,Physical (Face to face),Sanem Kabadayı,BBB,Monday,09:30/12:29,Z-19,85,85,-,"BLG_LS, BLGE_LS, YZVE_LS",Detail,-
16,25228,BLG 252E,Object Oriented Programming,Physical (Face to face),Yaşar Erenler,BBB,Tuesday,09:30/12:29,104,120,73,CEN/70/52 | EHB/15/11 | EHBE/15/1 | KOM/10/5 | KOME/10/1 | Diğer/0/3,"CEN_LS, EHB_LS, EHBE_LS, KOM_LS, KOME_LS",Detail,-
17,22606,BLG 311E,Formal Languages and Automata,Physical (Face to face),Tolga Ovatman,BBB,Friday,09:30/12:29,Z-16,120,132,-,"BLG_LS, BLGE_LS, CEN_LS, YZVE_LS",Detail,-
18,22607,BLG 311E,Formal Languages and Automata,Physical (Face to face),Gökhan Seçinti,BBB,Friday,09:30/12:29,Z-18,105,108,-,"BLG_LS, BLGE_LS, CEN_LS, YZVE_LS",Detail,-
19,22608,BLG 311E,Formal Languages and Automata,Physical (Face to face),Mehmet Tahir Sandıkkaya,BBB,Friday,09:30/12:29,Z-19,105,98,-,"BLG_LS, BLGE_LS, CEN_LS, YZVE_LS",Detail,-
20,22609,BLG 312E,Computer Operating Systems,Physical (Face to face),Nizamettin Aydın,BBB,Wednesday,08:30/11:29,Z-16,120,132,-,"BLG_LS, BLGE_LS, CEN_LS, YZVE_LS",Detail,-
21,22610,BLG 312E,Computer Operating Systems,Physical (Face to face),Kemal Bıçakcı,BBB,Wednesday,08:30/11:29,Z-17,140,162,-,"BLG_LS, BLGE_LS, CEN_LS, YZVE_LS",Detail,-
22,25482,BLG 317,Veri Tabanı Sistemleri,Ek Sınav,Ali Çakmak,-,-,-/-,-,0,0,-,-,Detail,-
23,22611,BLG 322E,Computer Architecture,Physical (Face to face),Ayşe Yılmazer Metin,BBB,Thursday,08:30/11:29,Z-16,120,143,-,"BLG_LS, BLGE_LS",Detail,-
24,22612,BLG 322E,Computer Architecture,Physical (Face to face),Sanem Kabadayı,BBB,Thursday,08:30/11:29,Z-20,90,85,-,"BLG_LS, BLGE_LS, CEN_LS",Detail,-
25,25484,BLG 335E,Analysis of Algorithms I,Ek Sınav,Tuğçe Bilen,-,-,-/-,-,0,2,-,-,Detail,-
