,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23452,BUS 102,Business Law,Physical (Face to face),Çiçek Ersoy Kekevi,ISB,Tuesday,14:30/17:29,202,35,21,-,SIS_LS,-,-
1,23453,BUS 112,Principles of Macroeconomics,Physical (Face to face),Ayşe Aylin Bayar,MSB,Thursday,14:30/17:29,210,35,21,-,SIS_LS,-,-
2,23455,BUS 202,Money & Banking,Physical (Face to face),Oktay Taş,ISB,Thursday,14:30/17:29,208,20,16,-,SIS_LS,-,-
3,23456,BUS 207,Fundament.of Corporate Finance,Physical (Face to face),Cumhur Enis Ekinci,ISB,Monday,08:30/11:29,208,35,26,-,SIS_LS,Detail,-
4,23457,BUS 209,Business Decision Support Sys.,Physical (Face to face),Tuncay Özcan,MSB,Monday,14:30/17:29,113,35,27,-,SIS_LS,-,-
5,23462,BUS 307,Turkish Business Context,Physical (Face to face),Kaya Tokmakçıoğlu,MSB,Tuesday,09:30/12:29,B13-B,10,3,-,SIS_LS,Detail,-
6,23458,BUS 311,Marketing Research,Physical (Face to face),Elif Karaosmanoğlu,ISB,Wednesday,09:30/12:29,107,35,28,-,SIS_LS,Detail,-
7,23459,BUS 315,Employment Law,Physical (Face to face),Ulaş Baysal,MSB,Friday,14:30/17:29,210,15,13,-,SIS_LS,-,-
8,23848,BUS 321,Business Process Management,Physical (Face to face),Hatice Camgöz Akdağ,ISB,Tuesday,14:30/17:29,210,20,20,-,SIS_LS,-,-
9,23463,BUS 322,International Business,Physical (Face to face),İdil Vedia Evcimen,ISB,Monday,14:30/17:29,210,10,10,-,SIS_LS,Detail,-
