,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22566,DEN 102,Bilgisayar Destek.Teknik Resim,Physical (Face to face),Sevil Deniz Yakan Dündar,KMB,Friday,08:30/10:29,D301,27,27,-,DEN_LS,-,-
1,22567,DEN 102,Bilgisayar Destek.Teknik Resim,Physical (Face to face),Sevil Deniz Yakan Dündar,KMB,Friday,10:30/12:29,D301,27,27,-,DEN_LS,-,-
2,22568,DEN 102,Bilgisayar Destek.Teknik Resim,Physical (Face to face),Münir Cansın Özden,MEDC,Friday,08:30/10:29,3BİL1,27,26,-,DEN_LS,-,-
3,22582,DEN 208E,Const.of Ship&Offshore Strc.,Physical (Face to face),Serdar Aytekin Köroğlu,MEDC,Thursday,09:30/11:29,ZA4,100,98,-,"DEN_LS, DENE_LS",-,-
4,22583,DEN 306E,Marine Vehicle Design,Physical (Face to face),Burcu Erbaş,MEDC,Wednesday,10:30/12:29,ZD1,80,66,-,"DEN_LS, DENE_LS",-,-
5,22584,DEN 308E,Stability of Marine Vehicles,Physical (Face to face),Hakan Akyıldız,MEDC,Tuesday,12:30/14:29,3D20,80,59,-,"DEN_LS, DENE_LS",-,-
6,22585,DEN 310E,Resistance and Propulsion,Physical (Face to face),Ömer Kemal Kınacı,MEDC,Monday,10:30/13:29,2D18,60,55,-,DEN_LS,Detail,-
7,22587,DEN 328E,Oceanography,Physical (Face to face),"Sevil Deniz Yakan Dündar ,
Deniz Bayraktar Bural",MEDC,Thursday,08:30/11:29,1D10,70,55,-,"DEN_LS, DENE_LS",Detail,-
8,22589,DEN 330E,Marine Engines&Aux.,Physical (Face to face),Ahmet Ergün Palaz,MEDC,Wednesday,13:30/15:29,3D20,80,72,-,"DEN_LS, DENE_LS",Detail,-
9,22591,DEN 332,Deniz ve İş Hukuku,Physical (Face to face),Hasan Murat Demirkıran,MEDC,Monday,13:30/15:29,3D20,80,65,-,DEN_LS,-,-
10,22593,DEN 334,Deniz Suyu Kimyası,Physical (Face to face),Burak Karacık,MEDC,Thursday,12:30/14:29,ZA3,60,11,-,DEN_LS,-,-
11,22640,DEN 339,Deniz Kirliliği,Physical (Face to face),Oktay Eren Türeyen,MEDC,Friday,10:30/12:29,1D4,40,33,-,DEN_LS,-,-
12,22639,DEN 341E,Ship Theory,Physical (Face to face),Hakan Akyıldız,MEDC,Tuesday,14:30/17:29,2D18,40,18,-,"DEN_LS, DENE_LS",Detail,-
13,22618,DEN 406E,Offshore Structural Analysis,Physical (Face to face),Serdar Aytekin Köroğlu,MEDC,Thursday,14:30/17:29,ZA4,65,17,-,"DEN_LS, DENE_LS",Detail,Detail
14,22623,DEN 414,Deniz Dibi Boru Döşeme Tekniği,Physical (Face to face),Deniz Bayraktar Bural,MEDC,Thursday,12:30/14:29,1D7,25,15,-,DEN_LS,-,-
15,22619,DEN 418E,Marine Energy Technology,Physical (Face to face),Şafak Nur Ertürk Bozkurtoğlu,MEDC,Monday,15:30/17:29,2D15,20,15,-,"DEN_LS, DENE_LS",-,-
