,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21198,GEO 108E,Fundamentals of Programming,Virtual (Online),Volkan Özbey,"INB
INB","Wednesday
Wednesday","08:30/09:29
10:30/12:29","--
--",85,85,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",-,-
1,21200,GEO 108E,Fundamentals of Programming,Virtual (Online),Muhammed Enes Atik,"INB
INB","Wednesday
Wednesday","09:30/10:29
12:30/14:29","--
--",75,33,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",-,-
2,21202,GEO 114,Yersel Ölçme Don. Ve Yaz.,Physical (Face to face),Serdar Erol,INB,Thursday,08:30/11:29,A204,30,14,-,"GEO_LS, HTA_LS",Detail,-
3,21204,GEO 114E,Terr. Surv. Equip. and Soft.,Physical (Face to face),Ramazan Alper Kuçak,INB,Thursday,08:30/11:29,B305,35,35,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",Detail,-
4,21206,GEO 114E,Terr. Surv. Equip. and Soft.,Physical (Face to face),Turan Erden,INB,Thursday,11:30/14:29,A204,50,50,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",Detail,-
5,21208,GEO 182E,Geomatics Project I,Physical (Face to face),Himmet Karaman,"INB
INB","Friday
Friday","08:30/11:29
14:30/17:29","--
--",20,2,-,"GEO_LS, GEOE_LS",Detail,-
6,21210,GEO 203,Koord. Sist. Ve Jeodezi I,Physical (Face to face),Hayri Hakan Denli,INB,Thursday,13:30/17:29,A103,30,12,-,"GEO_LS, HTA_LS",-,-
7,21212,GEO 203E,Coordinate Sys. and Geodesy I,Physical (Face to face),"Serdar Erol ,
Bihter Erol",INB,Wednesday,08:30/12:29,B304,30,27,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",-,-
8,21213,GEO 204,Hata Teo ve Dengeleme,Physical (Face to face),Orhan Akyılmaz,INB,Thursday,13:30/17:29,A102,70,71,-,"GEO_LS, HTA_LS",Detail,-
9,21216,GEO 204E,Th.of Err. And Ad. C.,Physical (Face to face),Mustafa Tevfik Özlüdemir,INB,Monday,13:30/17:29,A205,75,67,-,"GEO_LS, GEOE_LS, HTA_LS, HTAE_LS",Detail,-
10,21218,GEO 208,Uzaktan Algılama I,Physical (Face to face),Şinasi Kaya,INB,Monday,09:30/11:29,B201,38,36,-,"GEO_LS, HTA_LS",-,-
