,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,22890,ISL 114E,Engineering Ethics,Physical (Face to face),Zeynep Erden Bayazıt,MSB,Tuesday,14:30/16:29,B13-B,20,0,-,"ISL_LS, ISLE_LS",-,-
1,25387,ISL 213E,Statistics I,Sınırsız Sınav,Raziye Selim,-,-,-/-,-,0,1,-,-,-,-
2,22894,ISL 214E,Statistics II,Physical (Face to face),Raziye Selim,MSB,Tuesday,14:30/17:29,216,105,107,-,"ISL_LS, ISLE_LS",Detail,-
3,22896,ISL 214E,Statistics II,Physical (Face to face),Raziye Selim,MSB,Wednesday,09:30/12:29,216,105,104,-,"ISL_LS, ISLE_LS",Detail,-
4,25388,ISL 223E,Fundm.of Production Management,Sınırsız Sınav,Saeed Tasoujı Hassanpour,-,-,-/-,-,0,1,-,-,-,-
5,22897,ISL 224E,Cost Accounting,Virtual (Online),Oktay Taş,ISB,Monday,09:30/12:29,--,130,127,EFN/38/37 | END/8/9 | ENDE/10/15 | Diğer/74/66,"EFN_LS, END_LS, ENDE_LS, ISL_LS, ISLE_LS",-,-
6,22900,ISL 233E,Microeconomics,Physical (Face to face),İbrahim Öner Günçavdı,ISB,Wednesday,09:30/12:29,204,90,19,ISL/40/0 | ISLE/40/16 | MMD/10/3 | Diğer/0/0,"ISL_LS, ISLE_LS, MMD_LS",-,-
7,22903,ISL 234E,Management and Organization,Physical (Face to face),Zeynep Erden Bayazıt,MSB,Monday,14:30/17:29,B13-A,90,77,ECNE/10/6 | GID/7/6 | GIDE/3/0 | Diğer/70/65,"ECNE_LS, GID_LS, GIDE_LS, ISL_LS, ISLE_LS",-,Detail
8,22906,ISL 234E,Management and Organization,Physical (Face to face),Zeynep Erden Bayazıt,MSB,Tuesday,09:30/12:29,203,90,82,ECNE/10/11 | GID/5/3 | GIDE/5/0 | Diğer/70/68,"ECNE_LS, GID_LS, GIDE_LS, ISL_LS, ISLE_LS",-,Detail
9,22908,ISL 244E,Macroeconomics,Physical (Face to face),"İpek İlkkaracan Ajas ,
Derya Gültekin",MSB,Tuesday,14:30/17:29,101,90,84,-,"ISL_LS, ISLE_LS",Detail,-
10,22911,ISL 244E,Macroeconomics,Physical (Face to face),"İpek İlkkaracan Ajas ,
Derya Gültekin",ISB,Wednesday,09:30/12:29,103,90,47,-,"ISL_LS, ISLE_LS",Detail,-
11,22913,ISL 333E,Finance,Physical (Face to face),Kaya Tokmakçıoğlu,MSB,Monday,14:30/17:29,104,110,100,EFN/7/0 | Diğer/103/100,"EFN_LS, ISL_LS, ISLE_LS",Detail,-
12,22915,ISL 333E,Finance,Physical (Face to face),Cumhur Enis Ekinci,MSB,Tuesday,09:30/12:29,104,110,112,EFN/7/0 | Diğer/103/112,"EFN_LS, ISL_LS, ISLE_LS",Detail,-
