,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23188,MET 214,Çözelti Termodinamiğinin Tem.,Physical (Face to face),Nuri Solak,KMB,Tuesday,10:30/13:29,D301,90,73,-,MET_LS,Detail,-
1,23191,MET 214E,Fund. of Sol. Thermodynamics,Physical (Face to face),Nuri Solak,KMB,Thursday,13:30/16:29,D201,105,104,-,"MET_LS, METE_LS",Detail,-
2,25097,MET 220E,Engineering Mathematics,Physical (Face to face),Kübra Onbaşlı,"KMB
KMB","Wednesday
Thursday","09:30/11:29
08:30/10:29","D105
D201",120,99,-,"MET_LS, METE_LS",Detail,-
3,23193,MET 224,Faz Denge Diyagramları,Physical (Face to face),Nuri Solak,KMB,Thursday,10:30/13:29,D104,100,98,-,MET_LS,-,-
4,23196,MET 224E,Phase Equilibrium Diagrams,Physical (Face to face),Nuri Solak,KMB,Tuesday,13:30/16:29,D301,100,96,-,"MET_LS, METE_LS",-,-
5,23197,MET 228,Malzeme Kimyası,Physical (Face to face),Servet İbrahim Timur,KMB,Monday,13:30/15:29,D104,100,97,-,MET_LS,-,-
6,23199,MET 228E,Materials Chemistry,Physical (Face to face),Aytekin Uzunoğlu,KMB,Friday,14:00/15:59,D201,90,85,-,METE_LS,-,-
7,23201,MET 246,Malzeme Fiziği,Physical (Face to face),Muhammet Kürşat Kazmanlı,KMB,Wednesday,13:30/15:29,D201,100,95,-,MET_LS,-,-
8,23214,MET 246E,Materials Physics,Physical (Face to face),Hüseyin Kızıl,KMB,Wednesday,13:30/15:29,D301,90,80,-,METE_LS,-,-
9,23216,MET 248E,Mass & Energy Balance,Physical (Face to face),Cevat Bora Derin,KMB,Monday,11:30/13:29,D201,90,90,-,"MET_LS, METE_LS",Detail,-
10,23218,MET 248E,Mass & Energy Balance,Physical (Face to face),Mehmet Şeref Sönmez,KMB,Monday,11:30/13:29,D102,90,86,-,"MET_LS, METE_LS",Detail,-
11,23221,MET 252,Mlz.Sta. ve Dinamik Mukavemeti,Physical (Face to face),Murat Baydoğan,KMB,Tuesday,13:30/16:29,D104,100,92,-,MET_LS,-,-
12,23223,MET 252E,Sta and Dyn. Strng ofMaterials,Physical (Face to face),Murat Baydoğan,KMB,Friday,08:30/11:29,D201,100,79,-,METE_LS,-,-
13,25324,MET 313E,Chemical Metallugry I,Ek Sınav,Onuralp Yücel,-,-,-/-,-,0,1,-,-,Detail,-
14,25313,MET 315E,Fund. of Physical Metallurgy,Ek Sınav,Duygu Ağaoğulları,-,-,-/-,-,0,1,-,-,Detail,-
15,25314,MET 317E,Fund. of Transport Phenomena,Ek Sınav,Güldem Kartal Şireli,-,-,-/-,-,0,1,-,-,-,-
16,23226,MET 326,Kimyasal Metalurji II,Physical (Face to face),"Servet İbrahim Timur ,
Güldem Kartal Şireli",KMB,Monday,08:30/11:29,D204,100,67,-,MET_LS,Detail,-
17,23229,MET 326E,Chemical Metallurgy II,Physical (Face to face),"Cevat Bora Derin ,
Onuralp Yücel ,
Mehmet Şeref Sönmez",KMB,Monday,08:30/11:29,D102,90,79,-,METE_LS,Detail,-
