,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24700,MMD 204E,Maritime Law,Physical (Face to face),Cavit Memişoğlu,MED,Friday,09:30/12:29,A34,50,20,-,MMD_LS,-,-
1,24709,MMD 206E,Cargo Operations,Physical (Face to face),Furkan Gümüş,DZB,Monday,12:30/14:29,--,50,20,-,MMD_LS,-,-
2,24711,MMD 208E,İnternational Trade Policies,Physical (Face to face),Ayşe Aylin Bayar,MSB,Tuesday,14:30/17:29,203,50,24,-,MMD_LS,-,-
3,24697,MMD 244E,Macroeconomics,Physical (Face to face),Ayşe Aylin Bayar,ISB,Wednesday,09:30/12:29,210,50,30,-,MMD_LS,Detail,-
4,24715,MMD 302E,Brokering and Chartering,Physical (Face to face),Gökalp Tahmaz,MED,Thursday,15:30/17:29,A35,50,17,-,MMD_LS,-,-
5,24718,MMD 304E,Maritime Insurance Law,Physical (Face to face),Metin Uğur AYTEKİN,MED,Tuesday,11:30/14:29,A35,50,9,-,MMD_LS,-,-
6,24719,MMD 306E,Strategic Management,Physical (Face to face),Pelin Bolat,DZB,Monday,14:30/16:29,--,50,6,-,MMD_LS,-,Detail
7,24722,MMD 310E,Logistics Information System,Physical (Face to face),Fırat Bolat,"DZB
DZB","Wednesday
Wednesday","08:30/10:29
13:30/14:29","--
--",50,6,-,MMD_LS,-,-
8,24720,MMD 318E,Navigation and Meteorology,Physical (Face to face),Furkan Gümüş,DZB,Monday,16:30/17:29,--,50,21,-,MMD_LS,-,-
9,24724,MMD 320E,E-Commerce,Physical (Face to face),Muhittin Orhan,DZB,Monday,08:30/11:29,--,50,3,-,MMD_LS,-,-
10,24725,MMD 321E,Quality Management in Maritime,Physical (Face to face),Ahmet Yaşar Canca,MED,Thursday,08:30/11:29,A35,50,4,-,MMD_LS,-,-
11,24726,MMD 322E,Innovation & Entrepreneurship,Physical (Face to face),"Özcan Arslan ,
Gizem Çevik",DZB,Friday,09:30/12:29,--,50,4,-,MMD_LS,-,-
12,24727,MMD 323E,Ship Insurance Law,Physical (Face to face),Metin Uğur AYTEKİN,MED,Tuesday,08:30/11:29,A31,50,5,-,MMD_LS,-,-
13,24728,MMD 324E,Advanced Statistics,Physical (Face to face),-,DZB,Monday,11:30/14:29,--,0,0,-,MMD_LS,-,-
14,24729,MMD 326E,Inter. Relationship&Politics,Physical (Face to face),-,DZB,Wednesday,10:30/13:29,--,0,0,-,MMD_LS,-,-
15,24704,MMD 424E,Shipping Law,Physical (Face to face),Cavit Memişoğlu,MED,Friday,14:00/16:59,A13,50,23,-,MMD_LS,-,-
