,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23485,SBP 126,CBS ve Planlama,Physical (Face to face),Hasan Serdar Kaya,MMB,Tuesday,09:30/12:29,229,90,70,-,"SBP_LS, SBP_YD",-,-
1,23486,SBP 126E,GIS and Planning,Physical (Face to face),Fatih Terzi,MMB,Wednesday,09:30/12:29,230,90,72,-,"SBP_YD, SBPE_LS",-,-
2,23487,SBP 205E,Statistics,Physical (Face to face),Muhammed Ziya Paköz,MMB,Monday,13:30/16:29,229,150,138,-,"ENTE_LS, EUT_LS, EUTE_LS, PEM_LS, PEME_LS, SBP_LS, SBPE_LS",-,-
3,23489,SBP 207E,Project III: Site Plan.&Design,Physical (Face to face),Funda Yirmibeşoğlu,"MMB
MMB","Tuesday
Friday","13:30/17:29
14:00/17:59","3505
3505",15,4,-,"SBP_LS, SBPE_LS",Detail,-
4,23491,SBP 208,Şehir Ekonomisi,Physical (Face to face),Emine Ferhan Gezici Korten,MMB,Tuesday,09:30/12:29,107,65,73,-,"SBP_LS, SBP_YD",-,-
5,23493,SBP 208E,Urban Economics,Physical (Face to face),Elif Alkay,MMB,Tuesday,09:30/12:29,106,65,78,-,"SBP_LS, SBP_YD, SBPE_LS",-,-
6,23495,SBP 210,Şehir Sosyolojisi,Physical (Face to face),Eda Yücesoy,MMB,Monday,13:30/16:29,106,65,63,-,"SBP_LS, SBP_YD",-,-
7,23496,SBP 210E,Urban Sociology,Physical (Face to face),Elvan Gülöksüz,MMB,Thursday,09:30/12:29,227,70,62,-,"SBP_LS, SBP_YD, SBPE_LS",-,-
8,23498,SBP 214E,Geography,Physical (Face to face),Eda Yücesoy,MMB,Monday,09:30/12:29,309,40,31,PEME/5/0 | ISLE/8/5 | Diğer/27/26,"ISLE_LS, PEME_LS, SBP_LS, SBPE_LS",-,-
9,23504,SBP 218,Proje IV: Stratejik Planlama & Politika Geliştirme,Physical (Face to face),Fatih Eren,"MMB
MMB","Tuesday
Friday","13:30/17:29
14:00/17:59","203A
203A",20,23,-,SBP_LS,Detail,-
10,23507,SBP 218,Proje IV: Stratejik Planlama & Politika Geliştirme,Physical (Face to face),Ebru Kerimoğlu,"MMB
MMB","Tuesday
Friday","13:30/17:29
14:00/17:59","--
--",19,18,-,SBP_LS,Detail,-
11,23515,SBP 218,Proje IV: Stratejik Planlama & Politika Geliştirme,Physical (Face to face),Yasin Bektaş,"MMB
MMB","Tuesday
Friday","13:30/17:29
14:00/17:59","203B
203B",20,20,-,SBP_LS,Detail,-
12,23525,SBP 218E,Project IV: Spatial Strategic Planning & Policy Making,Physical (Face to face),Tüzin Baycan,"MMB
MMB","Tuesday
Friday","13:30/17:29
14:00/17:59","--
--",17,18,-,SBPE_LS,Detail,-
13,23527,SBP 218E,Project IV: Spatial Strategic Planning & Policy Making,Physical (Face to face),Elif Alkay,"MMB
MMB","Tuesday
Friday","13:30/17:29
14:00/17:59","203C
203C",17,18,-,"SBP_LS, SBPE_LS",Detail,-
14,23528,SBP 218E,Project IV: Spatial Strategic Planning & Policy Making,Physical (Face to face),Kerem Yavuz Arslanlı,"MMB
MMB","Tuesday
Friday","13:30/17:29
14:00/17:59","--
--",20,20,-,"SBP_LS, SBPE_LS",Detail,-
15,23529,SBP 224,Şehir ve Çevre Jeolojisi,Virtual (Online),Erkan Bozkurtoğlu,MDB,Wednesday,12:30/15:29,--,45,7,-,"SBP_LS, SBP_YD",-,-
16,23530,SBP 224E,Urban & Environmental Geology,Physical (Face to face),"Nilgün Okay ,
Gökhan Şans",MDB,Wednesday,12:30/15:29,--,35,10,PEME/10/0 | Diğer/25/10,"PEME_LS, SBP_LS, SBPE_LS",-,-
17,23532,SBP 242E,Planning Theory and Techniques,Virtual (Online),Başak Demireş Özkul,MMB,Wednesday,09:30/12:29,--,150,139,-,"SBP_LS, SBP_YD, SBPE_LS",-,-
18,23535,SBP 251,Şehir ve Çevre Mühendisliği,Virtual (Online),Ali Fuat Aydın,MMB,Thursday,08:30/11:29,--,50,12,-,"SBP_LS, SBP_YD",-,-
19,23537,SBP 251E,Urban and Environmental Eng.,Virtual (Online),Mahmut Altınbaş,MMB,Thursday,08:30/11:29,--,50,25,-,"SBP_LS, SBP_YD, SBPE_LS",-,-
20,23542,SBP 311E,Prj.V:Spatial Plan.&Urb.Dev.,Physical (Face to face),Aliye Ahu Gülümser,"MMB
MMB","Tuesday
Friday","13:30/17:29
14:00/17:59","217B
217B",20,18,-,"SBP_LS, SBPE_LS",Detail,-
21,23548,SBP 312,Prj.VI: Mekan.Geliş.&Eyl.Plan.,Physical (Face to face),Mehmet Ali Yüzer,"MMB
MMB","Tuesday
Friday","13:30/17:29
14:00/17:59","217C
217C",10,10,-,SBP_LS,Detail,-
22,23550,SBP 312,Prj.VI: Mekan.Geliş.&Eyl.Plan.,Physical (Face to face),Özhan Ertekin,"MMB
MMB","Tuesday
Friday","13:30/17:29
14:00/17:59","--
--",11,11,-,SBP_LS,Detail,-
23,23553,SBP 312,Prj.VI: Mekan.Geliş.&Eyl.Plan.,Physical (Face to face),Engin Eyüp Eyuboğlu,"MMB
MMB","Tuesday
Friday","13:30/17:29
14:00/17:59","3407
3407",11,11,-,SBP_LS,Detail,-
24,23556,SBP 312E,Proj.VI:Spatial Plan.in Act.,Physical (Face to face),Muhammed Ziya Paköz,"MMB
MMB","Tuesday
Friday","13:30/17:29
14:00/17:59","214
214",10,11,-,"SBP_LS, SBPE_LS",Detail,-
25,23558,SBP 312E,Proj.VI:Spatial Plan.in Act.,Physical (Face to face),Numan Kılınç,"MMB
MMB","Tuesday
Friday","13:30/17:29
14:00/17:59","--
--",10,11,-,"SBP_LS, SBPE_LS",Detail,-
26,23561,SBP 312E,Proj.VI:Spatial Plan.in Act.,Physical (Face to face),Şevkiye Şence Türk,"MMB
MMB","Tuesday
Friday","13:30/17:29
14:00/17:59","--
--",10,10,-,SBPE_LS,Detail,-
27,25499,SBP 317E,Regional Science and Planning,Ek Sınav,Emine Ferhan Gezici Korten,MMB,Tuesday,13:30/16:29,--,0,1,-,-,-,-
28,23565,SBP 318,Koruma ve Planlama,Physical (Face to face),Engin Eyüp Eyuboğlu,MMB,Monday,13:30/16:29,215,50,51,-,"ICM_LS, MIM_LS, PEM_LS, SBP_LS, SBP_YD",-,-
29,23568,SBP 318E,Heritage Conservation&Planning,Physical (Face to face),Turgay Kerem Koramaz,MMB,Wednesday,12:30/15:29,227,45,47,-,"SBP_LS, SBP_YD, SBPE_LS",-,-
30,23572,SBP 323,Şehirsel Tasarım,Virtual (Online),Hatice Ayataç,MMB,Tuesday,09:30/12:29,--,80,47,-,"SBP_LS, SBP_YD",-,-
