,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21412,THO 110,Oyun Ritim Bilgisi II,Physical (Face to face),Eyüp Uzunkaya,TMB,Wednesday,10:30/12:29,--,20,6,-,THO_LS,Detail,-
1,21413,THO 112,Hareket Anatomisi II,Physical (Face to face),Nihal Cömert,TMB,Tuesday,13:30/15:29,--,20,10,-,THO_LS,-,-
2,21409,THO 114,Oyun Tekniği II,Physical (Face to face),İlknur Bektaş,"TMB
TMB","Thursday
Friday","08:30/10:29
08:30/10:29","--
--",20,5,-,THO_LS,Detail,-
3,21411,THO 116,Bale II,Physical (Face to face),Yurıy Mezokh,"TMB
TMB","Thursday
Friday","15:30/17:29
16:00/17:59","--
--",20,5,-,THO_LS,-,-
4,21410,THO 118,Kondisyon Ve Esneme II (Krdsz),Physical (Face to face),Yurıy Mezokh,"TMB
TMB","Thursday
Friday","13:30/15:29
14:00/15:59","--
--",20,5,-,THO_LS,-,-
5,21407,THO 120,Halk Oyunları Bilgisi,Physical (Face to face),Eyüp Uzunkaya,"TMB
TMB","Monday
Friday","08:30/10:29
10:30/11:29","--
--",20,2,-,THO_LS,-,-
6,21416,THO 202,Oyun Ritim Bilgisi IV,Physical (Face to face),Salim Sınar,TMB,Wednesday,13:30/15:29,--,20,3,-,THO_LS,Detail,-
7,21415,THO 204,Türk Halk Oyunları II,Physical (Face to face),Salim Sınar,"TMB
TMB","Tuesday
Thursday","10:30/12:29
10:30/12:29","--
--",20,4,-,THO_LS,-,-
8,21414,THO 206,Oyunda Yöresel Tavırlar II,Physical (Face to face),Eyüp Uzunkaya,"TMB
TMB","Monday
Thursday","10:30/12:29
15:30/17:29","--
--",20,5,-,THO_LS,-,-
9,21417,THO 208,Oyun Repertuvarı II,Physical (Face to face),Levent Ketenci,"TMB
TMB","Monday
Tuesday","08:30/10:29
08:30/10:29","--
--",20,2,-,THO_LS,-,-
10,25160,THO 208,Oyun Repertuvarı II,Physical (Face to face),Levent Ketenci,"TMB
TMB","Thursday
Friday","13:30/15:29
14:00/15:59","--
--",10,2,-,THO_LS,-,-
11,21425,THO 304,Türk Halk Oyunları IV,Physical (Face to face),Cenap Güngör,"TMB
TMB","Monday
Tuesday","13:30/15:29
13:30/15:29","--
--",20,7,-,THO_LS,-,-
12,21424,THO 306,Oyunda Yöresel Tavırlar IV,Physical (Face to face),Aydın Balcı,"TMB
TMB","Tuesday
Thursday","08:30/10:29
08:30/10:29","--
--",20,10,-,THO_LS,-,-
13,21421,THO 308,Oyun Repertuvarı IV,Physical (Face to face),Serdar Bombacı,"TMB
TMB","Monday
Wednesday","08:30/10:29
10:30/12:29","--
--",10,5,-,THO_LS,-,-
