,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21449,UCK 106,Uçak Müh. Giriş ve Tasarım,Physical (Face to face),Hayri Acar,MEDC,Friday,08:30/12:29,ZA1,100,89,-,UCK_LS,-,-
1,21476,UCK 203E,"Circuits, Signals and Systems",Physical (Face to face),Ramazan Yeniçeri,MEDC,Tuesday,14:30/17:29,ZD1,70,78,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
2,21478,UCK 203E,"Circuits, Signals and Systems",Physical (Face to face),Ramazan Yeniçeri,MEDC,Wednesday,08:30/11:29,1D10,70,65,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
3,25504,UCK 207E,Thermodynamics,Sınırsız Sınav,Bülent Tutkun,-,-,-/-,-,0,1,-,-,Detail,-
4,25425,UCK 215E,Aerospace Materials,Ek Sınav,Hülya Cebeci,-,-,-/-,-,0,1,-,-,-,-
5,21507,UCK 236E,Composite Materials,Physical (Face to face),Hülya Cebeci,MEDC,Thursday,08:30/11:29,2D18,45,45,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
6,21490,UCK 304E,Experimental Engineering,Physical (Face to face),Halit Süleyman Türkmen,MEDC,Monday,08:30/10:29,2D13,28,34,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
7,21491,UCK 304E,Experimental Engineering,Physical (Face to face),Tahir Soyugüzel,MEDC,Thursday,14:30/16:29,1D8,28,37,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
8,21492,UCK 304E,Experimental Engineering,Physical (Face to face),Tahir Soyugüzel,MEDC,Monday,14:30/16:29,1D6,28,28,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
9,21493,UCK 304E,Experimental Engineering,Physical (Face to face),Duygu Erdem,MEDC,Friday,09:30/11:29,1D6,28,21,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
10,21494,UCK 304E,Experimental Engineering,Physical (Face to face),Demet Balkan,MEDC,Tuesday,08:30/10:29,1D3,28,34,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
11,21495,UCK 304E,Experimental Engineering,Physical (Face to face),Saliha Banu Yılmaz,MEDC,Tuesday,11:30/13:29,1D4,28,40,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
12,21485,UCK 337E,Introduction to Optimization,Physical (Face to face),Aydın Mısırlıoğlu,MEDC,Monday,14:30/17:29,1D5,25,7,-,"UCK_LS, UZB_LS, UZBE_LS",-,-
13,25424,UCK 348E,Computer Applic.in Engineering,Ek Sınav,Bülent Tutkun,-,-,-/-,-,0,3,-,-,Detail,-
14,21484,UCK 350E,Analytical Dynamics,Physical (Face to face),İbrahim Özkol,MEDC,Monday,08:30/11:29,2D12,35,16,-,"UCK_LS, UZB_LS, UZBE_LS",Detail,-
15,25420,UCK 351E,Aerodynamics,Ek Sınav,Bayram Çelik,-,-,-/-,-,0,3,-,-,Detail,-
16,21505,UCK 358E,Int.to Artificial Intelligence,Physical (Face to face),Barış Başpınar,MEDC,Thursday,11:30/14:29,1D5,45,31,-,"UCK_LS, UZB_LS, UZBE_LS",-,-
17,25516,UCK 360E,Automatic Control I,Ek Sınav,Gökhan İnalhan,-,-,-/-,-,0,1,-,-,Detail,-
18,25381,UCK 362E,Automatic Control,Ek Sınav,Gökhan İnalhan,-,-,-/-,-,0,0,-,-,Detail,-
19,25426,UCK 363E,Automatic Control II,Ek Sınav,Emre Koyuncu,-,-,-/-,-,0,3,-,-,Detail,-
20,25502,UCK 419E,Computational Aerodynamics,Ek Sınav,Fırat Oğuz Edis,-,-,-/-,-,0,1,-,-,Detail,-
