,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,13666,PAZ 101,Fundamentals of Textiles,Physical (Face to face),Nevin Çiğdem Gürsoy,MKB,Monday,13:30/17:29,D380B,40,15,-,STP_LS,-,-
1,13669,PAZ 103,The Hist.ofTextile Trade&Tech.,Physical (Face to face),Şükriye Yüksel Filiz,MKB,Wednesday,13:30/15:29,D380B,40,0,-,STP_LS,-,-
2,13670,PAZ 107,Sustainability and Circularity in The Textile Industry,Physical (Face to face),Nevin Çiğdem Gürsoy,MKB,Thursday,09:30/12:29,D381B,40,13,-,STP_LS,-,-
3,13667,PAZ 121,Intr. to Fashion Industry,Physical (Face to face),Belgin Görgün,MKB,Tuesday,08:30/11:29,D380A,40,13,-,STP_LS,-,-
4,14620,PAZ 151,Intro. to Physical Sciences,Physical (Face to face),Emre Onur Kahya,FEB,Tuesday,13:30/16:29,B4_Z05,40,13,-,STP_LS,-,-
5,13672,PAZ 207,Fabrics for Interiors,Physical (Face to face),"Canan Sarıçam ,
Belgin Görgün",MKB,Wednesday,13:30/15:29,D380A,40,23,-,STP_LS,-,-
6,13675,PAZ 209,Fab. for Private Label Apparel,Physical (Face to face),"Cevza Candan ,
Burçak Karagüzel Kayaoğlu",MKB,Thursday,13:30/17:29,D380A,40,22,-,STP_LS,-,-
7,13671,PAZ 213,CAD&Design Fun.for Prn.Textil.,Physical (Face to face),Umut Kıvanç Şahin,MKB,Friday,14:30/17:29,459,40,13,-,STP_LS,-,-
8,13678,PAZ 217,Public Speaking,Physical (Face to face),Aslıhan Zengin,MKB,Friday,09:30/12:29,D380A,40,22,-,STP_LS,-,-
9,13677,PAZ 302,Hi Tech Textiles,Physical (Face to face),Özgür Atalay,MKB,Wednesday,09:30/12:29,D381A,40,22,-,STP_LS,-,-
10,13679,PAZ 381,Principles of Accounting,Physical (Face to face),Kaya Tokmakçıoğlu,MKB,Tuesday,13:30/16:29,D380B,40,23,-,STP_LS,-,-
