,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,13491,BLG 113E,Intr.toComp.Eng.and Ethics,Physical (Face to face),"Burak Berk Üstündağ ,
Gökhan İnce",BBB,Wednesday,13:30/15:29,KON1,150,166,-,"BLG_LS, BLGE_LS, CEN_LS",-,-
1,15558,BLG 212,Mikroişlemci Sistemleri,Ek Sınav,Gökhan İnce,-,-,-/-,-,0,2,-,-,Detail,-
2,13503,BLG 212E,Microprocessor Systems,Physical (Face to face),Ayşe Yılmazer Metin,BBB,Monday,08:30/11:29,Z-18,110,125,-,"BLG_LS, BLGE_LS, CEN_LS",Detail,-
3,13504,BLG 212E,Microprocessor Systems,Physical (Face to face),Gökhan İnce,BBB,Monday,08:30/11:29,Z-19,110,116,-,"BLG_LS, BLGE_LS",Detail,-
4,15562,BLG 222E,Computer Organization,Ek Sınav,Mustafa Ersel Kamaşak,-,-,-/-,-,0,1,-,-,Detail,-
5,13494,BLG 223E,Data Structures,Physical (Face to face),Yusuf Hüseyin Şahin,"BBB
BBB","Tuesday
Wednesday","08:30/10:29
13:30/15:29","KON1
Z-16",190,89,-,"BLG_LS, BLGE_LS, SECE_LS",Detail,-
6,15945,BLG 223E,Data Structures,Physical (Face to face),Yavuz Köroğlu,"BBB
BBB","Tuesday
Wednesday","08:30/10:29
13:30/15:29","Z-16
Z-17",88,87,-,"BLG_LS, BLGE_LS, SECE_LS",Detail,-
7,13495,BLG 231E,Digital Circuits,Physical (Face to face),Feza Buzluca,BBB,Friday,08:30/11:29,Z-17,110,112,-,"BLG_LS, BLGE_LS, CEN_LS, SECE_LS",-,-
8,13496,BLG 231E,Digital Circuits,Physical (Face to face),Sanem Kabadayı,BBB,Friday,08:30/11:29,Z-18,110,113,-,"BLG_LS, BLGE_LS, SECE_LS",-,-
9,15566,BLG 242E,Logic Circuits Laboratory,Ek Sınav,Kadir Özlem,-,-,-/-,-,0,2,-,-,Detail,-
10,15548,BLG 311,Biçimsel Diller ve Otom,Ek Sınav,Tolga Ovatman,-,-,-/-,-,0,1,-,-,Detail,-
