,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,10144,MAT 103,Matematik I,Physical (Face to face),Mehmet Ali Karaca,"MED
MED","Monday
Tuesday","08:30/11:29
11:30/13:29","A11
A11",130,132,-,"CEV_LS, CHZ_LS, DEN_LS, EHB_MTM_LS, ELK_MTM_LS, END_LS, FIZ_LS, GEM_LS, GEMK_LS, GEO_LS, GID_LS, HTA_LS, IBM_LS, IML_LS, INS_LS, ISL_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, MAD_LS, MAK_LS, MET_LS, MTO_LS, PET_LS, ROS_LS, TEK_LS, UCK_LS",-,-
1,10145,MAT 103,Matematik I,Physical (Face to face),Fuat Ergezen,"MED
MED","Monday
Tuesday","08:30/11:29
11:30/13:29","A31
A31",130,133,-,"CEV_LS, CHZ_LS, DEN_LS, EHB_MTM_LS, ELK_MTM_LS, END_LS, FIZ_LS, GEM_LS, GEMK_LS, GEO_LS, GID_LS, HTA_LS, IBM_LS, IML_LS, INS_LS, ISL_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, MAD_LS, MAK_LS, MET_LS, MTO_LS, PET_LS, ROS_LS, TEK_LS, UCK_LS",-,-
2,10146,MAT 103,Matematik I,Physical (Face to face),Şenay Pasinlioğlu,"MED
MED","Tuesday
Wednesday","14:30/17:29
11:30/13:29","A11
A11",130,128,-,"CEV_LS, CHZ_LS, DEN_LS, EHB_MTM_LS, ELK_MTM_LS, END_LS, FIZ_LS, GEM_LS, GEMK_LS, GEO_LS, GID_LS, HTA_LS, IBM_LS, IML_LS, INS_LS, ISL_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, MAD_LS, MAK_LS, MET_LS, MTO_LS, PET_LS, ROS_LS, TEK_LS, UCK_LS",-,-
3,10147,MAT 103,Matematik I,Physical (Face to face),Rahmiye Ergün,"MED
MED","Tuesday
Wednesday","14:30/17:29
11:30/13:29","A34
A34",130,112,-,"CEV_LS, CHZ_LS, DEN_LS, EHB_MTM_LS, ELK_MTM_LS, END_LS, FIZ_LS, GEM_LS, GEMK_LS, GEO_LS, GID_LS, HTA_LS, IBM_LS, IML_LS, INS_LS, ISL_LS, JEF_LS, JEO_LS, KIM_LS, KMM_LS, MAD_LS, MAK_LS, MET_LS, MTO_LS, PET_LS, ROS_LS, TEK_LS, UCK_LS",-,-
4,10967,MAT 103,Matematik I,Physical (Face to face),Bayram Barış Kızılsaç,"DZB
DZB","Wednesday
Thursday","08:30/11:29
08:30/10:29","--
--",80,82,-,"DUI_LS, GMI_LS",-,-
5,10968,MAT 103,Matematik I,Physical (Face to face),Sabire Cömert,"DZB
DZB","Wednesday
Thursday","12:30/15:29
14:30/16:29","--
--",80,12,-,"DUI_LS, GMI_LS",-,-
6,10969,MAT 103,Matematik I,Physical (Face to face),Bayram Barış Kızılsaç,"DZB
DZB","Tuesday
Wednesday","15:30/17:29
12:30/15:29","--
--",80,14,-,"DUI_LS, GMI_LS",-,-
7,10148,MAT 103E,Mathematics I,Physical (Face to face),Burhaneddin İzgi,"MED
MED","Monday
Tuesday","08:30/11:29
11:30/13:29","A12
A12",110,111,-,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, ECNE_LS, EHB_LS, EHB_MTM_LS, EHBE_LS, ELK_LS, ELK_MTM_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, IML_LS, IMLE_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KIME_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAKE_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEM_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SBP_LS, SBPE_LS, SECE_LS, TEK_LS, TEKE_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",-,-
8,10149,MAT 103E,Mathematics I,Physical (Face to face),Ahmet Duran,"MED
MED","Monday
Tuesday","08:30/11:29
11:30/13:29","A13
A13",110,112,-,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, ECNE_LS, EHB_LS, EHB_MTM_LS, EHBE_LS, ELK_LS, ELK_MTM_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, IML_LS, IMLE_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KIME_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAKE_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEM_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SBP_LS, SBPE_LS, SECE_LS, TEK_LS, TEKE_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",-,-
9,10150,MAT 103E,Mathematics I,Physical (Face to face),Nurhan Çolakoğlu,"MED
MED","Monday
Tuesday","08:30/11:29
11:30/13:29","A14
A14",110,111,-,"BIOE_LS, BLG_LS, BLGE_LS, CEV_LS, CEVE_LS, CHZ_LS, DEN_LS, DENE_LS, DUI_LS, DUIE_LS, ECNE_LS, EHB_LS, EHB_MTM_LS, EHBE_LS, ELK_LS, ELK_MTM_LS, ELKE_LS, END_LS, ENDE_LS, ENTE_LS, EUT_LS, EUTE_LS, FIZ_LS, GEM_LS, GEME_LS, GEMK_LS, GEO_LS, GEOE_LS, GID_LS, GIDE_LS, GMI_LS, GMIE_LS, HTA_LS, HTAE_LS, IBM_LS, ICM_LS, IML_LS, IMLE_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEF_LS, JEO_LS, KIM_LS, KIME_LS, KMM_LS, KMME_LS, KOM_LS, KOME_LS, MAD_LS, MAK_LS, MAKE_LS, MET_LS, METE_LS, MIM_LS, MIME_LS, MTO_LS, PEM_LS, PEME_LS, PETE_LS, ROS_LS, ROSE_LS, SBP_LS, SBPE_LS, SECE_LS, TEK_LS, TEKE_LS, UCK_LS, UZB_LS, UZBE_LS, VBAE_LS, YZVE_LS",-,-
