,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,11158,MRE 101,Maritime Eng. Drawing and Des,Physical (Face to face),Emre Kahramanoğlu,DZB,Wednesday,08:30/12:29,--,10,3,-,SGM_LS,-,-
1,11162,MRE 105,Professional Studies,Physical (Face to face),Yalçın Durmuşoğlu,DZB,Thursday,13:30/17:29,--,10,3,-,SGM_LS,-,-
2,11163,MRE 107,English for Eng. Officers,Physical (Face to face),Müjgan Özenir,DZB,Tuesday,13:30/15:29,--,10,3,-,SGM_LS,-,-
3,11164,MRE 311,Marine Electronics,Physical (Face to face),Tayfun Uyanık,DZB,Wednesday,11:30/15:29,--,10,1,-,SGM_LS,-,-
4,11172,MRE 313,Numerical Analysis&Comp.Prog.,Physical (Face to face),Ata Bilgili,DZB,Monday,13:30/17:29,--,10,1,-,SGM_LS,-,-
5,11173,MRE 321,Fluid Mechanics,Physical (Face to face),Ata Bilgili,DZB,Thursday,08:30/11:29,--,10,1,-,SGM_LS,-,-
6,11176,MRE 342,Maritime Conventions,Physical (Face to face),Fırat Bolat,DZB,Wednesday,08:30/11:29,--,10,1,-,SGM_LS,-,-
7,11177,MRE 343,Ship Sys.III:Mar. Disl Eng.I,Physical (Face to face),Burak Zincir,DZB,Thursday,13:30/17:29,--,10,1,-,SGM_LS,-,-
8,11180,MRE 361,Naval Arch.&Ship Construction,Physical (Face to face),Emre Kahramanoğlu,DZB,Tuesday,14:30/17:29,--,10,1,-,SGM_LS,-,-
9,11182,MRE 371,Engine Room Simulator I,Physical (Face to face),İsmail Çiçek,DZB,Monday,08:30/13:29,--,10,1,-,SGM_LS,-,-
10,11184,MRE 381,Engineering Economics,Physical (Face to face),Kadir Çiçek,DZB,Tuesday,08:30/12:29,--,10,1,-,SGM_LS,-,-
11,11200,MRE 492,Design Project,Physical (Face to face),Ata Bilgili,-,-,-/-,-,10,1,-,SGM_LS,-,Detail
