,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,10983,MRT 101,Maritime English,Physical (Face to face),Seda Çınar Alabay,DZB,Tuesday,14:30/16:29,--,10,6,-,SDU_LS,-,-
1,10985,MRT 105,Professional Studies I,Physical (Face to face),Tuba Keçeci,DZB,Friday,08:30/12:29,--,10,6,-,SDU_LS,-,-
2,11003,MRT 401,Analysis of the Markt. Process,Physical (Face to face),Levent Kırval,DZB,Monday,13:30/16:29,--,10,1,-,SDU_LS,-,-
3,15168,MRT 402,Marine Insurance,Physical (Face to face),Emre Akyüz,DZB,Thursday,08:30/11:29,--,10,1,-,SDU_LS,-,-
4,15169,MRT 405,Admiralty Law,Physical (Face to face),Hakan Muran,DZB,Friday,14:00/16:59,--,10,2,-,SDU_LS,-,-
5,15170,MRT 406,Chartering,Physical (Face to face),Emre Akyüz,DZB,Monday,15:30/17:29,--,10,1,-,SDU_LS,-,-
6,11004,MRT 407,Cargo Operations,Physical (Face to face),Tanzer Satır,DZB,Tuesday,10:30/14:29,--,10,1,-,SDU_LS,-,-
7,15171,MRT 408,License Seminar,Physical (Face to face),Gizem Kayişoğlu,DZB,Tuesday,08:30/12:29,--,10,1,-,SDU_LS,-,-
8,11007,MRT 409,Advance Navigation,Physical (Face to face),Orhan Gönel,"DZB
DZB","Monday
Tuesday","12:30/13:29
08:30/10:29","--
--",10,1,-,SDU_LS,-,-
9,15172,MRT 410,Port and Terminal Operations,Physical (Face to face),Tanzer Satır,DZB,Monday,08:30/11:29,--,10,2,-,SDU_LS,-,-
10,15173,MRT 412,Management Seminar,Physical (Face to face),Levent Kırval,DZB,Wednesday,12:30/15:29,--,10,1,-,SDU_LS,-,-
11,15174,MRT 414,Physical Education II,Physical (Face to face),Yusuf Nejat Koçar,DZB,Thursday,15:30/17:29,--,10,1,-,SDU_LS,-,-
12,15175,MRT 415,Physical Education I,Physical (Face to face),Yusuf Nejat Koçar,DZB,Thursday,13:30/15:29,--,10,2,-,SDU_LS,-,-
13,15176,MRT 422,Bridge Resource Management,Physical (Face to face),Cemil Yurtören,DZB,Tuesday,12:30/17:29,--,30,1,-,SDU_LS,-,-
14,11012,MRT 431,Oceanography,Physical (Face to face),Ayşe Nak,DZB,Thursday,08:30/10:29,--,10,1,-,SDU_LS,-,-
