,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,11862,MTR 101,Makam Teorisi I,Physical (Face to face),Eren Özek,"TMB
TMB
TMB","Tuesday
Wednesday
Thursday","10:30/12:29
13:30/15:29
10:30/12:29","--
--
--",40,38,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",-,-
1,11863,MTR 101,Makam Teorisi I,Physical (Face to face),Eren Özek,"TMB
TMB
TMB","Tuesday
Wednesday
Thursday","13:30/15:29
10:30/12:29
08:30/10:29","--
--
--",40,22,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",-,-
2,11864,MTR 101,Makam Teorisi I,Physical (Face to face),Elif Ahıs Yunusoğlu,"TMB
TMB
TMB","Monday
Tuesday
Friday","10:30/12:29
10:30/12:29
10:30/12:29","--
--
--",48,52,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",-,-
3,11866,MTR 103,Müzik Teorisi I,Physical (Face to face),Ayşecan Olgun,"TMB
TMB
TMB","Monday
Tuesday
Friday","15:30/17:29
13:30/15:29
08:30/10:29","--
--
--",38,37,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",-,-
4,11868,MTR 103,Müzik Teorisi I,Physical (Face to face),Ufuk Biçak,"TMB
TMB
TMB","Monday
Thursday
Friday","15:30/17:29
10:30/12:29
14:00/15:59","--
--
--",32,36,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",-,-
5,11870,MTR 103,Müzik Teorisi I,Physical (Face to face),Mehmet Özkan,"TMB
TMB
TMB","Monday
Wednesday
Thursday","10:30/12:29
13:30/15:29
13:30/15:29","--
--
--",30,29,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",-,-
6,11911,MTR 105,Ritim Uygulama I,Physical (Face to face),Erkan Kanat,TMB,Wednesday,08:30/10:29,--,25,27,-,MTR_LS,-,-
7,11913,MTR 121,Makam Teorisi I,Physical (Face to face),Ali İhsan Alemli,"TMB
TMB","Tuesday
Thursday","13:30/15:29
13:30/15:29","--
--",30,23,-,THO_LS,-,-
8,11918,MTR 123,Müzik Teorisi I,Physical (Face to face),Orkun Zafer Özgelen,"TMB
TMB","Tuesday
Friday","15:30/17:29
16:00/17:59","--
--",30,25,-,THO_LS,-,-
9,11896,MTR 141,Makam Teorisi I,Physical (Face to face),Şirin Karadeniz,"TMB
TMB","Monday
Wednesday","13:30/15:29
13:30/15:29","--
--",25,20,-,"BST_LS, CAB_LS, CEB_LS, KMP_LS",-,-
10,11898,MTR 143,Müzik Teorisi I,Physical (Face to face),Recep Gül,"TMB
TMB","Tuesday
Thursday","08:30/10:29
10:30/12:29","--
--",30,24,-,"BST_LS, CAB_LS, CEB_LS, KMP_LS",-,-
11,15684,MTR 144,Müzik Teorisi II,Ek Sınav,Recep Gül,-,-,-/-,-,0,1,-,-,Detail,-
12,11879,MTR 201,Makam Teorisi III,Physical (Face to face),Nurullah Kanık,"TMB
TMB
TMB","Tuesday
Wednesday
Friday","15:30/17:29
13:30/15:29
14:00/15:59","--
--
--",33,32,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
