,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,15827,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Physical (Face to face),Ali Çakmak,MED,Monday,18:30/20:29,--,5,4,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
1,15828,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Physical (Face to face),Ata Bilgili,MED,Monday,19:30/21:29,--,5,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
2,15829,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Physical (Face to face),Burcu Güneş,MED,Monday,18:30/20:29,--,5,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
3,15830,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Physical (Face to face),Canan Sarıçam,MED,Monday,18:30/20:29,--,5,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
4,15831,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Physical (Face to face),Cevza Candan,MED,Monday,18:30/20:29,--,5,6,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
5,15832,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Physical (Face to face),Deniz Turgay Altılar,MED,Monday,18:30/20:29,--,5,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
6,15833,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Physical (Face to face),Emine Yaylalı,MED,Monday,18:30/20:29,--,5,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
7,15834,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Physical (Face to face),Esra Çapanoğlu Güven,MED,Monday,18:30/20:29,--,5,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
8,15835,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Physical (Face to face),Esra Ece Bayat,MED,Monday,18:30/20:29,--,5,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
9,15836,ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Physical (Face to face),Hatice Camgöz Akdağ,MED,Monday,18:30/20:29,--,5,5,-,"MBI_LS, SBL_LS, SDU_LS, SED_LS, SEK_LS, SEN_LS, SGI_LS, SGM_LS, SIN_LS, SIS_LS, SMT_LS, STP_LS",-,-
