,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21659,ELK 221,Elektrik Mühen. Temelleri,Physical (Face to face),Fatma Gül Bağrıyanık,EEB,Monday,12:30/15:29,5205,40,0,-,"GID_LS, IML_LS, ISL_LS, KMM_LS, MAK_LS, MET_LS, TEK_LS, UCK_LS, UZB_LS",-,-
1,21660,ELK 221,Elektrik Mühen. Temelleri,Physical (Face to face),Ali Sinan Çabuk,EEB,Wednesday,08:30/11:29,4104,40,0,-,"GID_LS, IML_LS, ISL_LS, KMM_LS, MAK_LS, MET_LS, TEK_LS, UCK_LS, UZB_LS",-,-
2,21661,ELK 221E,Fundamentals of Electric. Eng.,Physical (Face to face),Cavit Fatih Küçüktezcan,EEB,Thursday,12:30/15:29,5101,50,0,-,"GID_LS, IML_LS, ISL_LS, KMM_LS, MAK_LS, MET_LS, TEK_LS, UCK_LS, UZB_LS",-,-
3,21664,ELK 221E,Fundamentals of Electric. Eng.,Physical (Face to face),Ali Sinan Çabuk,EEB,Friday,08:30/11:29,2102,50,0,-,"GID_LS, IML_LS, ISL_LS, KMM_LS, MAK_LS, MET_LS, TEK_LS, UCK_LS, UZB_LS",-,-
4,21678,ELK 221E,Fundamentals of Electric. Eng.,Physical (Face to face),Zehra Elif Batman,EEB,Wednesday,08:30/11:29,5101,50,0,-,"GID_LS, IML_LS, ISL_LS, KMM_LS, MAK_LS, MET_LS, TEK_LS, UCK_LS, UZB_LS",-,-
5,21681,ELK 226,Elektrik-Elektronik Müh. Tem.,Physical (Face to face),Ali Saffet Altay,EEB,Wednesday,08:30/11:29,5103,50,0,-,"IML_LS, MAK_LS",Detail,-
6,21683,ELK 226,Elektrik-Elektronik Müh. Tem.,Physical (Face to face),Ali Sinan Çabuk,EEB,Tuesday,08:30/11:29,5302,50,0,-,"IML_LS, MAK_LS",Detail,-
7,21687,ELK 226,Elektrik-Elektronik Müh. Tem.,Physical (Face to face),Murat İmeryüz,MKB,Friday,08:30/11:29,A363,50,0,-,"IML_LS, MAK_LS",Detail,-
8,21692,ELK 226,Elektrik-Elektronik Müh. Tem.,Physical (Face to face),Ali Saffet Altay,EEB,Friday,08:30/11:29,2104,50,0,-,"IML_LS, MAK_LS",Detail,-
9,21694,ELK 226E,Fund.of Electri.& Electro.Eng.,Physical (Face to face),Yusuf Yaşa,EEB,Wednesday,08:30/11:29,5105,50,0,-,"IML_LS, IMLE_LS, MAK_LS, MAKE_LS",Detail,-
10,21697,ELK 234E,Thermodynamics &Hydrodynamics,Physical (Face to face),Ahmet Cansız,EEB,Tuesday,12:30/15:29,5201,50,0,EEE_LS/5/0 | Diğer/45/0,"EEE_LS, EHB_LS, EHBE_LS, ELK_LS, ELKE_LS",-,-
11,21706,ELK 308E,Comp. Networks for Power Syst.,Physical (Face to face),Cavit Fatih Küçüktezcan,EEB,Monday,08:30/11:29,5303,50,0,EEE_LS/5/0 | Diğer/45/0,"EEE_LS, ELK_LS, ELKE_LS",-,-
12,21709,ELK 312,Yüksek Gerilim Tekniği,Physical (Face to face),Şükran Emel Önal,EEB,Thursday,08:30/11:29,5304,50,0,-,ELK_LS,-,-
13,21714,ELK 312,Yüksek Gerilim Tekniği,Physical (Face to face),Özcan Kalenderli,EEB,Thursday,08:30/11:29,5202,50,0,-,ELK_LS,-,-
