,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24168,MOD 125,Fashion Research & Inspiration,Physical (Face to face),Zehra Doğan Sözüer,MKB,Wednesday,09:30/12:29,451,40,0,-,SMT_LS,Detail,-
1,24157,MOD 127,Design Studio II- Soft Draping,Physical (Face to face),Şükriye Yüksel Filiz,"MKB
MKB","Monday
Wednesday","13:30/16:29
12:30/15:29","453
453",40,0,-,SMT_LS,Detail,-
2,24155,MOD 134,Materials & Construction II,Physical (Face to face),Serna Uçar Hatipoğlu,MKB,Tuesday,13:30/17:29,455,40,0,-,SMT_LS,Detail,-
3,24165,MOD 162,Fashion Art Studio,Physical (Face to face),Zehra Doğan Sözüer,"MKB
MKB","Monday
Tuesday","09:30/12:29
09:30/12:29","451
451",40,0,-,SMT_LS,Detail,-
4,24169,MOD 270,Statistical Analysis,Physical (Face to face),Umut Kıvanç Şahin,MKB,Thursday,13:30/17:29,D381B,40,0,-,SMT_LS,-,-
5,24873,MOD 311,Leather Apparel Design,Physical (Face to face),Şükriye Yüksel Filiz,MKB,Monday,08:30/12:29,453,10,0,-,SMT_LS,-,-
6,24875,MOD 336,Sustainable Design Concepts,Physical (Face to face),-,-,-,-/-,-,0,0,-,SMT_LS,-,-
7,24876,MOD 338,Designing For Innovation,Physical (Face to face),-,-,-,-/-,-,0,0,-,SMT_LS,-,-
8,24188,MOD 342,CAD for FD & Development,Physical (Face to face),Belgin Görgün,MKB,Monday,08:30/11:29,455,40,0,-,SMT_LS,-,-
9,24183,MOD 363,Design Directions in R-T-W,Physical (Face to face),"Belgin Görgün ,
Şükriye Yüksel Filiz",MKB,Tuesday,13:30/17:29,451,40,0,-,-,Detail,-
10,24181,MOD 369,Sportswear Dev. Concepts,Physical (Face to face),"Şükriye Yüksel Filiz ,
Belgin Görgün","MKB
MKB","Tuesday
Thursday","08:30/11:29
13:30/16:29","D452
D452",40,0,-,SMT_LS,Detail,-
