,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21837,MUT 102,Kemençe Yapımı II,Physical (Face to face),Mehmet Haşim Açanal,-,-,-/-,-,10,0,-,"MUT_LS, MZT_LS",-,-
1,21835,MUT 132,Akustik II,Physical (Face to face),Murat Tıraş,TMB,Thursday,10:30/12:29,--,40,0,-,"MUT_LS, MZT_LS",-,-
2,21838,MUT 142,Ses Düzenleme ve Editing,Physical (Face to face),Oğuz Öz,"TMB
TMB","Tuesday
Thursday","08:30/10:29
08:30/10:29","--
--",15,0,-,"MUT_LS, MZT_LS",-,-
3,21840,MUT 154,Ses Tasarımı,Physical (Face to face),Gökhan Deneç,TMB,Monday,15:30/17:29,--,15,0,-,"MUT_LS, MZT_LS",-,-
4,21867,MUT 162,Makina ve Takım Bilgisi,Physical (Face to face),Mehmet Tangör,TMB,Thursday,08:30/10:29,--,15,0,-,"MUT_LS, MZT_LS",-,-
5,21854,MUT 202,Keman Yapımı I,Physical (Face to face),Ahmet Tunç Buyruklar,-,-,-/-,-,10,0,-,"MUT_LS, MZT_LS",-,-
6,21855,MUT 212,Lavta Yapımı,Physical (Face to face),Şafak Köksal,-,-,-/-,-,10,0,-,"MUT_LS, MZT_LS",-,-
7,21842,MUT 242,Elektronik Ortam ve Müzik,Physical (Face to face),Gökhan Deneç,"TMB
TMB","Monday
Wednesday","13:30/15:29
13:30/15:29","--
--",15,0,-,"MUT_LS, MZT_LS",-,-
8,21844,MUT 254,Sayısal Ses,Physical (Face to face),Ozan Sarıer,TMB,Tuesday,10:30/12:29,--,15,0,-,"MUT_LS, MZT_LS",-,-
9,21868,MUT 264,Üst Yüzey İşlemleri,Physical (Face to face),Mehmet Haşim Açanal,TMB,Tuesday,13:30/15:29,--,15,0,-,"MUT_LS, MZT_LS",-,-
10,21861,MUT 302,Viyola Yapımı,Physical (Face to face),Ahmet Tunç Buyruklar,-,-,-/-,-,10,0,-,"MUT_LS, MZT_LS",-,-
11,21853,MUT 3112,Çalgı Bilgisi ve Tarihi II,Physical (Face to face),Şafak Köksal,-,-,-/-,-,10,0,-,"MUT_LS, MZT_LS",-,-
12,21871,MUT 343,Çalgı Akustiği,Physical (Face to face),Mehmet Haşim Açanal,TMB,Wednesday,08:30/10:29,--,15,0,-,"MUT_LS, MZT_LS",-,-
13,21879,MUT 368,Çalgı Bilgisi II,Physical (Face to face),Ahmet Tunç Buyruklar,TMB,Monday,15:30/17:29,--,15,0,-,"MUT_LS, MZT_LS",-,-
14,21847,MUT 372,Görüntü İçin Ses,Physical (Face to face),Taylan Özdemir,"TMB
TMB","Monday
Thursday","10:30/12:29
10:30/12:29","--
--",15,0,-,"MUT_LS, MZT_LS",-,-
15,21849,MUT 374,Elektronik Çalgı Bilgisi,Physical (Face to face),Sair Sinan Kestelli,TMB,Wednesday,10:30/12:29,--,15,0,-,"MUT_LS, MZT_LS",-,-
16,21870,MUT 376,Tar Yapımı,Physical (Face to face),"Mehmet Haşim Açanal ,
Mehmet Ali Sezen",-,-,-/-,-,10,0,-,"MUT_LS, MZT_LS",-,-
17,21851,MUT 381,Remiks,Physical (Face to face),Oğuz Öz,TMB,Thursday,13:30/15:29,--,15,0,-,"MUT_LS, MZT_LS",-,-
18,21856,MUT 386,Serbest Proje Çalışması II,Physical (Face to face),Can Karadoğan,-,-,-/-,-,5,0,-,"MUT_LS, MZT_LS",-,-
19,21857,MUT 386,Serbest Proje Çalışması II,Physical (Face to face),Ozan Sarıer,-,-,-/-,-,5,0,-,"MUT_LS, MZT_LS",-,-
20,21859,MUT 386,Serbest Proje Çalışması II,Physical (Face to face),Gökhan Deneç,-,-,-/-,-,5,0,-,"MUT_LS, MZT_LS",-,-
21,21860,MUT 386,Serbest Proje Çalışması II,Physical (Face to face),Şafak Köksal,-,-,-/-,-,5,0,-,"MUT_LS, MZT_LS",-,-
22,21845,MUT 388,Müzik Tek.Tasarım & Geliştirme,Physical (Face to face),Sair Sinan Kestelli,"TMB
TMB","Tuesday
Wednesday","15:30/17:29
13:30/15:29","--
--",15,0,-,"MUT_LS, MZT_LS",-,-
23,21846,MUT 388,Müzik Tek.Tasarım & Geliştirme,Physical (Face to face),Mehmet Tangör,"TMB
TMB","Tuesday
Wednesday","15:30/17:29
13:30/15:29","--
--",15,0,-,"MUT_LS, MZT_LS",-,-
24,21878,MUT 390,Bilg. Dest. Mesleki.Res. I,Physical (Face to face),Şafak Köksal,TMB,Friday,10:30/12:29,--,15,0,-,"MUT_LS, MZT_LS",-,-
25,21873,MUT 402,Viyolonsel Yapımı II,Physical (Face to face),Mehmet Tangör,-,-,-/-,-,10,0,-,"MUT_LS, MZT_LS",-,-
26,21874,MUT 412,Kanun Yapımı II,Physical (Face to face),Şafak Köksal,-,-,-/-,-,10,0,-,"MUT_LS, MZT_LS",-,-
27,21876,MUT 414,Rebap Yapımı,Physical (Face to face),Ahmet Tunç Buyruklar,TMB,Wednesday,13:30/15:29,--,15,0,-,"MUT_LS, MZT_LS",-,-
28,21875,MUT 436,Piyano Bakım ve Onarım Bilgisi,Physical (Face to face),Ahmet Tunç Buyruklar,TMB,Tuesday,10:30/12:29,--,15,0,-,"MUT_LS, MZT_LS",-,-
29,21850,MUT 448,Prodüksiyon Teknikleri,Physical (Face to face),Oğuz Öz,"TMB
TMB","Tuesday
Thursday","10:30/12:29
10:30/12:29","--
--",15,0,-,"MUT_LS, MZT_LS",-,-
30,21848,MUT 452,Bilgisayar Müziği,Physical (Face to face),Sair Sinan Kestelli,TMB,Tuesday,13:30/15:29,--,15,0,-,"MUT_LS, MZT_LS",-,-
31,21852,MUT 474,Çalgı Tını Bilgisi,Physical (Face to face),Ozan Sarıer,TMB,Tuesday,13:30/15:29,--,15,0,-,"MUT_LS, MZT_LS",-,-
32,21863,MUT 486,Serbest Proje Çalışması IV,Physical (Face to face),Taylan Özdemir,-,-,-/-,-,5,0,-,"MUT_LS, MZT_LS",-,-
33,21864,MUT 486,Serbest Proje Çalışması IV,Physical (Face to face),Reuben De Lautour,-,-,-/-,-,5,0,-,"MUT_LS, MZT_LS",-,-
34,21865,MUT 486,Serbest Proje Çalışması IV,Physical (Face to face),Emmanouıl Ekmektsoglou,-,-,-/-,-,5,0,-,"MUT_LS, MZT_LS",-,-
35,21866,MUT 486,Serbest Proje Çalışması IV,Physical (Face to face),Ahmet Tunç Buyruklar,-,-,-/-,-,5,0,-,"MUT_LS, MZT_LS",-,-
36,21800,MUT 492,Bitirme Çalışması,Physical (Face to face),Mehmet Cevdet Erek,-,-,-/-,-,100,0,-,"MUT_LS, MZT_LS",-,Detail
