,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24524,PEM 120E,Natural Systems &Design,Physical (Face to face),Meltem Erdem Kaya,MMB,Wednesday,13:30/15:29,--,90,0,-,"PEM_LS, PEME_LS",-,-
1,24525,PEM 126E,Hist.Theo.&Crtc.in Lndsc.Arc.I,Physical (Face to face),Nilay Özlü Karaca,MMB,Tuesday,09:30/12:29,--,90,0,-,"PEM_LS, PEME_LS",-,-
2,24526,PEM 134E,Plant Material I,Physical (Face to face),Didem Dizdaroğlu,MMB,Tuesday,13:30/17:29,--,30,0,-,"PEM_LS, PEME_LS",-,-
3,24527,PEM 134E,Plant Material I,Physical (Face to face),Didem Dizdaroğlu,MMB,Wednesday,08:30/12:29,--,30,0,-,"PEM_LS, PEME_LS",-,-
4,24529,PEM 209E,Landform & Built Envir.Studio,Physical (Face to face),Nilay Özlü Karaca,"MMB
MMB","Monday
Thursday","13:30/17:29
13:30/17:29","--
--",10,0,-,"PEM_LS, PEME_LS",Detail,-
5,24535,PEM 210E,Planting Design Studio,Physical (Face to face),Hayriye Eşbah Tunçay,MMB,Thursday,08:30/12:29,--,70,0,-,"PEM_LS, PEME_LS",Detail,-
6,24530,PEM 212E,Landscape Design I,Physical (Face to face),Melih Bozkurt,"MMB
MMB","Monday
Thursday","13:30/17:29
13:30/17:29","--
--",9,0,-,"PEM_LS, PEME_LS",Detail,-
7,24531,PEM 212E,Landscape Design I,Physical (Face to face),Arzu Türk,"MMB
MMB","Monday
Thursday","13:30/17:29
13:30/17:29","--
--",9,0,-,"PEM_LS, PEME_LS",Detail,-
8,24532,PEM 212E,Landscape Design I,Physical (Face to face),Ebru Erbaş Gürler,"MMB
MMB","Monday
Thursday","13:30/17:29
13:30/17:29","--
--",14,0,-,"PEM_LS, PEME_LS",Detail,-
9,24533,PEM 212E,Landscape Design I,Physical (Face to face),Didem Dizdaroğlu,"MMB
MMB","Monday
Thursday","13:30/17:29
13:30/17:29","--
--",14,0,-,"PEM_LS, PEME_LS",Detail,-
10,24528,PEM 214E,Resilient Urban Design,Physical (Face to face),Melih Bozkurt,MMB,Tuesday,08:30/12:29,--,80,0,-,"PEM_LS, PEME_LS",-,-
11,24534,PEM 253E,Landscape Construction I,Physical (Face to face),Hayriye Eşbah Tunçay,MMB,Tuesday,13:30/17:29,--,75,0,-,"PEM_LS, PEME_LS",-,-
12,24536,PEM 311E,Landscape Design II,Physical (Face to face),Elif Lutfiye Kutay Karaçor,"MMB
MMB","Monday
Thursday","13:30/17:29
13:30/17:29","--
--",15,0,-,"PEM_LS, PEME_LS",Detail,-
13,24537,PEM 312E,Landscape Design III,Physical (Face to face),Fatma Ayçim Türer Başkaya,"MMB
MMB","Monday
Thursday","13:30/17:29
13:30/17:29","--
--",15,0,-,"PEM_LS, PEME_LS",Detail,-
14,24538,PEM 312E,Landscape Design III,Physical (Face to face),Gülşen Aytaç,"MMB
MMB","Monday
Thursday","13:30/17:29
13:30/17:29","--
--",15,0,-,"PEM_LS, PEME_LS",Detail,-
15,24539,PEM 312E,Landscape Design III,Physical (Face to face),Meltem Erdem Kaya,"MMB
MMB","Monday
Thursday","13:30/17:29
13:30/17:29","--
--",15,0,-,"PEM_LS, PEME_LS",Detail,-
16,24540,PEM 316E,Urban Land. Pln& Design,Physical (Face to face),Gülşen Aytaç,MMB,Monday,09:30/12:29,--,60,0,-,"PEM_LS, PEME_LS",-,-
17,24541,PEM 324E,Landscape Management,Physical (Face to face),Fatma Ayçim Türer Başkaya,MMB,Thursday,10:30/12:29,--,60,0,-,"PEM_LS, PEME_LS",-,-
18,24542,PEM 356E,Rural Landscape Plan.&Design,Physical (Face to face),Meltem Erdem Kaya,MMB,Wednesday,08:30/12:29,--,60,0,-,"PEM_LS, PEME_LS",-,-
19,24552,PEM 4011E,Environmental Aesthetics,Physical (Face to face),Çisem Demirel Koyun,MMB,Tuesday,10:30/12:29,--,25,0,-,"PEM_LS, PEME_LS",-,-
20,24545,PEM 4014E,Dig.Repres.Tech.for Lands.Dsgn,Physical (Face to face),Ikhwan Kım,MMB,Friday,14:00/16:59,--,25,0,-,"PEM_LS, PEME_LS",-,-
21,24551,PEM 4015E,Experim.Studies on Place&Desg,Physical (Face to face),Arzu Türk,MMB,Monday,10:30/12:29,--,20,0,-,"PEM_LS, PEME_LS",-,-
22,24546,PEM 4016E,Infrastructure Planning&Dev.,Physical (Face to face),Elif Lutfiye Kutay Karaçor,MMB,Tuesday,10:30/12:29,--,25,0,-,"PEM_LS, PEME_LS",-,-
23,24547,PEM 4018E,Landscape and Art,Physical (Face to face),Gülşen Aytaç,MMB,Thursday,10:30/12:29,--,25,0,-,"PEM_LS, PEME_LS",-,-
24,24553,PEM 4024E,Readings About National Landscape Architecture,Physical (Face to face),Çisem Demirel Koyun,MMB,Wednesday,13:30/15:29,--,25,0,-,"PEM_LS, PEME_LS",-,-
25,24544,PEM 406E,Professional Practice & Ethics,Physical (Face to face),"Ebru Erbaş Gürler ,
Arzu Türk",MMB,Tuesday,13:30/15:29,--,50,0,-,"PEM_LS, PEME_LS",-,-
26,24543,PEM 411E,Landscape Design IV,Physical (Face to face),Ikhwan Kım,"MMB
MMB","Monday
Thursday","13:30/17:29
13:30/17:29","--
--",20,0,-,"PEM_LS, PEME_LS",Detail,-
27,24548,PEM 4902E,Graduation Project,Physical (Face to face),Meltem Erdem Kaya,-,-,-/-,-,50,0,-,"PEM_LS, PEME_LS",Detail,Detail
28,24549,PEM 4902E,Graduation Project,Physical (Face to face),Meltem Erdem Kaya,-,-,-/-,-,50,0,-,"PEM_LS, PEME_LS",Detail,Detail
29,24550,PEM 4902E,Graduation Project,Physical (Face to face),Meltem Erdem Kaya,-,-,-/-,-,50,0,-,"PEM_LS, PEME_LS",Detail,Detail
