,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,24729,TES 121E,Project II,Physical (Face to face),Ozan Önder Özener,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",45,0,ARC_LS/4/0 | Diğer/41/0,"ARC_LS, MIM_LS, MIME_LS",Detail,-
1,24730,TES 121E,Project II,Physical (Face to face),Hatice İpek Avanoğlu,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",45,0,ARC_LS/4/0 | Diğer/41/0,"ARC_LS, MIM_LS, MIME_LS",Detail,-
2,24731,TES 121E,Project II,Physical (Face to face),Hakan Tong,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",45,0,ARC_LS/4/0 | Diğer/41/0,"ARC_LS, MIM_LS, MIME_LS",Detail,-
3,24732,TES 121E,Project II,Physical (Face to face),Can Uzun,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",45,0,ARC_LS/4/0 | Diğer/41/0,"ARC_LS, MIM_LS, MIME_LS",Detail,-
4,24733,TES 121E,Project II,Physical (Face to face),Turgay Kerem Koramaz,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",18,0,-,"SBP_LS, SBPE_LS",Detail,-
5,24734,TES 121E,Project II,Physical (Face to face),Zeynep Günay,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",17,0,-,"SBP_LS, SBPE_LS",Detail,-
6,24735,TES 121E,Project II,Physical (Face to face),Hasan Serdar Kaya,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",17,0,-,"SBP_LS, SBPE_LS",Detail,-
7,24736,TES 121E,Project II,Physical (Face to face),Sezen Tarakçı,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",17,0,-,"SBP_LS, SBPE_LS",Detail,-
8,24737,TES 121E,Project II,Physical (Face to face),İmge Akçakaya Waıte Jr,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",17,0,-,"SBP_LS, SBPE_LS",Detail,-
9,24738,TES 121E,Project II,Physical (Face to face),Pelin Efilti,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",23,0,-,"ENTE_LS, EUT_LS, EUTE_LS",Detail,-
10,24739,TES 121E,Project II,Physical (Face to face),Meltem Maralcan Gülmen,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",23,0,-,"ENTE_LS, EUT_LS, EUTE_LS",Detail,-
11,24740,TES 121E,Project II,Physical (Face to face),Hatice Kübra Yıldız,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",23,0,-,"ENTE_LS, EUT_LS, EUTE_LS",Detail,-
12,24741,TES 121E,Project II,Physical (Face to face),Ayşegül Akçay Kavakoğlu,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",17,0,-,"PEM_LS, PEME_LS",Detail,-
13,24742,TES 121E,Project II,Physical (Face to face),Elif Kısar Koramaz,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",17,0,-,"PEM_LS, PEME_LS",Detail,-
14,24743,TES 121E,Project II,Physical (Face to face),Nilay Özlü Karaca,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",17,0,-,"PEM_LS, PEME_LS",Detail,-
15,24744,TES 121E,Project II,Physical (Face to face),Ethem Gürer,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",28,0,IAD_LS/6/0 | Diğer/22/0,"IAD_LS, ICM_LS",Detail,-
16,24745,TES 121E,Project II,Physical (Face to face),Ahmet Gün,"MMB
MMB","Monday
Thursday","08:30/12:29
08:30/12:29","--
--",28,0,IAD_LS/6/0 | Diğer/22/0,"IAD_LS, ICM_LS",Detail,-
17,24713,TES 122E,Vis.CommII:Visualization&Persp,Physical (Face to face),-,MMB,Friday,08:30/12:29,--,500,0,-,"ARC_LS, ENTE_LS, EUT_LS, EUTE_LS, IAD_LS, ICM_LS, MIM_LS, MIME_LS, PEM_LS, PEME_LS, SBP_LS, SBPE_LS",Detail,-
18,24714,TES 122E,Vis.CommII:Visualization&Persp,Physical (Face to face),Ozan Önder Özener,undeclared,Friday,08:30/12:29,--,0,0,-,"ARC_LS, ENTE_LS, EUT_LS, EUTE_LS, IAD_LS, ICM_LS, MIM_LS, MIME_LS, PEM_LS, PEME_LS, SBP_LS, SBPE_LS",Detail,-
19,24715,TES 122E,Vis.CommII:Visualization&Persp,Physical (Face to face),Hatice İpek Avanoğlu,undeclared,Friday,08:30/12:29,--,0,0,-,"ARC_LS, ENTE_LS, EUT_LS, EUTE_LS, IAD_LS, ICM_LS, MIM_LS, MIME_LS, PEM_LS, PEME_LS, SBP_LS, SBPE_LS",Detail,-
20,24716,TES 122E,Vis.CommII:Visualization&Persp,Physical (Face to face),Hakan Tong,undeclared,Friday,08:30/12:29,--,0,0,-,"ARC_LS, ENTE_LS, EUT_LS, EUTE_LS, IAD_LS, ICM_LS, MIM_LS, MIME_LS, PEM_LS, PEME_LS, SBP_LS, SBPE_LS",Detail,-
21,24717,TES 122E,Vis.CommII:Visualization&Persp,Physical (Face to face),Can Uzun,undeclared,Friday,08:30/12:29,--,0,0,-,"ARC_LS, ENTE_LS, EUT_LS, EUTE_LS, IAD_LS, ICM_LS, MIM_LS, MIME_LS, PEM_LS, PEME_LS, SBP_LS, SBPE_LS",Detail,-
22,24718,TES 122E,Vis.CommII:Visualization&Persp,Physical (Face to face),Saniye Feyza Ergün,undeclared,Friday,08:30/12:29,--,0,0,-,"ARC_LS, ENTE_LS, EUT_LS, EUTE_LS, IAD_LS, ICM_LS, MIM_LS, MIME_LS, PEM_LS, PEME_LS, SBP_LS, SBPE_LS",Detail,-
