,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,23400,BIO 101,General Biology,Physical (Face to face),Pelin Dilsiz Erim,MOBGAM,Wednesday,08:30/11:29,--,30,5,-,MBI_LS,-,-
1,22514,BIO 106E,General Biology II,Physical (Face to face),Murat Kaya,FEB,Thursday,08:30/11:29,D102,105,104,-,"BIO_LS, BIO_YD, BIOE_LS",Detail,-
2,22516,BIO 106EL,General Biology II Lab.,Physical (Face to face),Murat Kaya,FEB,Thursday,14:30/17:29,--,45,45,-,"BIO_LS, BIO_YD, BIOE_LS",-,-
3,25108,BIO 106EL,General Biology II Lab.,Physical (Face to face),Pelin Dilsiz Erim,FEB,Thursday,11:30/14:29,--,45,35,-,"BIO_LS, BIO_YD, BIOE_LS",-,-
4,22518,BIO 212E,Genetics,Physical (Face to face),Burcu Biterge Süt,FEB,Tuesday,11:30/14:29,D102,85,71,-,"BIO_LS, BIO_YD, BIOE_LS",Detail,-
5,23183,BIO 214,Mikrobiyoloji,Physical (Face to face),Pervin Başaran Akocak,KMB,Friday,14:00/16:59,D105,25,7,-,KMM_LS,-,-
6,22521,BIO 216E,Microbiology,Physical (Face to face),"Zeynep Petek Çakar ,
Ayten Karataş",FEB,Monday,08:30/11:29,D102,83,83,-,"BIO_LS, BIO_YD, BIOE_LS",Detail,-
7,22519,BIO 216EL,Microbiology Lab.,Physical (Face to face),Ayten Karataş,FEB,Tuesday,14:30/17:29,--,83,84,-,"BIO_LS, BIO_YD, BIOE_LS",Detail,-
8,22522,BIO 232E,Organic Chem. for Biologists,Physical (Face to face),Bülent Balta,FEB,Friday,14:30/17:29,D102,100,96,-,"BIO_LS, BIOE_LS",Detail,-
9,22569,BIO 301E,Fundamentals of Biology,Physical (Face to face),Ece Polat,FEB,Tuesday,11:30/14:29,D201,55,58,-,"CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, EEE_LS, EHB_LS, EHBE_LS, EHS_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, FIZ_LS, FIZE_LS, GID_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEO_LS, JEOE_LS, KIM_LS, KIME_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MADE_LS, MET_LS, METE_LS, PET_LS, PETE_LS, TEL_LS",-,-
10,22570,BIO 301E,Fundamentals of Biology,Physical (Face to face),Ece Polat,FEB,Thursday,11:30/14:29,L400,55,54,-,"CEV_LS, CEVE_LS, CHZ_LS, CHZE_LS, EEE_LS, EHB_LS, EHBE_LS, EHS_LS, ELE_LS, ELH_LS, ELK_LS, ELKE_LS, FIZ_LS, FIZE_LS, GID_LS, INS_LS, INSE_LS, ISL_LS, ISLE_LS, JEO_LS, JEOE_LS, KIM_LS, KIME_LS, KMM_LS, KOM_LS, KOME_LS, MAD_LS, MADE_LS, MET_LS, METE_LS, PET_LS, PETE_LS, TEL_LS",-,-
11,22524,BIO 326E,Mol. Evolution & Biodiversity,Physical (Face to face),Murat Kaya,FEB,Thursday,12:30/14:29,D102,80,66,-,"BIO_LS, BIOE_LS",Detail,-
12,22526,BIO 328E,Biochemistry II,Physical (Face to face),Nevin Gül Karagüler,FEB,Monday,11:30/14:29,D304,75,63,-,"BIO_LS, BIOE_LS",Detail,-
13,22528,BIO 328EL,Biochemistry II Lab.,Physical (Face to face),Nevin Gül Karagüler,FEB,Friday,09:30/12:29,--,80,56,-,"BIO_LS, BIOE_LS",Detail,-
14,22530,BIO 332E,Modern Techniques in Biology,Physical (Face to face),Abdulhalim Kılıç,FEB,Monday,08:30/11:29,D103,70,31,-,"BIO_LS, BIOE_LS",Detail,-
15,22532,BIO 342E,Enzymology,Physical (Face to face),Nevin Gül Karagüler,FEB,Tuesday,14:30/17:29,D306,40,17,-,"BIO_LS, BIOE_LS",Detail,-
16,22537,BIO 415EL,Molecular Biology Lab.,Physical (Face to face),Arzu Karabay Korkmaz,FEB,Wednesday,09:30/12:29,--,90,66,-,"BIO_LS, BIO_YD, BIOE_LS",Detail,-
17,22534,BIO 417E,Molecular Biology,Physical (Face to face),"Aslı Kumbasar ,
Arzu Karabay Korkmaz",FEB,Thursday,14:30/17:29,D102,98,99,-,"BIO_LS, BIO_YD, BIOE_LS",Detail,-
18,22539,BIO 442E,Molecular Immunology,Physical (Face to face),Ceren Çıracı Muğan,FEB,Thursday,08:30/11:29,L300,40,29,-,"BIO_LS, BIOE_LS",Detail,-
19,22542,BIO 451E,Industrial Microbiology,Physical (Face to face),Çiğdem Yılmaz Çolak,FEB,Friday,14:30/17:29,D101,40,19,-,"BIO_LS, BIOE_LS",Detail,-
20,22544,BIO 462E,Prot. Struct.-Function Relat.,Physical (Face to face),Gizem Dinler Doğanay,FEB,Monday,14:30/17:29,D105,40,34,-,"BIO_LS, BIOE_LS",Detail,-
21,22547,BIO 463E,Molecular Neurobiology,Physical (Face to face),"Aslı Kumbasar ,
Pelin Dilsiz Erim",FEB,Tuesday,11:30/14:29,D206,40,9,-,"BIO_LS, BIOE_LS",Detail,-
