,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21021,CAB 110,Ud II,Physical (Face to face),Buse Sever,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
1,21761,CAB 1102,Keman II,Physical (Face to face),Ahmet Hakan Şensoy,TMB,Monday,13:30/15:29,--,5,3,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",Detail,-
2,21762,CAB 1102,Keman II,Physical (Face to face),Pınar Tezişçi Özmenay,TMB,Monday,15:30/17:29,--,5,1,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS",Detail,-
3,21022,CAB 114,Ney II,Physical (Face to face),Burak Malçok,-,-,-/-,-,5,2,-,"CAB_LS, CEB_LS",Detail,-
4,21023,CAB 116,Mey II,Physical (Face to face),Cem Ekmen,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
5,21024,CAB 126,Kudüm II,Physical (Face to face),Erkan Kanat,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
6,21025,CAB 128,3 Telli Kemençe II,Physical (Face to face),Neva Özgen Kösoğlu,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
7,21027,CAB 132,Keman II,Physical (Face to face),Ahmet Hakan Şensoy,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
8,21028,CAB 132,Keman II,Physical (Face to face),Ibragım Orazov,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
9,21030,CAB 134,Viyolonsel II,Physical (Face to face),Yelda Özgen Öztürk,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
10,21031,CAB 140,Kemane II,Physical (Face to face),Kadir Verim,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
11,21032,CAB 142,Piyano II,Physical (Face to face),Sıtkı Kandemir Basmacıoğlu,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
12,21185,CAB 144,Yrd.Çalgı Piyano II,Physical (Face to face),Devlet Devrim Öztaş,TMB,Tuesday,15:30/17:29,--,18,18,-,"BST_LS, CAB_LS, CEB_LS, KMP_LS",-,-
13,21033,CAB 146,Kanun II,Physical (Face to face),Ayşegül Kostak Toksoy,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
14,21034,CAB 148,Tanbur II,Physical (Face to face),Birol Yayla,-,-,-/-,-,5,1,-,"CAB_LS, CEB_LS",Detail,-
15,21074,CAB 152,Kanun II,Physical (Face to face),Serkan Mesut Halili,TMB,Monday,13:30/15:29,--,5,3,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
16,21075,CAB 154,Tanbur II,Physical (Face to face),Göknil Bişak Özdemir,TMB,Monday,13:30/15:29,--,5,1,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS",Detail,-
17,21079,CAB 158,Bağlama II,Physical (Face to face),Adnan Koç,TMB,Monday,13:30/15:29,--,5,5,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",Detail,-
18,21080,CAB 158,Bağlama II,Physical (Face to face),Engin Şafak Gürler,TMB,Monday,13:30/15:29,--,5,5,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",Detail,-
19,21082,CAB 158,Bağlama II,Physical (Face to face),Metin Eke,TMB,Monday,13:30/15:29,--,5,5,-,"MTR_LS, MUT_LS, MUZ_LS, MZT_LS, SES_LS, THO_LS",Detail,-
