,CRN,Course Code,Course Title,Teaching Method,Instructor,Building,Day,Time,Room,Capacity,Enrolled,Reservation Maj./Cap./Enrl.,Major Restriction,Prerequisites,Credit/Class Resc.
0,21591,CHZ 214,Tanecik Teknolojisi,Physical (Face to face),"Gülay Bulut ,
Şükriye Beste Aydın",MDB,Tuesday,08:30/12:29,A205,75,70,-,"CHZ_LS, CHZ_YD",-,-
1,21592,CHZ 216,Fiziksel Zeng. Yöntemleri,Physical (Face to face),Alim Gül,"MDB
MDB","Monday
Wednesday","11:30/13:29
13:30/15:29","A101
A105",65,57,-,"CHZ_LS, CHZ_YD",Detail,-
2,21593,CHZ 242,Proses Mineralojisi,Physical (Face to face),"Alim Gül ,
Emin Çiftçi",MDB,Tuesday,13:30/16:29,A205,75,68,-,"CHZ_LS, CHZ_YD",-,-
3,21594,CHZ 306,Cevher Haz.Akışkanlar Mek.,Physical (Face to face),Birgül Benli,MDB,Friday,14:00/15:59,B208,75,63,-,CHZ_LS,-,-
4,21595,CHZ 308,Cevher Hazırlamada İş Güven.,Physical (Face to face),Kudret Tahsin Perek,MDB,Tuesday,13:30/15:29,B208,50,45,-,CHZ_LS,-,-
5,21596,CHZ 318,Endüstriyel Hammaddeler,Physical (Face to face),Murat Olgaç Kangal,MDB,Monday,08:30/11:29,B204,80,72,-,"CHZ_LS, CHZ_YD, MAD_LS, MAD_YD",-,-
6,21601,CHZ 320E,Metallurgy II,Physical (Face to face),-,MDB,Wednesday,13:30/15:29,--,0,0,-,"CHZ_LS, CHZE_LS",Detail,-
7,25434,CHZ 320E,Metallurgy II,Physical (Face to face),Fatma Arslan,MDB,Wednesday,12:30/15:29,B208,60,40,-,"CHZ_LS, CHZE_LS",Detail,-
8,25331,CHZ 325,Kömür Hazırlama,Ek Sınav,Mustafa Özer,-,-,-/-,-,0,1,-,-,-,-
9,21597,CHZ 328E,Comp. Appl. in Mineral Proces.,Physical (Face to face),Ayhan Ali Sirkeci,MDB,Wednesday,08:30/11:29,B207,60,60,-,"CHZ_LS, CHZ_YD, CHZE_LS",-,-
10,21598,CHZ 332E,Flotation and Flocculation,Physical (Face to face),Gülay Bulut,MDB,Thursday,13:30/17:29,A201,60,50,-,"CHZ_LS, CHZ_YD, CHZE_LS",Detail,-
11,25334,CHZ 348E,Bulk Materials Handling,Ek Sınav,Ayhan Ali Sirkeci,-,-,-/-,-,0,1,-,-,-,-
12,21599,CHZ 352,Kömür Teknolojisi,Physical (Face to face),Mustafa Özer,MDB,Thursday,11:30/13:29,A201,50,41,-,"CHZ_LS, CHZ_YD",-,-
13,21600,CHZ 358E,Perform. Eva.in Coal Prp.Plnts,Physical (Face to face),Feridun Boylu,MDB,Friday,10:30/12:29,A302,35,24,-,"CHZ_LS, CHZ_YD",-,-
14,21606,CHZ 412,Susuzlandırma ve Kurutma,Physical (Face to face),Orhan Özdemir,MDB,Thursday,08:30/10:29,B204,65,53,-,CHZ_LS,-,-
15,21602,CHZ 424,Cev.Haz.Tesis Yönetimi ve Ekon,Physical (Face to face),Kudret Tahsin Perek,MDB,Monday,13:30/15:29,A203,60,58,-,CHZ_LS,-,-
16,21603,CHZ 432,Cevher Haz. Tesis Tasarımı,Physical (Face to face),Hüseyin Baştürkcü,MDB,Tuesday,08:30/12:29,B204,60,53,-,"CHZ_LS, CHZ_YD",Detail,-
17,25335,CHZ 432,Cevher Haz. Tesis Tasarımı,Ek Sınav,Feridun Boylu,-,-,-/-,-,0,1,-,-,Detail,-
18,21604,CHZ 446,İleri Teknoloji Hammaddeleri,Physical (Face to face),Şükriye Beste Aydın,MDB,Friday,08:30/10:29,B204,35,36,-,CHZ_LS,-,-
19,21605,CHZ 450,Agrega Haz. ve Teknolojisi,Physical (Face to face),Orhan Özdemir,MDB,Friday,08:30/10:29,B208,35,17,-,CHZ_LS,-,-
20,25333,CHZ 452E,Mineral Process. & Environment,Ek Sınav,Fırat Burat,-,-,-/-,-,0,1,-,-,-,-
21,21607,CHZ 458E,Remdtn of Indus.&Minerl Wastes,Physical (Face to face),Fırat Burat,MDB,Friday,14:00/15:59,B205,40,36,-,"CHZ_LS, CHZE_LS",-,-
22,21610,CHZ 4901,Cevher Hazırl. Müh. Tasarımı I,Physical (Face to face),Murat Olgaç Kangal,-,-,-/-,-,200,9,-,CHZ_LS,Detail,Detail
23,21611,CHZ 4902,Cevher Hazırl. Müh.Tasarımı II,Physical (Face to face),Murat Olgaç Kangal,-,-,-/-,-,200,40,-,CHZ_LS,Detail,Detail
24,21608,CHZ 492,Bitirme Çalışması,Physical (Face to face),Murat Olgaç Kangal,-,-,-/-,-,10,1,-,CHZ_LS,-,Detail
25,21609,CHZ 492E,Graduation Thesis,Physical (Face to face),-,-,-,-/-,-,0,0,-,"CHZ_LS, CHZE_LS",-,Detail
